Lipid,Class,E-4LiverM,E-4PlasmaM,E-4RetinaM,E-5BMVM,E-5BrainM,E-5LiverM,E-5PlasmaM,E-5RetinaM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
[TG(46:6)]_FA22:6,TAG,2379.8601684570312,1999.5401344299316,1694.9601020812988,1741.5801162719727,1676.1201133728027,2530.8601875305176,1536.0401039123535,1676.8401145935059,1589.6801071166992,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(47:6)]_FA22:6,TAG,1664.8401145935059,1727.1001167297363,1557.560115814209,1563.9401016235352,1758.880111694336,1523.260097503662,1498.0201110839844,1715.8001136779785,1585.3601150512695,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(48:6)]_FA22:6,TAG,1872.7401313781738,1672.3001289367676,1580.2401161193848,1859.9201354980469,1526.8801193237305,1660.0801124572754,1850.4601440429688,1806.8401374816895,1554.200107574463,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(48:7)|TG(47:0)]_FA22:6,TAG,1760.8201217651367,1846.7401428222656,1874.8601341247559,1875.1001434326172,1899.2801399230957,2074.4201316833496,1892.080135345459,2075.540138244629,1908.460147857666,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(48:8)|TG(47:1)]_FA22:6,TAG,2939.62020111084,2052.5201454162598,2091.200138092041,2126.1001510620117,1967.4201431274414,2335.18013381958,2986.440200805664,2295.160144805908,1775.8201332092285,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(49:6)]_FA22:6,TAG,1784.9801216125488,1502.0601119995117,1720.3801193237305,1951.5401344299316,1929.8401412963867,1739.5201225280762,1782.840129852295,1829.400146484375,1714.5401153564453,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(49:7)|TG(48:0)]_FA22:6,TAG,2439.9401512145996,1948.9601364135742,1835.680118560791,1502.9401016235352,1697.6201171875,2096.0601387023926,1766.1001319885254,2231.6801528930664,1644.4001159667969,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(49:8)|TG(48:1)]_FA22:6,TAG,1772.460117340088,1810.620132446289,1924.240135192871,1657.4001197814941,1702.0401229858398,1887.1401329040527,2007.7601470947266,1834.2801399230957,1500.1001167297363,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(50:6)]_FA22:6,TAG,1600.9801025390625,1770.7401275634766,1610.6801300048828,1600.8401184082031,1575.7801208496094,1908.9201354980469,1663.9001159667969,1913.1201286315918,1502.180103302002,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(50:7)|TG(49:0)]_FA22:6,TAG,1905.040138244629,1777.1601181030273,1914.940128326416,1512.040111541748,1561.920108795166,2032.2201538085938,1591.160099029541,1516.9001121520996,1515.7801132202148,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
