Lipid,Class,E-4LiverM,E-4PlasmaM,E-4RetinaM,E-5BMVM,E-5BrainM,E-5LiverM,E-5PlasmaM,E-5RetinaM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
[TG(50:8)|TG(49:1)]_FA22:6,TAG,2018.2801551818848,1696.9201202392578,1642.880111694336,1591.2201118469238,1631.4201164245605,1845.7201347351074,1662.3401069641113,1710.4001235961914,1618.540111541748,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(50:9)|TG(49:2)]_FA22:6,TAG,2648.160202026367,2130.900146484375,1725.7601203918457,1890.0001373291016,1939.380142211914,2177.9601516723633,1619.5401306152344,1610.5401306152344,3191.4602432250977,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(51:6)]_FA22:6,TAG,2204.920135498047,1558.1400985717773,1977.1601524353027,1671.640121459961,1711.3001174926758,1777.9801177978516,1550.9801063537598,1707.0401039123535,1770.1801223754883,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(51:7)|TG(50:0)]_FA22:6,TAG,1969.9201354980469,2142.9201469421387,1849.1801414489746,1721.4401206970215,1877.1401329040527,2093.9601554870605,1917.2001419067383,1727.3801231384277,1776.240119934082,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(51:8)|TG(50:1)]_FA22:6,TAG,1806.1601219177246,1834.0001258850098,1589.0001068115234,1555.680103302002,1501.240104675293,1905.3001403808594,1648.020107269287,1515.8401107788086,1681.5001220703125,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(51:9)|TG(50:2)]_FA22:6,TAG,1905.5601387023926,2522.6601791381836,1860.9001350402832,1977.1601295471191,1842.8001327514648,1942.7601165771484,1794.0601272583008,2077.0401496887207,2926.0402221679688,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(52:10)|TG(51:3)]_FA22:6,TAG,2013.500144958496,1617.9601135253906,1552.1001167297363,1503.0401153564453,1642.8801231384277,1705.5401191711426,1692.540111541748,1535.1601028442383,1609.0801086425781,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(52:6)]_FA22:6,TAG,3731.000228881836,3081.800224304199,1571.880111694336,1606.7001037597656,1532.7801208496094,2950.6002082824707,2915.0801887512207,1661.1801261901855,1619.9401092529297,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(52:7)|TG(51:0)]_FA22:6,TAG,2350.3601455688477,2259.020175933838,1554.7401161193848,1615.460105895996,1671.1601257324219,2140.660167694092,2055.6201515197754,1622.0601043701172,1800.6801261901855,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(52:8)|TG(51:1)]_FA22:6,TAG,1699.8001327514648,2568.9601821899414,1722.380126953125,2147.800151824951,1941.7601432800293,2004.8601379394531,1685.6801300048828,1651.7601318359375,2610.360176086426,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(52:9)|TG(51:2)]_FA22:6,TAG,1645.720115661621,1642.9801139831543,1605.560115814209,1584.8601036071777,1665.58012008667,1847.2201385498047,1566.440113067627,1503.6001091003418,1707.3601188659668,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(53:10)|TG(52:3)]_FA22:6,TAG,1916.0401229858398,1729.3201332092285,1611.1001091003418,1545.9401092529297,1592.8201026916504,1819.0401153564453,1602.7801094055176,1716.3801231384277,1500.8400993347168,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(53:6)]_FA22:6,TAG,2217.260150909424,1782.6201248168945,1522.6601028442383,1527.5801048278809,1738.640121459961,3122.180221557617,1896.4601287841797,1528.0001106262207,1554.280117034912,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(53:7)|TG(52:0)]_FA22:6,TAG,1842.4401206970215,1609.260124206543,1550.8000984191895,1619.1401062011719,1506.2400932312012,2336.580146789551,1673.08012008667,1496.780117034912,1518.1001167297363,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(53:8)|TG(52:1)]_FA22:6,TAG,1531.8600997924805,1650.9801216125488,1614.720115661621,1639.0401077270508,1748.1201286315918,1722.8601188659668,1570.3201217651367,1685.540111541748,1879.0001182556152,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(53:9)|TG(52:2)]_FA22:6,TAG,1651.6401062011719,1995.1201400756836,1667.6201133728027,1650.7201194763184,1518.1401062011719,1756.0601234436035,1595.3801155090332,1843.1401290893555,1579.760097503662,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:10)|TG(53:3)]_FA22:6,TAG,1819.8201370239258,2152.880138397217,1789.1601371765137,1553.380111694336,1500.5201110839844,1838.6201286315918,1605.1201171875,1545.4001083374023,1648.9001121520996,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:11)|TG(53:4)]_FA22:6,TAG,1635.980110168457,1596.5401000976562,1497.8201026916504,1585.3001136779785,1496.8601112365723,1774.260124206543,1545.1601066589355,1651.0601196289062,1566.1801071166992,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:12)|TG(53:5)]_FA22:6,TAG,1733.680118560791,1549.560115814209,1550.2001113891602,1523.0401039123535,1534.2801246643066,1777.9801139831543,1499.0401229858398,1654.380111694336,1547.520118713379,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:6)]_FA22:6,TAG,14025.400829315186,12124.820873260498,2311.6201667785645,1584.1001052856445,1780.0801429748535,11968.180950164795,7765.760520935059,1701.6601333618164,1663.7001190185547,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:7)|TG(53:0)]_FA22:6,TAG,17434.581325531006,21943.461429595947,1861.6801223754883,1557.9601020812988,1548.3201065063477,13227.520961761475,14868.021171569824,1556.6001052856445,1536.240104675293,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:8)|TG(53:1)]_FA22:6,TAG,5191.940357208252,8246.400577545166,1616.1801223754883,1517.4200973510742,1580.5201034545898,6594.140529632568,6971.500537872314,1540.5401077270508,1593.1601028442383,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(54:9)|TG(53:2)]_FA22:6,TAG,1789.3801193237305,1934.6401405334473,1661.5401191711426,1623.2001037597656,1559.9601211547852,1840.8801231384277,1654.16011428833,1586.6601104736328,1815.840145111084,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(55:10)|TG(54:3)]_FA22:6,TAG,1807.100112915039,1670.0201263427734,1672.360122680664,1618.8600997924805,1582.920108795166,1729.7401237487793,1805.8201332092285,1709.680118560791,1500.3001022338867,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(55:11)|TG(54:4)]_FA22:6,TAG,1507.7401084899902,1671.460117340088,1570.3001174926758,1573.5601043701172,1613.5401153564453,1744.0001106262207,1537.5001258850098,1497.9601097106934,1501.000099182129,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(55:7)|TG(54:0)]_FA22:6,TAG,3152.0802307128906,4635.300289154053,1619.1001205444336,1520.920108795166,1550.920108795166,4730.7003746032715,4411.620311737061,1658.2601165771484,1917.100112915039,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(55:8)|TG(54:1)]_FA22:6,TAG,2193.120132446289,2984.940196990967,1791.1401290893555,1584.260108947754,1551.7601165771484,3186.7802658081055,3547.9602394104004,1735.2801132202148,1599.2601203918457,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(55:9)|TG(54:2)]_FA22:6,TAG,1636.9401092529297,1906.6201362609863,1675.1201286315918,1671.6801109313965,1566.320110321045,1896.9801216125488,1566.740104675293,1559.5801162719727,1515.440097808838,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:10)|TG(55:3)]_FA22:6,TAG,2773.0601806640625,3502.600269317627,1498.1800994873047,1635.8001136779785,1497.1001014709473,2098.4801330566406,2899.8401985168457,1577.000114440918,1510.6401062011719,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:11)|TG(55:4)]_FA22:6,TAG,1661.5801086425781,2218.5001487731934,1589.4801025390625,1606.3201217651367,1612.560115814209,1699.3401184082031,1713.2801055908203,1601.3201179504395,1499.7401123046875,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:12)|TG(55:5)]_FA22:6,TAG,1652.040111541748,1931.3601379394531,1497.3001136779785,1530.9601097106934,1626.9001121520996,1865.8201293945312,1558.6601181030273,1620.9201049804688,1503.2200965881348,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:13)|TG(55:6)]_FA22:6,TAG,2498.62020111084,3561.2802352905273,1655.2801208496094,1587.14009475708,1534.5801086425781,3054.2802391052246,2130.6401405334473,1517.2801055908203,1527.5801124572754,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:6)]_FA22:6,TAG,11019.08076095581,13739.241046905518,1974.6801452636719,1542.2601051330566,1610.5801277160645,10488.600639343262,10255.7806930542,1709.5401229858398,1626.8601150512695,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:7)|TG(55:0)]_FA22:6,TAG,133064.69036102295,216156.19577026367,1759.3201370239258,1571.1001091003418,1691.8401222229004,109141.48782348633,197587.11544418335,1614.7401161193848,1709.2201194763184,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:8)|TG(55:1)]_FA22:6,TAG,113437.58730316162,203687.29341888428,1508.4001121520996,1668.5001182556152,1606.0201301574707,91263.06567382812,168591.35264968872,1877.3601379394531,1924.4001388549805,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(56:9)|TG(55:2)]_FA22:6,TAG,13120.100955963135,28891.821941375732,1496.6401100158691,1503.5200958251953,1500.2001152038574,9706.500701904297,24549.30149459839,1632.6601104736328,1568.6401138305664,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(57:10)|TG(56:3)]_FA22:6,TAG,1738.8801155090332,1763.6001358032227,1568.4601135253906,1604.7601051330566,1545.1001052856445,1912.2001419067383,1529.0401077270508,1545.840103149414,1500.7601127624512,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(57:11)|TG(56:4)]_FA22:6,TAG,1755.1601181030273,1656.3401069641113,1528.080093383789,1503.0201034545898,1571.4401092529297,1654.7601127624512,1592.3001251220703,1557.000114440918,1556.4401016235352,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(57:12)|TG(56:5)]_FA22:6,TAG,1929.8801345825195,1753.540126800537,1581.440097808838,1503.2000999450684,1496.6201171875,2110.4001502990723,1707.0401229858398,1497.9601135253906,1619.7401123046875,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(57:8)|TG(56:1)]_FA22:6,TAG,2539.8201751708984,9134.280757904053,1542.6201057434082,1502.760108947754,1545.8401069641113,3013.400215148926,4827.700313568115,1603.3001098632812,1517.16011428833,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(57:9)|TG(56:2)]_FA22:6,TAG,1801.8001174926758,2321.400173187256,1540.2800979614258,1586.4001121520996,1574.4201126098633,2403.8001594543457,2093.120128631592,1498.2401084899902,1541.9401054382324,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:10)|TG(57:3)]_FA22:6,TAG,11871.760749816895,23898.20216369629,1626.9601211547852,1576.2201042175293,1497.4001083374023,10128.060764312744,23050.221530914307,1498.0201148986816,1520.340103149414,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:11)|TG(57:4)]_FA22:6,TAG,4278.94030380249,9148.960594177246,1665.920108795166,1502.960105895996,1521.8401069641113,3797.580280303955,8361.26054763794,1497.8801002502441,1544.0201110839844,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:12)|TG(57:5)]_FA22:6,TAG,2292.3201484680176,4056.940330505371,1536.4001274108887,1546.0200996398926,1552.1001205444336,2383.500156402588,2810.28018951416,1497.960090637207,1500.720100402832,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:13)|TG(57:6)]_FA22:6,TAG,1657.4801139831543,10621.460670471191,1547.2801055908203,1503.4801025390625,1529.2601127624512,2428.4801597595215,2989.3602180480957,1509.940113067627,1753.3601150512695,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,TAG,3377.0802612304688,38312.28288269043,1660.4001121520996,1562.6201210021973,1515.940113067627,3334.040199279785,7016.520473480225,1523.4001121520996,1555.9801139831543,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:7)|TG(57:0)]_FA22:6,TAG,5802.440414428711,9712.96070098877,1497.7800979614258,1548.1001091003418,1540.5801010131836,7120.440452575684,10395.860733032227,1764.8201141357422,1555.4001083374023,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:8)|TG(57:1)]_FA22:6,TAG,15477.821063995361,35001.422760009766,1603.9201126098633,1702.6201248168945,1665.560115814209,20316.881427764893,42639.543384552,1690.1401100158691,1571.7201194763184,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(58:9)|TG(57:2)]_FA22:6,TAG,22208.48145675659,46923.90394592285,1631.5201148986816,1569.8201065063477,1582.6201133728027,21531.841514587402,52877.26348876953,1614.2000999450684,1725.6601257324219,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(59:10)|TG(58:3)]_FA22:6,TAG,2261.3001556396484,3627.000270843506,1531.3401184082031,1503.180103302002,1636.8401069641113,2133.5001525878906,2554.5001831054688,1580.9001121520996,1500.500114440918,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(59:11)|TG(58:4)]_FA22:6,TAG,2442.3401794433594,2141.380157470703,1497.5801086425781,1540.0000953674316,1497.1201095581055,1988.4201316833496,1912.880142211914,1529.9201126098633,1604.7401123046875,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(59:12)|TG(58:5)]_FA22:6,TAG,2351.340160369873,1969.6401481628418,1535.3801155090332,1503.7801055908203,1497.06010055542,2050.180145263672,1881.4201431274414,1498.5400924682617,1778.9401321411133,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(59:13)|TG(58:6)]_FA22:6,TAG,2673.3401794433594,3303.0402450561523,1542.740104675293,1531.0001029968262,1569.0201148986816,1925.4601402282715,2401.680160522461,1579.3001136779785,1640.4001197814941,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(59:9)|TG(58:2)]_FA22:6,TAG,2046.0801277160645,9596.100673675537,1497.4401092529297,1537.100112915039,1496.600112915039,2499.740188598633,2777.6602058410645,1594.1801071166992,1509.4201011657715,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:10)|TG(59:3)]_FA22:6,TAG,17295.661071777344,9986.160659790039,1553.3801002502441,1503.4401016235352,1496.7801132202148,7585.640525817871,20240.381759643555,1497.6001052856445,1500.3400955200195,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:11)|TG(59:4)]_FA22:6,TAG,4584.220291137695,9321.50068283081,1855.9001388549805,1503.300106048584,1496.9001121520996,3569.1402435302734,12368.180839538574,1513.4601020812988,1500.4401054382324,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:12)|TG(59:5)]_FA22:6,TAG,3850.1002502441406,15081.801216125488,1496.9601020812988,1574.020107269287,1541.9201049804688,3800.0602951049805,11045.70079421997,1498.0401153564453,1500.1800994873047,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:13)|TG(59:6)]_FA22:6,TAG,2078.8401260375977,8060.480518341064,1580.5801124572754,1502.9001007080078,1559.7601127624512,2211.940158843994,8234.060611724854,1541.6001205444336,1500.6400985717773,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,TAG,2262.5601768493652,7734.880535125732,1511.6401100158691,1502.700096130371,1546.1801071166992,1676.6601104736328,2654.6202125549316,1497.8601036071777,1500.6001052856445,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:15)|TG(59:8)|TG(58:1)]_FA22:6,TAG,2168.8401412963867,13962.641078948975,1528.4600982666016,1502.7800979614258,1577.2201194763184,1686.0201148986816,2918.160213470459,1598.860107421875,1574.0001106262207,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:8)|TG(59:1)]_FA22:6,TAG,9388.280727386475,7849.080539703369,1532.7201042175293,1545.9201011657715,1505.160099029541,4083.440284729004,8768.320808410645,1505.1600952148438,1500.2400970458984,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(60:9)|TG(59:2)]_FA22:6,TAG,23391.401763916016,14639.620834350586,1818.7201499938965,1503.5001029968262,1532.3601150512695,8477.960536956787,23861.88145828247,1567.4000968933105,1501.2400970458984,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(61:10)|TG(60:3)]_FA22:6,TAG,3080.940242767334,5462.400421142578,1496.980110168457,1502.9801025390625,1496.2001190185547,1996.4001541137695,2655.4002075195312,1498.2001037597656,1500.400089263916,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(61:11)|TG(60:4)]_FA22:6,TAG,2038.8201332092285,9406.340690612793,1497.6001052856445,1502.7401008605957,1496.9601097106934,1784.7601356506348,2570.8201789855957,1580.460105895996,1500.2001037597656,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(61:12)|TG(60:5)]_FA22:6,TAG,2158.0001525878906,5676.860401153564,1540.3601150512695,1503.1800918579102,1525.1201095581055,1728.0201225280762,2277.8801307678223,1590.220115661621,1510.280101776123,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(61:13)|TG(60:6)]_FA22:6,TAG,2478.0801544189453,2176.3201637268066,1562.7401161193848,1576.6201095581055,1547.040096282959,1762.1801109313965,2002.160140991211,1635.260124206543,1596.8401222229004,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(61:14)|TG(60:7)|TG(59:0)]_FA22:6,TAG,3055.980213165283,2562.1201705932617,1588.6401023864746,1558.180103302002,1496.5000953674316,2164.3601570129395,3063.9602088928223,1536.0601043701172,1500.3401107788086,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:10)|TG(61:3)]_FA22:6,TAG,9728.560607910156,6481.780517578125,1607.0001029968262,1544.66011428833,1576.2801132202148,4435.760303497314,11046.34075164795,1575.5201110839844,1601.3801078796387,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:11)|TG(61:4)]_FA22:6,TAG,8434.840564727783,8495.740562438965,1576.860122680664,1544.900104522705,1599.8801155090332,5035.720363616943,15946.881183624268,1637.8001327514648,1541.0001106262207,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:12)|TG(61:5)]_FA22:6,TAG,6348.880420684814,6613.7404136657715,1497.5600967407227,1502.66011428833,1496.8201141357422,3056.4802207946777,11248.720672607422,1601.760124206543,1499.9401092529297,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:13)|TG(61:6)]_FA22:6,TAG,4122.960311889648,12458.801048278809,1622.0601234436035,1502.8600997924805,1496.6801071166992,2646.800189971924,16014.381164550781,1497.4001083374023,1614.4001121520996,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:14)|TG(61:7)|TG(60:0)]_FA22:6,TAG,4527.680274963379,13065.96091079712,1516.1200981140137,1517.3400993347168,1499.6601066589355,3259.9802169799805,16470.921188354492,1498.3001136779785,1507.9801025390625,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:15)|TG(61:8)|TG(60:1)]_FA22:6,TAG,3433.9202423095703,3146.260223388672,1619.2601165771484,1552.6401023864746,1496.4800987243652,1929.8201446533203,3855.020252227783,1651.66011428833,1499.9600944519043,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:16)|TG(61:9)|TG(60:2)]_FA22:6,TAG,3560.320266723633,3386.500255584717,1497.3001098632812,1503.3200912475586,1496.3201065063477,2414.620162963867,3029.040214538574,1497.800106048584,1541.0801048278809,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:7)|TG(61:0)]_FA22:6,TAG,1772.280117034912,1732.960117340088,1563.9601135253906,1544.0001029968262,1538.5201034545898,1760.8201179504395,1660.880111694336,1539.8001098632812,1541.780117034912,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:8)|TG(61:1)]_FA22:6,TAG,2036.6601333618164,1815.8401412963867,1580.0601119995117,1544.6800994873047,1538.3201179504395,1927.7801246643066,2042.3401565551758,1556.900104522705,1591.7801094055176,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(62:9)|TG(61:2)]_FA22:6,TAG,4615.180309295654,2750.980194091797,1584.7801094055176,1614.6201057434082,1632.2201118469238,1920.1601295471191,4325.18030166626,1582.3001174926758,1541.4801177978516,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(63:11)|TG(62:4)]_FA22:6,TAG,2321.280185699463,2926.5002098083496,1594.2001190185547,1545.4801063537598,1622.5801239013672,1606.240104675293,1651.4401321411133,1561.7201194763184,1542.1200981140137,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(63:12)|TG(62:5)]_FA22:6,TAG,2363.60013961792,5161.740379333496,1622.1201133728027,1545.0201034545898,1538.9201049804688,1610.020107269287,2422.660171508789,1538.6801109313965,1542.1201133728027,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(63:13)|TG(62:6)]_FA22:6,TAG,1720.2201118469238,6324.500461578369,1621.5801162719727,1543.920108795166,1538.5801162719727,1640.2401123046875,1842.1401329040527,1712.4201278686523,1541.4601020812988,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(64:10)|TG(63:3)]_FA22:6,TAG,1991.360122680664,1890.5801429748535,1623.4601211547852,1544.7400970458984,1538.8201065063477,1767.5801239013672,2071.880142211914,1580.6201171875,1541.8601036071777,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
[TG(64:11)|TG(63:4)]_FA22:6,TAG,2690.180206298828,2212.4801483154297,1649.7001342773438,1592.6800994873047,1558.000114440918,2144.9601440429688,2345.2601623535156,1579.0001106262207,1580.1400985717773,Name: E-4,Name: E-5,Name: E-4 vs Name: E-5,3,5,BlankBrain_NA
