Lipid,Class,BlankLiver_NA,C-1LiverF,C-2LiverF,C-3LiverF,C-4LiverM,C-5LiverM,C-6LiverM,E-1LiverF,E-2LiverF,E-3LiverF,E-4LiverM,E-5LiverM,E-6LiverM,BlankBrain_NA_x,C-1BrainF,C-2BrainF,C-3BrainF,C-4BrainM,C-5BrainM,C-6BrainM,E-1BrainF,E-2BrainF,E-3BrainF,E-4BrainM,E-5BrainM,E-6BrainM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1130.7000732421875,1128.7400856018066,1217.3400764465332,1132.2800750732422,1197.6800804138184,1167.9000930786133,1231.2400932312012,1160.740077972412,1157.0600814819336,1204.3400802612305,1177.3000831604004,1235.0800743103027,1124.4800758361816,1125.580078125,1127.0000762939453,1204.1000747680664,1129.4000816345215,1178.8200721740723,1127.8600769042969,1125.5800743103027,1121.980079650879,1128.0800704956055,1125.2800788879395,1167.240089416504,1128.4800720214844,1132.6600799560547,1125.580078125,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1131.1600723266602,1129.0800895690918,1131.5000762939453,1153.8200759887695,1129.1200790405273,1129.5800704956055,1168.0800743103027,1130.3800621032715,1127.9400825500488,1126.6000785827637,1126.920078277588,1124.9600715637207,1124.9800758361816,1126.0800819396973,1162.3800811767578,1126.660083770752,1130.1000709533691,1129.2000846862793,1127.6000785827637,1199.9000816345215,1121.3000869750977,1173.12007522583,1126.2000694274902,1203.8000831604004,1128.2800750732422,1183.4400749206543,1126.0800819396973,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1131.020076751709,1129.1400756835938,1131.3200759887695,1131.0000648498535,1128.9600715637207,1150.8200759887695,1128.420078277588,1131.000072479248,1127.6000747680664,1127.2600746154785,1126.740077972412,1141.9800872802734,1124.0800857543945,1126.1400833129883,1126.3600730895996,1126.7800788879395,1130.2000732421875,1129.0200729370117,1127.760066986084,1125.420078277588,1121.2200927734375,1128.8600692749023,1125.8800811767578,1140.7600784301758,1128.0400733947754,1131.9200706481934,1126.1400833129883,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1130.3800659179688,1129.3000755310059,1130.4600639343262,1130.5800819396973,1128.2600784301758,1176.2200775146484,1128.560073852539,1130.9200744628906,1127.5400733947754,1126.8800811767578,1127.3800735473633,1125.0400772094727,1124.6800842285156,1128.12007522583,1126.9800758361816,1126.9400787353516,1130.0600776672363,1154.1200866699219,1126.980079650879,1125.9800910949707,1121.6600723266602,1127.9800720214844,1126.020076751709,1125.0800971984863,1128.4800834655762,1132.0200805664062,1128.12007522583,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1140.5400733947754,1160.62007522583,1089.580078125,1089.3200721740723,1125.6000862121582,1128.9000663757324,1086.0400657653809,1089.5800666809082,1085.3600769042969,1085.060073852539,1084.8200721740723,1082.940071105957,1083.6400756835938,1083.3200721740723,1085.4000778198242,1084.6600723266602,1127.6000785827637,1086.8800735473633,1116.720069885254,1083.4400787353516,1156.5400733947754,1086.4600677490234,1084.0200729370117,1099.7400741577148,1085.6800804138184,1089.7400703430176,1083.3200721740723,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1130.9800758361816,1128.9800643920898,1130.8000717163086,1131.2000770568848,1128.640079498291,1150.0200729370117,1128.6800727844238,1130.4800720214844,1127.6800727844238,1160.2600936889648,1209.7600860595703,1124.660083770752,1124.7600746154785,1125.9000854492188,1162.500072479248,1146.7200775146484,1130.4400825500488,1128.5400657653809,1127.8000755310059,1125.2800827026367,1121.8600845336914,1128.1600799560547,1125.3400840759277,1124.9000778198242,1128.3800735473633,1132.1400756835938,1125.9000854492188,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1149.760066986084,1172.7000770568848,1140.6200714111328,1131.480079650879,1128.4400787353516,1130.1000709533691,1128.7200775146484,1130.7800750732422,1127.7000885009766,1127.1400871276855,1181.9000778198242,1124.7800636291504,1146.7600860595703,1184.060073852539,1126.6600761413574,1127.280071258545,1158.160083770752,1200.2000846862793,1126.8800735473633,1126.1400909423828,1121.4000778198242,1128.62007522583,1153.080078125,1125.1800727844238,1127.8400688171387,1190.6400871276855,1184.060073852539,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1224.5200843811035,1129.5000762939453,1214.440071105957,1194.080078125,1145.480079650879,1246.04008102417,1132.1600875854492,1140.720069885254,1127.5000839233398,1153.7000694274902,1127.520076751709,1158.500087738037,1144.54008102417,1199.3000755310059,1126.8600730895996,1127.2200775146484,1130.1400718688965,1143.3200912475586,1127.9400749206543,1176.7600860595703,1121.3800735473633,1128.1600875854492,1134.0000839233398,1125.1600799560547,1259.460090637207,1131.980079650879,1199.3000755310059,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1131.020076751709,1129.3200759887695,1131.5800819396973,1131.5800743103027,1128.1200675964355,1129.5800819396973,1127.9200820922852,1131.4600830078125,1177.0400695800781,1127.2600746154785,1126.7600746154785,1124.420078277588,1124.820083618164,1125.6400871276855,1126.520076751709,1126.5200843811035,1129.8600730895996,1129.280071258545,1127.2600708007812,1125.440086364746,1121.3200874328613,1183.3200721740723,1125.3600845336914,1124.9600791931152,1128.2800788879395,1131.8800811767578,1125.6400871276855,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR,CAR,3161.8202018737793,3090.4802207946777,2749.8801918029785,2712.0802040100098,2594.6201782226562,2478.8601684570312,2741.540184020996,2893.5401916503906,2889.500217437744,2460.800178527832,2762.18017578125,2854.3201942443848,2673.100185394287,2588.7201652526855,3006.0402069091797,2701.640167236328,2605.360179901123,2640.9401931762695,2790.120216369629,3324.70023727417,2805.4601974487305,2757.0001945495605,2313.840160369873,2679.300178527832,2940.120220184326,2954.2202072143555,2588.7201652526855,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:0),CAR,3136.240222930908,3628.7002449035645,3262.6402320861816,3411.6002349853516,3162.800205230713,3184.5002403259277,3677.980281829834,3066.200210571289,3571.3802337646484,3567.5802879333496,2903.9001998901367,2959.8401947021484,2815.6002082824707,3689.7602729797363,3072.320209503174,3397.100257873535,3490.2602577209473,2933.1202087402344,3471.0402488708496,3318.640239715576,3446.300220489502,3024.560188293457,3281.180233001709,3360.320266723633,3226.20023727417,3118.540210723877,3689.7602729797363,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:0)_QUAL,CAR,19530.881370544434,16828.701122283936,19284.381393432617,17431.20122909546,17801.801250457764,17796.901363372803,18691.90132522583,20351.46155166626,19099.841339111328,18975.461433410645,17121.460975646973,19003.141410827637,18346.261333465576,19356.50132751465,17154.961280822754,18484.181339263916,20160.42151260376,20858.641452789307,19791.401485443115,18488.02127456665,19051.381298065186,19263.661403656006,19472.421325683594,19621.44150543213,18662.30125427246,17832.421253204346,19356.50132751465,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:1),CAR,5927.680419921875,5687.080406188965,5409.580371856689,5688.680381774902,5875.580425262451,6221.28044128418,5741.580406188965,5801.04040145874,5474.780448913574,6215.460418701172,5653.460369110107,5827.640434265137,5926.840408325195,6174.940448760986,5044.020389556885,5254.600399017334,5625.040416717529,5558.220420837402,5532.740421295166,4755.080360412598,4970.860363006592,5415.380432128906,5643.820415496826,6166.220386505127,5727.700412750244,6244.700435638428,6174.940448760986,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
CAR(10:1)_QUAL,CAR,5854.000415802002,5716.3404541015625,4572.540306091309,4470.360324859619,4805.680320739746,5078.840362548828,4440.440330505371,4674.800331115723,4547.900367736816,5269.940353393555,4367.76033782959,4263.740287780762,4409.98030090332,4806.960353851318,4411.720287322998,4846.360382080078,4901.480358123779,5035.240310668945,4052.860248565674,5011.980327606201,4747.500385284424,4344.42032623291,4998.920364379883,5106.680400848389,4142.520286560059,4318.020313262939,4806.960353851318,Type: Liver,Type: Brain,Type: Liver vs Type: Brain,13,13,BlankBrain_NA
