Lipid,Class,BlankBrain_NA_x,E-5BrainM,E-6BrainM,BlankLiver_NA,E-4LiverM,E-5LiverM,E-6LiverM,BlankBrain_NA_y,Title1,Title2,Title,length1,length2,Blank_name
[TG(46:6)]_FA22:6,TAG,1589.6801071166992,1676.1201133728027,1770.5001258850098,1497.700107574463,2379.8601684570312,2530.8601875305176,2446.1001510620117,1589.6801071166992,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(47:6)]_FA22:6,TAG,1585.3601150512695,1758.880111694336,1851.0601272583008,1496.7401123046875,1664.8401145935059,1523.260097503662,1730.5401153564453,1585.3601150512695,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(48:6)]_FA22:6,TAG,1554.200107574463,1526.8801193237305,1557.600112915039,1560.320110321045,1872.7401313781738,1660.0801124572754,1902.8401222229004,1554.200107574463,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(48:7)|TG(47:0)]_FA22:6,TAG,1908.460147857666,1899.2801399230957,1734.9001159667969,1644.1601257324219,1760.8201217651367,2074.4201316833496,1927.4201469421387,1908.460147857666,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(48:8)|TG(47:1)]_FA22:6,TAG,1775.8201332092285,1967.4201431274414,2270.980152130127,2053.000141143799,2939.62020111084,2335.18013381958,2807.8401947021484,1775.8201332092285,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(49:6)]_FA22:6,TAG,1714.5401153564453,1929.8401412963867,1686.4801139831543,1669.9801292419434,1784.9801216125488,1739.5201225280762,1893.0401191711426,1714.5401153564453,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(49:7)|TG(48:0)]_FA22:6,TAG,1644.4001159667969,1697.6201171875,1765.0601196289062,1576.860122680664,2439.9401512145996,2096.0601387023926,1554.0001068115234,1644.4001159667969,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(49:8)|TG(48:1)]_FA22:6,TAG,1500.1001167297363,1702.0401229858398,1822.9201202392578,1507.540111541748,1772.460117340088,1887.1401329040527,1754.5001182556152,1500.1001167297363,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(50:6)]_FA22:6,TAG,1502.180103302002,1575.7801208496094,1707.5601196289062,1605.760124206543,1600.9801025390625,1908.9201354980469,1848.5801429748535,1502.180103302002,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(50:7)|TG(49:0)]_FA22:6,TAG,1515.7801132202148,1561.920108795166,1575.1201095581055,1562.7401123046875,1905.040138244629,2032.2201538085938,1602.0201034545898,1515.7801132202148,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(50:8)|TG(49:1)]_FA22:6,TAG,1618.540111541748,1631.4201164245605,1577.440113067627,1497.0601081848145,2018.2801551818848,1845.7201347351074,1877.3601341247559,1618.540111541748,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(50:9)|TG(49:2)]_FA22:6,TAG,3191.4602432250977,1939.380142211914,1782.9401245117188,1623.2001152038574,2648.160202026367,2177.9601516723633,1837.1001358032227,3191.4602432250977,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(51:6)]_FA22:6,TAG,1770.1801223754883,1711.3001174926758,1961.2201347351074,1571.380111694336,2204.920135498047,1777.9801177978516,2233.2601776123047,1770.1801223754883,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(51:7)|TG(50:0)]_FA22:6,TAG,1776.240119934082,1877.1401329040527,1832.000129699707,1697.0801162719727,1969.9201354980469,2093.9601554870605,2067.2001457214355,1776.240119934082,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(51:8)|TG(50:1)]_FA22:6,TAG,1681.5001220703125,1501.240104675293,1564.7001152038574,1496.9401016235352,1806.1601219177246,1905.3001403808594,1783.2801361083984,1681.5001220703125,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(51:9)|TG(50:2)]_FA22:6,TAG,2926.0402221679688,1842.8001327514648,2031.6001472473145,2398.2801475524902,1905.5601387023926,1942.7601165771484,2212.120132446289,2926.0402221679688,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(52:10)|TG(51:3)]_FA22:6,TAG,1609.0801086425781,1642.8801231384277,1498.8600997924805,1666.3401222229004,2013.500144958496,1705.5401191711426,1518.800106048584,1609.0801086425781,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(52:6)]_FA22:6,TAG,1619.9401092529297,1532.7801208496094,1616.420108795166,1561.1401290893555,3731.000228881836,2950.6002082824707,6002.3203125,1619.9401092529297,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(52:7)|TG(51:0)]_FA22:6,TAG,1800.6801261901855,1671.1601257324219,1773.2601318359375,1604.4801177978516,2350.3601455688477,2140.660167694092,3069.880229949951,1800.6801261901855,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(52:8)|TG(51:1)]_FA22:6,TAG,2610.360176086426,1941.7601432800293,2110.120162963867,1637.9601211547852,1699.8001327514648,2004.8601379394531,1972.020149230957,2610.360176086426,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(52:9)|TG(51:2)]_FA22:6,TAG,1707.3601188659668,1665.58012008667,1702.0601348876953,1546.540111541748,1645.720115661621,1847.2201385498047,1654.2801094055176,1707.3601188659668,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(53:10)|TG(52:3)]_FA22:6,TAG,1500.8400993347168,1592.8201026916504,1594.2601165771484,1564.960117340088,1916.0401229858398,1819.0401153564453,2185.5401344299316,1500.8400993347168,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(53:6)]_FA22:6,TAG,1554.280117034912,1738.640121459961,1624.920124053955,1543.2801094055176,2217.260150909424,3122.180221557617,2845.2001991271973,1554.280117034912,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(53:7)|TG(52:0)]_FA22:6,TAG,1518.1001167297363,1506.2400932312012,1625.8001251220703,1496.9401054382324,1842.4401206970215,2336.580146789551,1864.4001350402832,1518.1001167297363,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(53:8)|TG(52:1)]_FA22:6,TAG,1879.0001182556152,1748.1201286315918,1894.18013381958,1496.1801071166992,1531.8600997924805,1722.8601188659668,1627.8801155090332,1879.0001182556152,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(53:9)|TG(52:2)]_FA22:6,TAG,1579.760097503662,1518.1401062011719,1761.6801147460938,1624.760108947754,1651.6401062011719,1756.0601234436035,1811.0601234436035,1579.760097503662,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:10)|TG(53:3)]_FA22:6,TAG,1648.9001121520996,1500.5201110839844,1616.2401237487793,1554.0801048278809,1819.8201370239258,1838.6201286315918,1746.1001243591309,1648.9001121520996,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:11)|TG(53:4)]_FA22:6,TAG,1566.1801071166992,1496.8601112365723,1509.360107421875,1533.7201080322266,1635.980110168457,1774.260124206543,1630.7601127624512,1566.1801071166992,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:12)|TG(53:5)]_FA22:6,TAG,1547.520118713379,1534.2801246643066,1541.860122680664,1629.980125427246,1733.680118560791,1777.9801139831543,1752.8201179504395,1547.520118713379,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:6)]_FA22:6,TAG,1663.7001190185547,1780.0801429748535,1735.2801246643066,1507.0201110839844,14025.400829315186,11968.180950164795,25553.961807250977,1663.7001190185547,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:7)|TG(53:0)]_FA22:6,TAG,1536.240104675293,1548.3201065063477,1568.860107421875,1565.0001106262207,17434.581325531006,13227.520961761475,37808.883083343506,1536.240104675293,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:8)|TG(53:1)]_FA22:6,TAG,1593.1601028442383,1580.5201034545898,1677.9001159667969,1723.8801231384277,5191.940357208252,6594.140529632568,12344.220840454102,1593.1601028442383,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(54:9)|TG(53:2)]_FA22:6,TAG,1815.840145111084,1559.9601211547852,1498.880111694336,1497.0601119995117,1789.3801193237305,1840.8801231384277,2373.900192260742,1815.840145111084,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(55:10)|TG(54:3)]_FA22:6,TAG,1500.3001022338867,1582.920108795166,1669.140121459961,1659.8201217651367,1807.100112915039,1729.7401237487793,1509.880111694336,1500.3001022338867,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(55:11)|TG(54:4)]_FA22:6,TAG,1501.000099182129,1613.5401153564453,1577.420108795166,1597.9601135253906,1507.7401084899902,1744.0001106262207,1587.420108795166,1501.000099182129,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(55:7)|TG(54:0)]_FA22:6,TAG,1917.100112915039,1550.920108795166,1619.7401275634766,1546.920108795166,3152.0802307128906,4730.7003746032715,6583.020484924316,1917.100112915039,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(55:8)|TG(54:1)]_FA22:6,TAG,1599.2601203918457,1551.7601165771484,1626.0201148986816,1496.7401084899902,2193.120132446289,3186.7802658081055,4697.0203285217285,1599.2601203918457,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(55:9)|TG(54:2)]_FA22:6,TAG,1515.440097808838,1566.320110321045,1532.240104675293,1496.7801094055176,1636.9401092529297,1896.9801216125488,1931.260124206543,1515.440097808838,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:10)|TG(55:3)]_FA22:6,TAG,1510.6401062011719,1497.1001014709473,1530.7401084899902,1496.4001197814941,2773.0601806640625,2098.4801330566406,4050.5602951049805,1510.6401062011719,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:11)|TG(55:4)]_FA22:6,TAG,1499.7401123046875,1612.560115814209,1504.7600936889648,1808.3001289367676,1661.5801086425781,1699.3401184082031,1880.4801216125488,1499.7401123046875,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
[TG(56:12)|TG(55:5)]_FA22:6,TAG,1503.2200965881348,1626.9001121520996,1613.2001266479492,1496.4801063537598,1652.040111541748,1865.8201293945312,1636.9201049804688,1503.2200965881348,Type: Brain,Type: Liver,Type: Brain vs Type: Liver,3,4,BlankBrain_NA
