P1-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_IPA Wash_N1_DoloresLab_5_24_24.d
P1-A2,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_BLANK1_N1_DoloresLab_5_24_24.d
P1-A3,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_A7_N1_DoloresLab_5_24_24.d
P1-A4,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_A8_N1_DoloresLab_5_24_24.d
P1-A5,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_A11_N1_DoloresLab_5_24_24.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\50.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\51.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\52.d
P1-A6,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_BLANK2_N1_DoloresLab_5_24_24.d
P1-A7,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_A12_N1_DoloresLab_5_24_24.d
P1-A8,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_B1_N1_DoloresLab_5_24_24.d
P1-A9,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_B2_N1_DoloresLab_5_24_24.d
P1-B1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_B5_N1_DoloresLab_5_24_24.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\100.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\101.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\102.d
P1-B2,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_BLANK3_N1_DoloresLab_5_24_24.d
P1-B3,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_BLANK4_N1_DoloresLab_5_24_24.d
P1-B4,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_B8_N1_DoloresLab_5_24_24.d
P1-B5,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_B10_N1_DoloresLab_5_24_24.d
P1-B6,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\FFA_HepG2_WT_P4_Single cell_C2_N1_DoloresLab_5_24_24.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\150.d
P2-A1,D:\MassHunter\methods\Pooja\FA_AMP_MRMs_FlowInj.m,D:\MassHunter\Data\Pooja\01-10-2024\151.d
