Lipid,Class,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M3_Male_WT_diencephalon,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8721.760601043701,8496.220573425293,7482.000534057617,7950.900543212891,7859.120552062988,8591.540615081787,8456.700565338135,7816.26053237915,7244.800518035889,7988.360569000244,8907.860569000244,9689.680694580078,9103.68058013916,8318.060626983643,9683.860694885254,8625.36058807373,6651.2405128479,8121.900547027588,8661.080646514893,8728.280662536621,9943.4807472229,9001.020645141602,13441.081062316896,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5578.660442352295,5174.560375213623,5487.040382385254,4784.540294647217,5014.100399017334,4904.220375061035,5379.720378875732,5258.760345458984,5725.460376739502,5644.440383911133,5710.500385284424,5799.040378570557,5613.700408935547,5115.880325317383,5562.780384063721,4875.940368652344,5350.420387268066,5962.440380096436,5883.54044342041,5874.600440979004,5175.200336456299,5280.9404220581055,10754.940727233889,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7981.360595703125,7649.420539855957,8647.680599212646,8817.300662994385,7100.140510559082,7001.560474395752,7538.640537261963,8148.64066696167,7471.060592651367,8155.760627746582,7521.940540313721,7474.940441131592,9730.06069946289,8573.660594940186,8437.140621185303,7827.200603485107,7565.280529022217,7315.440525054932,8735.280536651611,7504.920520782471,7392.36047744751,8516.400615692139,27056.321769714355,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,6294.140449523926,7492.200531005859,6836.120529174805,6579.980453491211,7610.340576171875,7272.500537872314,6505.300563812256,6925.360507965088,7301.840469360352,6282.000431060791,7045.340488433838,7792.660556793213,8455.640617370605,7122.800559997559,7462.060451507568,7081.580478668213,6531.320476531982,6674.2204513549805,6981.180500030518,6680.120403289795,6891.000469207764,7391.100601196289,68355.16482543945,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9463.600631713867,10387.820693969728,10230.800720214844,9513.240711212158,10665.660808563232,9587.62073135376,9831.780689239502,8926.260597229004,9431.900661468506,11028.820724487305,10403.060832977297,9364.940658569336,10079.72078704834,9801.420639038086,11471.380874633787,9993.420696258543,9414.240657806396,8958.880603790283,10219.000663757324,9010.560565948486,10723.620670318604,10520.740711212158,13193.50090789795,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,9130.20064163208,8720.80062866211,7684.760482788086,8613.98063659668,7778.780536651611,6957.680545806885,8124.060531616211,8245.660610198975,9102.000686645508,7994.120590209961,8062.280567169189,6948.380500793457,8531.740585327148,9086.820735931396,8534.840595245361,8146.100612640381,7164.900501251221,7889.580490112305,6952.5604820251465,9662.620708465576,8948.160636901855,7945.700611114502,13192.94090270996,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,7604.800563812256,8967.060626983643,8546.240688323975,8897.120693206787,9009.400581359863,8537.620693206787,9896.980716705322,8450.26053237915,7627.180492401123,8867.140655517578,6795.100513458252,9166.600620269775,8585.500629425049,7844.560554504394,8184.160671234131,7845.4605140686035,7688.400592803955,7641.720508575439,8179.280578613281,8867.580646514893,8476.04061126709,8828.020603179932,12938.94090270996,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9360.44066619873,10158.96078491211,8225.540557861328,9446.380672454834,7974.500499725342,8683.720638275146,8911.160659790039,8991.360679626465,8944.500610351562,9326.140670776367,7866.760555267334,9683.500770568848,9094.540645599363,8104.660575866699,9039.380615234377,8792.560592651367,8411.940547943115,9123.76065826416,9397.540691375732,8241.660564422607,9300.860637664797,9237.920612335203,13541.00082397461,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5483.860397338867,4514.820331573486,5524.400386810303,5031.420360565186,4816.900321960449,4302.840286254883,4359.140319824219,4763.640342712402,5430.340396881104,4872.92036819458,5930.140460968018,5406.7203941345215,4893.760341644287,5042.760368347168,4238.940307617188,4325.000301361084,5538.38037109375,4207.600303649902,4082.340297698975,4185.040294647217,4203.360305786133,5002.220348358154,7750.14049911499,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
CAR,CAR,43833.5830078125,43585.40316390991,46375.6432800293,45474.48294067383,45143.28335571289,43133.10283660889,44140.14300537109,43209.50308227539,43654.66324234009,45301.8030090332,43425.30322265625,48045.42339324951,44239.42311859131,44804.78328704834,45977.12314987183,44137.56300354004,42941.82299804688,45300.703125,46440.56329345703,44319.92311859131,44849.38299560547,44907.54349899292,43366.06298828125,Brain Region: diencephalon,Brain Region: cerebellum,Brain Region: diencephalon vs Brain Region: cerebellum_,11,11,Blank_Blank_Blank_Blank_Blank
