Lipid,Class,DOD93_F4_Female_5xFAD_cortex ,DOD94_F3_Female_WT_cortex ,DOD94_F4_Female_5xFAD_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex ,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD189_M3_Male_WT_cortex ,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8577.140621185303,8556.320613861084,8411.740604400635,9057.300678253174,9157.600639343262,8606.400630950928,8032.560604095459,8372.62056350708,9455.100658416748,8996.280673980713,7941.820571899414,8568.220588684082,9405.820568084717,7539.040561676025,9459.980648040771,10246.540729522703,9422.880630493164,8103.28050994873,9328.74059677124,7853.820575714111,7526.620525360107,8502.580646514893,13441.081062316896,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5413.460395812988,5586.460422515869,5130.460311889648,5187.240390777588,5140.6403884887695,5083.880325317383,4992.280368804932,5207.060371398926,5169.540332794189,5385.900367736816,5650.460433959961,6196.2203941345215,6342.060436248779,5558.380397796631,6090.04044342041,4964.380420684814,4728.700328826904,5426.940364837647,6087.420398712158,4840.38032913208,6039.360454559326,4769.1403160095215,10754.940727233889,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7802.7805519104,8935.140686035156,8101.120586395264,7529.460517883301,7177.440525054932,7682.240562438965,7889.780548095703,9290.400688171389,7599.900527954102,8540.080627441406,7143.50057220459,8040.980537414551,8820.540557861328,8830.200618743896,8016.700466156006,6966.100521087647,7963.640594482422,7556.000484466553,8501.54056930542,8617.040580749512,7841.540504455566,9123.6806640625,27056.321769714355,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7725.420509338379,7825.100547790527,7911.000511169434,7308.280502319336,7817.520641326904,6025.6804122924805,6531.6804122924805,6837.580448150635,6861.660495758057,6835.160507202148,5950.34041595459,8824.200637817383,8471.44058227539,6892.3405113220215,8289.540588378906,7708.760517120361,7387.7204666137695,6929.780529022217,7972.80057144165,7407.040462493896,7077.020511627197,7738.960517883301,68355.16482543945,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9810.380699157717,11419.08081817627,10066.900783538818,8188.940574645996,9193.160587310793,10164.000652313232,9522.38064956665,9565.300636291504,9627.140628814695,8906.200630187988,8808.120651245117,9922.920711517334,11664.580917358398,10515.620750427246,11893.50090789795,10403.620761871338,9144.52071762085,9044.040603637695,10325.38069152832,9532.360694885254,7362.540512084961,9717.960689544678,13193.50090789795,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,7057.380542755127,9121.740673065186,9158.640632629396,7323.460487365723,8253.400569915771,8036.820648193359,7571.140548706055,8650.720581054688,8321.620628356934,8472.860595703125,9187.500675201416,9591.080646514893,8999.600646972656,9780.680618286133,7377.740520477295,6880.700462341309,8497.62064743042,6567.540424346924,8535.900554656982,8389.480564117432,8646.800594329834,9617.800693511965,13192.94090270996,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8940.48063659668,8972.260669708252,9711.52070236206,9798.38064956665,7844.500450134277,7200.280479431152,7675.76053237915,9663.680641174316,7982.120601654053,8871.46057510376,7633.620571136475,8188.280567169189,9322.560707092283,8967.700687408447,8441.600650787354,8661.54063796997,9095.020606994629,7373.140491485596,8803.960636138916,8424.600608825684,8506.620639801025,7818.540576934814,12938.94090270996,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9297.44063949585,9035.960704803469,8682.920627593994,7791.880554199219,7576.020568847656,9140.360649108889,8521.640590667725,9130.02063369751,7924.540603637695,8394.86054611206,8344.720603942871,9959.060760498049,9305.840671539308,9261.020671844482,8322.800582885742,7525.360569000244,7998.040481567383,8090.720592498779,9259.84059906006,8871.680603027344,10224.440731048584,8220.380592346191,13541.00082397461,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5353.00036239624,5664.36043548584,4756.000324249268,5018.540355682373,4554.840305328369,4806.460300445557,4541.100345611572,4670.720272064209,4736.000328063965,4317.760311126709,4828.840335845947,4845.380363464356,5088.340351104736,5247.520420074463,5432.660427093506,4244.940311431885,4462.100303649902,4042.78031539917,4582.320308685303,4141.960292816162,4958.100357055664,4383.04029083252,7750.14049911499,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44588.18323516846,46690.843338012695,45051.662799835205,45878.46336364746,44235.50297164917,45573.5832824707,43828.32273101807,47234.3635559082,42878.10280609131,45222.9833984375,45410.30307006836,44582.10324859619,45458.96347427368,44112.16289901733,45654.92342758179,44922.58319091797,44156.24300765991,43946.92301940918,45818.92294692993,44124.86301803589,42652.34308624268,44214.12307739258,43366.06298828125,Brain Region: cortex,Brain Region: hippocampus,Brain Region: cortex vs Brain Region: hippocampus_,11,11,Blank_Blank_Blank_Blank_Blank
