Lipid,Class,DOD93_F4_Female_5xFAD_cortex ,DOD94_F3_Female_WT_cortex ,DOD94_F4_Female_5xFAD_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex _x,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD189_M3_Male_WT_cortex _x,FAD185_M4_Male_WT_cerebellum,FAD185_M4_Male_WT_cortex _y,FAD185_M4_Male_WT_diencephalon,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cerebellum,FAD189_M3_Male_WT_cortex _y,FAD189_M3_Male_WT_diencephalon,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8577.140621185303,8556.320613861084,8411.740604400635,9057.300678253174,9157.600639343262,8606.400630950928,8032.560604095459,8372.62056350708,9455.100658416748,8996.280673980713,7941.820571899414,8661.080646514893,8372.62056350708,7816.26053237915,9328.74059677124,9001.020645141602,7941.820571899414,8907.860569000244,8502.580646514893,13441.081062316896,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5413.460395812988,5586.460422515869,5130.460311889648,5187.240390777588,5140.6403884887695,5083.880325317383,4992.280368804932,5207.060371398926,5169.540332794189,5385.900367736816,5650.460433959961,5883.54044342041,5207.060371398926,5258.760345458984,6087.420398712158,5280.9404220581055,5650.460433959961,5710.500385284424,4769.1403160095215,10754.940727233889,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7802.7805519104,8935.140686035156,8101.120586395264,7529.460517883301,7177.440525054932,7682.240562438965,7889.780548095703,9290.400688171389,7599.900527954102,8540.080627441406,7143.50057220459,8735.280536651611,9290.400688171389,8148.64066696167,8501.54056930542,8516.400615692139,7143.50057220459,7521.940540313721,9123.6806640625,27056.321769714355,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7725.420509338379,7825.100547790527,7911.000511169434,7308.280502319336,7817.520641326904,6025.6804122924805,6531.6804122924805,6837.580448150635,6861.660495758057,6835.160507202148,5950.34041595459,6981.180500030518,6837.580448150635,6925.360507965088,7972.80057144165,7391.100601196289,5950.34041595459,7045.340488433838,7738.960517883301,68355.16482543945,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9810.380699157717,11419.08081817627,10066.900783538818,8188.940574645996,9193.160587310793,10164.000652313232,9522.38064956665,9565.300636291504,9627.140628814695,8906.200630187988,8808.120651245117,10219.000663757324,9565.300636291504,8926.260597229004,10325.38069152832,10520.740711212158,8808.120651245117,10403.060832977297,9717.960689544678,13193.50090789795,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,7057.380542755127,9121.740673065186,9158.640632629396,7323.460487365723,8253.400569915771,8036.820648193359,7571.140548706055,8650.720581054688,8321.620628356934,8472.860595703125,9187.500675201416,6952.5604820251465,8650.720581054688,8245.660610198975,8535.900554656982,7945.700611114502,9187.500675201416,8062.280567169189,9617.800693511965,13192.94090270996,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8940.48063659668,8972.260669708252,9711.52070236206,9798.38064956665,7844.500450134277,7200.280479431152,7675.76053237915,9663.680641174316,7982.120601654053,8871.46057510376,7633.620571136475,8179.280578613281,9663.680641174316,8450.26053237915,8803.960636138916,8828.020603179932,7633.620571136475,6795.100513458252,7818.540576934814,12938.94090270996,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9297.44063949585,9035.960704803469,8682.920627593994,7791.880554199219,7576.020568847656,9140.360649108889,8521.640590667725,9130.02063369751,7924.540603637695,8394.86054611206,8344.720603942871,9397.540691375732,9130.02063369751,8991.360679626465,9259.84059906006,9237.920612335203,8344.720603942871,7866.760555267334,8220.380592346191,13541.00082397461,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5353.00036239624,5664.36043548584,4756.000324249268,5018.540355682373,4554.840305328369,4806.460300445557,4541.100345611572,4670.720272064209,4736.000328063965,4317.760311126709,4828.840335845947,4082.340297698975,4670.720272064209,4763.640342712402,4582.320308685303,5002.220348358154,4828.840335845947,5930.140460968018,4383.04029083252,7750.14049911499,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44588.18323516846,46690.843338012695,45051.662799835205,45878.46336364746,44235.50297164917,45573.5832824707,43828.32273101807,47234.3635559082,42878.10280609131,45222.9833984375,45410.30307006836,46440.56329345703,47234.3635559082,43209.50308227539,45818.92294692993,44907.54349899292,45410.30307006836,43425.30322265625,44214.12307739258,43366.06298828125,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,326281.06273651123,325325.32315444946,331376.14420318604,335961.30155944824,335777.3225479126,331718.70194625854,329772.5221824646,340525.80432128906,326426.52296829224,323925.32470703125,328064.2437477112,336707.025100708,340525.80432128906,328669.7445831299,336500.48387146,331391.22269821167,328064.2437477112,326717.8415489197,331624.142780304,359584.1459960937,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1531624.4029922483,1480806.9035568235,1535708.4461669922,1524868.5276794434,1523881.3316841123,1471178.2422294617,1420216.2540550232,1553006.9069480896,1469332.7677192688,1504513.7513008118,1552883.4630699158,1554215.237365723,1553006.9069480896,1534842.3647384644,1510906.8490447998,1482649.1044578552,1552883.4630699158,1457573.125499725,1524739.723186493,1358931.08203125,Brain Region: cortex,Sex: Male | Genotype: WT,Brain Region: cortex vs Sex: Male__Genotype: WT_,11,8,Blank_Blank_Blank_Blank_Blank
