Lipid,Class,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD189_M3_Male_WT_hippocampus,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8568.220588684082,9405.820568084717,7539.040561676025,9459.980648040771,10246.540729522703,9422.880630493164,8103.28050994873,9328.74059677124,7853.820575714111,7526.620525360107,8502.580646514893,8721.760601043701,8496.220573425293,7482.000534057617,7950.900543212891,7859.120552062988,8591.540615081787,8456.700565338135,7816.26053237915,7244.800518035889,7988.360569000244,8907.860569000244,13441.081062316896,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,6196.2203941345215,6342.060436248779,5558.380397796631,6090.04044342041,4964.380420684814,4728.700328826904,5426.940364837647,6087.420398712158,4840.38032913208,6039.360454559326,4769.1403160095215,5578.660442352295,5174.560375213623,5487.040382385254,4784.540294647217,5014.100399017334,4904.220375061035,5379.720378875732,5258.760345458984,5725.460376739502,5644.440383911133,5710.500385284424,10754.940727233889,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,8040.980537414551,8820.540557861328,8830.200618743896,8016.700466156006,6966.100521087647,7963.640594482422,7556.000484466553,8501.54056930542,8617.040580749512,7841.540504455566,9123.6806640625,7981.360595703125,7649.420539855957,8647.680599212646,8817.300662994385,7100.140510559082,7001.560474395752,7538.640537261963,8148.64066696167,7471.060592651367,8155.760627746582,7521.940540313721,27056.321769714355,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,8824.200637817383,8471.44058227539,6892.3405113220215,8289.540588378906,7708.760517120361,7387.7204666137695,6929.780529022217,7972.80057144165,7407.040462493896,7077.020511627197,7738.960517883301,6294.140449523926,7492.200531005859,6836.120529174805,6579.980453491211,7610.340576171875,7272.500537872314,6505.300563812256,6925.360507965088,7301.840469360352,6282.000431060791,7045.340488433838,68355.16482543945,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9922.920711517334,11664.580917358398,10515.620750427246,11893.50090789795,10403.620761871338,9144.52071762085,9044.040603637695,10325.38069152832,9532.360694885254,7362.540512084961,9717.960689544678,9463.600631713867,10387.820693969728,10230.800720214844,9513.240711212158,10665.660808563232,9587.62073135376,9831.780689239502,8926.260597229004,9431.900661468506,11028.820724487305,10403.060832977297,13193.50090789795,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,9591.080646514893,8999.600646972656,9780.680618286133,7377.740520477295,6880.700462341309,8497.62064743042,6567.540424346924,8535.900554656982,8389.480564117432,8646.800594329834,9617.800693511965,9130.20064163208,8720.80062866211,7684.760482788086,8613.98063659668,7778.780536651611,6957.680545806885,8124.060531616211,8245.660610198975,9102.000686645508,7994.120590209961,8062.280567169189,13192.94090270996,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8188.280567169189,9322.560707092283,8967.700687408447,8441.600650787354,8661.54063796997,9095.020606994629,7373.140491485596,8803.960636138916,8424.600608825684,8506.620639801025,7818.540576934814,7604.800563812256,8967.060626983643,8546.240688323975,8897.120693206787,9009.400581359863,8537.620693206787,9896.980716705322,8450.26053237915,7627.180492401123,8867.140655517578,6795.100513458252,12938.94090270996,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9959.060760498049,9305.840671539308,9261.020671844482,8322.800582885742,7525.360569000244,7998.040481567383,8090.720592498779,9259.84059906006,8871.680603027344,10224.440731048584,8220.380592346191,9360.44066619873,10158.96078491211,8225.540557861328,9446.380672454834,7974.500499725342,8683.720638275146,8911.160659790039,8991.360679626465,8944.500610351562,9326.140670776367,7866.760555267334,13541.00082397461,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,4845.380363464356,5088.340351104736,5247.520420074463,5432.660427093506,4244.940311431885,4462.100303649902,4042.78031539917,4582.320308685303,4141.960292816162,4958.100357055664,4383.04029083252,5483.860397338867,4514.820331573486,5524.400386810303,5031.420360565186,4816.900321960449,4302.840286254883,4359.140319824219,4763.640342712402,5430.340396881104,4872.92036819458,5930.140460968018,7750.14049911499,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44582.10324859619,45458.96347427368,44112.16289901733,45654.92342758179,44922.58319091797,44156.24300765991,43946.92301940918,45818.92294692993,44124.86301803589,42652.34308624268,44214.12307739258,43833.5830078125,43585.40316390991,46375.6432800293,45474.48294067383,45143.28335571289,43133.10283660889,44140.14300537109,43209.50308227539,43654.66324234009,45301.8030090332,43425.30322265625,43366.06298828125,Brain Region: hippocampus,Brain Region: diencephalon,Brain Region: hippocampus vs Brain Region: diencephalon_,11,11,Blank_Blank_Blank_Blank_Blank
