Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
PG(42:6),LPG(20:2) ,PG,LPG,54675,CRLS1,33,-1.264647694018031,0.2237233039531532,1.2166870607924525
PS(40:1),LPS(14:1) ,PS,LPS,30814,PLA2G2E,31,0.6584745842226359,0.5154716224463628,0.6503415519183455
PI(40:8),LPI(20:5) ,PI,LPI,123745,PLA2G4E,29,-0.5152480368072003,0.6113750920171264,0.5081115837923171
PC(50:0),LPC(18:0),PC,LPC,255189,PLA2G4F,23,0.9475233768657778,0.35120257544253786,0.9322592235133478
Cer(34:1),SM(34:1),Cer,SM,166929,SGMS2,17,0.7155659396762165,0.4802355105203169,0.7059238247687191
LPC(22:2),PC(40:0),LPC,PC,10162,LPCAT3,22,0.5273674795478073,0.6042200703676187,0.5183414318524208
LPC(16:1)_2,PC(34:4),LPC,PC,254531,LPCAT4,22,0.8888691002626755,0.3821043650074606,0.8740255035480052
LPE(14:0),PE(32:4),LPE,PE,254531,LPCAT4,26,-0.6140970111901694,0.5442609858334786,0.6063821996848088
PE(18:4),PS(38:9),PE,PS,81490,PTDSS2,7,1.33519467775723,0.19303397951148538,1.3016560808159683
PC(32:2),LPC(15:1),PC,LPC,26279,PLA2G2D,23,-0.4862447581011516,0.6325092910007221,0.4781979928112935
LPE(20:2),PE(38:0),LPE,PE,154141,MBOAT1,26,-0.27286103073487333,0.7878086275568488,0.2691573132293522
PC(38:2),LPC(22:2),PC,LPC,5321,PLA2G4A,23,-1.1608009076184462,0.26017346476894443,1.1259812289174518
SM(32:0),Cer1P(20:1),SM,Cer,6609,SMPD1,18,0.7960943164205029,0.4335636726778216,0.7831080358150815
LPS(18:4)_2,PS(38:5),LPS,PS,254531,LPCAT4,30,0.6648068448742809,0.5124878208999244,0.654968832920861
PC(40:6),LPC(18:0),PC,LPC,30814,PLA2G2E,23,0.6274682498902816,0.5367157974732515,0.6177869339661367
PC(40:0),LPC(20:0),PC,LPC,8605,PLA2G4C,23,2.3400420546453256,0.02949909836694291,2.176751702749065
LPC(20:0),PC(42:0),LPC,PC,254531,LPCAT4,22,-1.5813239550411309,0.12465342804959302,1.5355310828526993
PS(30:3),LPS(18:2) ,PS,LPS,5320,PLA2G2A,31,-1.7282105670072554,0.09754826614649631,1.6568576110258115
LPS(16:0) ,PS(38:1),LPS,PS,254531,LPCAT4,30,-0.3329355531858238,0.7421972860745538,0.3289449657416392
PC(40:8),LPC(20:3),PC,LPC,26279,PLA2G2D,23,0.8016168450101119,0.43205625049666396,0.7856778372290804
LPE(14:1),PE(26:0),LPE,PE,254531,LPCAT4,26,-1.7518103933121072,0.09358297446155951,1.6767929621014812
