Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
LPC(20:3),PC(42:8),LPC,PC,10162,LPCAT3,22,-0.8699867069390241,0.3916352372141759,0.8566556197580564
PC(40:0),LPC(18:1),PC,LPC,5321,PLA2G4A,23,1.1303916984121865,0.2717873017329595,1.0989559007626288
PC(38:4),LPC(16:0),PC,LPC,123745,PLA2G4E,23,-0.8934685829636687,0.3814348149052037,0.8752556585251731
PC(42:2),LPC(18:2),PC,LPC,30814,PLA2G2E,23,1.3449916090282932,0.19393117729768675,1.2990371585688558
LPS(18:4),PS(38:1),LPS,PS,154141,MBOAT1,30,1.9951326056201493,0.0556877346520733,1.913471375008276
PG(42:6),LPG(20:0),PG,LPG,283748,PLA2G4D,33,0.9417952974271487,0.3543369427900753,0.9262098342644166
PS(34:0),LPS(16:0) ,PS,LPS,30814,PLA2G2E,31,0.6033508783636247,0.5516034700277648,0.5953590830180356
Cer(36:1),SM(36:1),Cer,SM,10087,CERT1,17,0.8415697971865457,0.40706733880219903,0.8290655101137504
PC(42:6),LPC(22:1),PC,LPC,5320,PLA2G2A,23,0.1656735946110139,0.8695856180962069,0.16418486157871914
LPE(20:0),PE(38:1),LPE,PE,254531,LPCAT4,26,-1.440840890185774,0.17079103474170879,1.3696664866905086
LPS(20:3) ,PS(38:4),LPS,PS,10162,LPCAT3,30,0.5204993234579253,0.606796227002742,0.5146519914022907
PC(36:1),LPC(24:0),PC,LPC,5321,PLA2G4A,23,-0.6009817921803188,0.5546120828899495,0.5908632029276413
LPC(24:1),PC(44:1),LPC,PC,254531,LPCAT4,22,0.7245353269273765,0.4751937763153298,0.7140540202255814
PC(40:6),LPC(22:6),PC,LPC,5321,PLA2G4A,23,-1.1504400866839235,0.2661081305961725,1.1120698225780454
PE(20:1),PC(40:2),PE,PC,10400,PEMT,8,-1.4508293197274482,0.16593911719113463,1.3853707924783434
PC(40:2),LPC(18:2),PC,LPC,123745,PLA2G4E,23,1.2243485863293102,0.23142845611581758,1.1966873072860742
LPC(14:0),PC(46:0),LPC,PC,10162,LPCAT3,22,1.1036375602469883,0.28141973865629355,1.077135492862381
PC(42:6),LPC(18:0),PC,LPC,5321,PLA2G4A,23,1.2692035995172237,0.2193697413174239,1.228205748475014
PG(42:4),LPG(22:4) ,PG,LPG,54675,CRLS1,33,-0.8664445937050039,0.39344728218953495,0.8533823930753048
