Lipid,Class,FAD185_M1_Male_5xFAD_hippocampus_x,FAD185_M3_Male_5xFAD_hippocampus_x,FAD189_M1_Male_5xFAD_hippocampus_x,FAD189_M2_Male_5xFAD_hippocampus_x,FAD185_M1_Male_5xFAD_hippocampus_y,FAD185_M3_Male_5xFAD_hippocampus_y,FAD189_M1_Male_5xFAD_hippocampus_y,FAD189_M2_Male_5xFAD_hippocampus_y,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:3),CAR,468108.49212265015,470671.4733543396,470697.6712036133,460852.37074661255,468108.49212265015,470671.4733543396,470697.6712036133,460852.37074661255,611447.3291015625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,647800.7481269836,666427.1296043396,641976.5270996094,678101.4078559875,647800.7481269836,666427.1296043396,641976.5270996094,678101.4078559875,633677.9819335938,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,219353.91617584229,220078.17582702637,216354.03619003296,213329.99577713013,219353.91617584229,220078.17582702637,216354.03619003296,213329.99577713013,307762.5842285156,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,936028.9175796509,954372.5708656311,916378.5413360596,942803.9660987854,936028.9175796509,954372.5708656311,916378.5413360596,942803.9660987854,870968.1220703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6536299.536567688,6606474.931880951,6758274.149066925,6607173.447193146,6536299.536567688,6606474.931880951,6758274.149066925,6607173.447193146,6397297.76171875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1161189.3405532837,1192792.4453964233,1192158.3355522156,1164571.6839904785,1161189.3405532837,1192792.4453964233,1192158.3355522156,1164571.6839904785,1316580.955078125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,332927.7430534363,336576.90424728394,343159.0837364197,339383.0037384033,332927.7430534363,336576.90424728394,343159.0837364197,339383.0037384033,372286.30517578125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,713829.2136383057,734547.4757080078,768051.2121162415,713456.0486755371,713829.2136383057,734547.4757080078,768051.2121162415,713456.0486755371,886736.28125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,336109.3020401001,339588.00342559814,346242.2067642212,348505.52379608154,336109.3020401001,339588.00342559814,346242.2067642212,348505.52379608154,368998.52587890625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,715650.6092262268,718913.6894226074,773259.4165306091,701233.7068405151,715650.6092262268,718913.6894226074,773259.4165306091,701233.7068405151,902707.2607421875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,368244.14541625977,382283.74613952637,382226.4464111328,374254.64543533325,368244.14541625977,382283.74613952637,382226.4464111328,374254.64543533325,397565.60986328125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,753526.3537979126,772708.3506698608,783264.2549667358,744232.7703971863,753526.3537979126,772708.3506698608,783264.2549667358,744232.7703971863,898668.984375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus vs Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus,4,4,Blank_Blank_Blank_Blank_Blank
