Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1410061.365234375,1453789.9145507812,1548320.9340820312,1450974.412109375,1446175.0439453125,1469500.5795898438,1770335.1005859375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1408351.625,1448199.4814453125,1567602.6728515625,1464825.83203125,1445031.9301757812,1422254.4301757812,1833013.6752929688,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1334500.4373779297,1392547.188293457,2235124.575866699,1547859.0264282227,1384342.3704833984,1401085.4095458984,1846519.2565917969,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2215148.1447753906,2234323.5102539062,2256080.6622314453,2341072.076904297,2281951.5776367188,2132253.7890625,2077579.7651367188,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,97017264.08886719,62660995.83984375,69671289.73339844,75825428.85351562,29749622.64453125,40969587.21484375,1785924.2541503906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1807297.3984375,1819888.0288085938,2113105.662841797,1808904.2744140625,1820135.4990234375,1873401.7072753906,2578376.0740966797,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1186263.4771728516,1201712.4168701172,1592147.222290039,1355693.1580810547,1244091.2459716797,1216621.2817382812,1684194.2908935547,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,14309309.020996094,14130034.278320312,13802748.841796875,11026079.612304688,19093728.143554688,15453683.577636719,2395006.220703125,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,5710127.011474609,5824302.9326171875,5732824.095458984,4689957.828857422,7210002.552490234,6411734.287353516,2817110.0759277344,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,13681185.669433594,13360938.161621094,13065989.963378906,10508922.293945312,17918375.471679688,14634731.657226562,2155070.9477539062,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: cortex,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: cortexBlank1,3,3,10xBlank_01202023
