Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1770335.1005859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1833013.6752929688,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1846519.2565917969,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,1939767.9885253906,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2077579.7651367188,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,1785924.2541503906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1559599.7697753906,1588900.2687988281,1693150.3903808594,1906106.0573730469,1901348.1828613281,1929676.4936523438,1850445.7600097656,1793115.1359863281,1852051.1657714844,1707312.4143066406,2578376.0740966797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1684194.2908935547,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.108886719,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,2395006.220703125,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,2817110.0759277344,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10354077.518066406,18743120.123535156,17230450.004882812,14976742.081542969,12457421.822753906,15425044.841796875,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,2155070.9477539062,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,5,5,10xBlank_01202023
