Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1450974.412109375,1446175.0439453125,1469500.5795898438,1770335.1005859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1464825.83203125,1445031.9301757812,1422254.4301757812,1833013.6752929688,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1547859.0264282227,1384342.3704833984,1401085.4095458984,1846519.2565917969,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2184246.087890625,2205746.576171875,2470854.0014648438,2018780.2897949219,2341072.076904297,2281951.5776367188,2132253.7890625,2077579.7651367188,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,75825428.85351562,29749622.64453125,40969587.21484375,1785924.2541503906,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1770713.4094238281,1717515.3078613281,1811327.671875,1667394.3842773438,1808904.2744140625,1820135.4990234375,1873401.7072753906,2578376.0740966797,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1355693.1580810547,1244091.2459716797,1216621.2817382812,1684194.2908935547,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,11026079.612304688,19093728.143554688,15453683.577636719,2395006.220703125,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.2802734375,4689957.828857422,7210002.552490234,6411734.287353516,2817110.0759277344,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,16470506.173828125,19040901.25390625,19527801.967285156,19669121.095703125,10508922.293945312,17918375.471679688,14634731.657226562,2155070.9477539062,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,33323.14264297485,36546.822441101074,39283.802684783936,22294.401321411133,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,94097.04789352417,71634.02543640137,152652.411567688,90605.04538345337,119585.86815261841,86770.38639831543,115558.20627593994,49086.90395736694,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,24480.881874084473,23461.22156906128,21810.941791534424,32565.38228225708,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,77182.18599319458,67614.68476867676,112079.00816345215,75406.60494613647,100954.56726074219,83571.66579055786,98255.28512954712,104272.36771011353,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,261576.97959136963,228328.85834503174,223601.65310287476,227696.1364517212,304801.284576416,276514.42039108276,285917.71657562256,544596.580368042,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,38517.28271102905,40629.2631149292,37163.8623008728,28402.641986846924,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,104923.82834243774,79647.96742630005,97751.66666412354,19274.341342926025,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,55029.08363342285,50479.26407623291,45911.8233833313,43334.30277252197,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,41975.34289932251,43672.76354598999,43771.94339752197,50665.82361602783,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,44340.323066711426,49289.16366195679,44351.12351226807,32940.40257644653,Genotype: 5xFAD | Brain Region: cortex,Genotype: WT | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cortex vs Genotype: WT__Brain Region: cortexBlank1,4,3,10xBlank_01202023
