Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:4),8,4,<BBB>,0,136.1,303.2,305.2,291.2,277.2,,,
FA(8:4),8,4,<BBF>,1,136.1,303.2,,293.2,279.2,265.2,,
FA(8:4),8,4,<BFF>,2,136.1,303.2,,,281.2,267.2,253.2,
FA(8:4),8,4,<FFF>,3,136.1,303.2,,,,269.2,255.2,241.2
