Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7
FA(9:5),9,5,<BBBB>,0,148.1,315.2,317.2,303.2,289.2,,,,
FA(9:5),9,5,<BBBF>,1,148.1,315.2,,305.2,291.2,277.2,,,
FA(9:5),9,5,<BBFF>,2,148.1,315.2,,,293.2,279.2,265.2,,
FA(9:5),9,5,<BFFF>,3,148.1,315.2,,,,281.2,267.2,253.2,
FA(9:5),9,5,<FFFF>,4,148.1,315.2,,,,,269.2,255.2,241.2
