Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:3),8,3,<BB>,0,138.1,305.2,307.2,293.2,279.2,265.2,,
FA(8:3),8,3,<BF>,1,138.1,305.2,,295.2,281.2,267.2,253.2,
FA(8:3),8,3,<FF>,2,138.1,305.2,,,283.2,269.2,255.2,241.2
