Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7
FA(9:3),9,3,<BB>,0,152.1,319.2,321.2,307.2,293.2,279.2,265.2,,
FA(9:3),9,3,<BF>,1,152.1,319.2,,309.2,295.2,281.2,267.2,253.2,
FA(9:3),9,3,<FF>,2,152.1,319.2,,,297.2,283.2,269.2,255.2,241.2
