Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5
FA(6:2),6,2,<B>,0,112.1,279.2,281.2,267.2,253.2,,
FA(6:2),6,2,<F>,1,112.1,279.2,,269.2,255.2,241.2,
