Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:2),8,2,<B>,0,140.1,307.2,309.2,295.2,281.2,267.2,253.2,
FA(8:2),8,2,<F>,1,140.1,307.2,,297.2,283.2,269.2,255.2,241.2
