Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:6),8,6,<BBBBB>,0,132.1,299.2,301.2,,,,,
FA(8:6),8,6,<BBBBF>,1,132.1,299.2,,289.2,,,,
FA(8:6),8,6,<BBBFF>,2,132.1,299.2,,,277.2,,,
FA(8:6),8,6,<BBFFF>,3,132.1,299.2,,,,265.2,,
FA(8:6),8,6,<BFFFF>,4,132.1,299.2,,,,,253.2,
FA(8:6),8,6,<FFFFF>,5,132.1,299.2,,,,,,241.2
