Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7
FA(9:6),9,6,<BBBBB>,0,146.1,313.2,315.2,301.2,,,,,
FA(9:6),9,6,<BBBBF>,1,146.1,313.2,,303.2,289.2,,,,
FA(9:6),9,6,<BBBFF>,2,146.1,313.2,,,291.2,277.2,,,
FA(9:6),9,6,<BBFFF>,3,146.1,313.2,,,,279.2,265.2,,
FA(9:6),9,6,<BFFFF>,4,146.1,313.2,,,,,267.2,253.2,
FA(9:6),9,6,<FFFFF>,5,146.1,313.2,,,,,,255.2,241.2
