Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6,n-7
FA(9:2),9,2,<B>,0,154.1,321.2,323.2,309.2,295.2,281.2,267.2,253.2,
FA(9:2),9,2,<F>,1,154.1,321.2,,311.2,297.2,283.2,269.2,255.2,241.2
