Lipid,Chain length,DB Number,DB Location,DBs in front,FA mass,[FA+AMP]+,n-1,n-2,n-3,n-4,n-5,n-6
FA(8:5),8,5,<BBBB>,0,134.1,301.2,303.2,289.2,,,,
FA(8:5),8,5,<BBBF>,1,134.1,301.2,,291.2,277.2,,,
FA(8:5),8,5,<BBFF>,2,134.1,301.2,,,279.2,265.2,,
FA(8:5),8,5,<BFFF>,3,134.1,301.2,,,,267.2,253.2,
FA(8:5),8,5,<FFFF>,4,134.1,301.2,,,,,255.2,241.2
