,Lipid,Sample_ID,db_pos,LipidParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Parent_Ion,Purity,n-9_Ratio
0,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,573.6,14.31,615.0,790.7 -> 573.6,-1,9.0,790.7,Crude,3.048780487804878
1,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,573.6,14.3,1875.0,762.6 -> 573.6,0,1.0,762.6,Crude,2.9640625
5,[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,575.6,16.04,1083.0,792.7 -> 575.6,0,11.0,792.7,Crude,3.0693756194251733
6,[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,575.6,16.09,3420.0,764.6 -> 575.6,0,2.0,764.6,Crude,4.234076015727392
11,[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,577.6,18.05,3815.0,794.7 -> 577.6,4,13.0,794.7,Crude,3.8327721661054994
12,[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,577.6,18.05,16153.0,766.7 -> 577.6,2,3.0,766.7,Crude,
17,[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,599.6,14.31,1287.0,816.7 -> 599.6,0,17.0,816.7,Crude,4.065823512503593
18,[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,599.6,14.31,5259.0,788.6 -> 599.6,2,7.0,788.6,Crude,4.974438202247191
23,[TG(54:6)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,597.6,12.44,948.0,786.6 -> 597.6,-1,6.0,786.6,Crude,
24,[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,603.6,17.98,17186.0,820.7 -> 603.6,2,19.0,820.7,Crude,
25,[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,603.6,17.98,99860.0,792.6 -> 60,792.6,Crude,
30,[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,601.6,16.09,5501.0,818.7 -> 601.6,1,18.0,818.7,Crude,
31,[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,601.6,16.07,27001.0,790.6 -> 601.6,1,8.0,790.6,Crude,
36,[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,605.6,17.98,1687.0,822.7 -> 605.6,2,20.0,822.7,Crude,
37,[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,605.6,17.98,8618.0,794.6 -> 605.6,3,12.0,794.6,Crude,
2,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,573.6,14.2,640.0,790.7 -> 573.6,-1,9.0,790.7,Degummed,
3,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,573.6,14.19,1897.0,762.6 -> 573.6,0,1.0,762.6,Degummed,3.1578947368421053
7,[TG(52:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,575.6,15.98,955.0,792.7 -> 575.6,0,11.0,792.7,Degummed,4.312176165803109
