Lipid,Retention_Time,Parent_Ion,Product_Ion
[TG(52:4)]_FA18:1,14.32,872.8,573.6
"[TG(53:10),TG(52:3)]_FA18:1",16.12,874.8,575.6
"[TG(53:9),TG(52:2)]_FA18:1",18.04,876.8,577.6
[TG(54:5)]_FA18:1,14.3,898.8,599.6
[TG(54:6)]_FA18:1,12.43,896.8,597.6
"[TG(55:10),TG(54:3)]_FA18:1",17.99,902.8,603.6
"[TG(55:11),TG(54:4)]_FA18:1",16.08,900.8,601.6
"[TG(55:9),TG(54:2)]_FA18:1",17.99,904.8,605.6
