[TG(52:4)]_FA18:1,Crude,3.048780487804878
[TG(53:10),TG(52:3)]_FA18:1,Crude,3.1578947368421053
[TG(53:9),TG(52:2)]_FA18:1,Crude,4.234076015727392
[TG(54:5)]_FA18:1,Crude,4.086247086247086
[TG(55:10),TG(54:3)]_FA18:1,Crude,5.810543465611544
[TG(55:11),TG(54:4)]_FA18:1,Crude,4.90838029449191
[TG(55:9),TG(54:2)]_FA18:1,Crude,4.305228276877761
[TG(52:4)]_FA18:1,Degummed,2.9640625
[TG(53:10),TG(52:3)]_FA18:1,Degummed,2.499476439790576
[TG(53:9),TG(52:2)]_FA18:1,Degummed,4.312176165803109
[TG(54:5)]_FA18:1,Degummed,3.827521206409048
[TG(55:10),TG(54:3)]_FA18:1,Degummed,5.7485396383866485
[TG(55:11),TG(54:4)]_FA18:1,Degummed,4.065823512503593
[TG(55:9),TG(54:2)]_FA18:1,Degummed,3.8408921933085503
[TG(53:10),TG(52:3)]_FA18:1,RBD,3.0693756194251733
[TG(53:9),TG(52:2)]_FA18:1,RBD,4.701375976199331
[TG(54:5)]_FA18:1,RBD,3.8327721661054994
[TG(55:10),TG(54:3)]_FA18:1,RBD,5.410415427746156
[TG(55:11),TG(54:4)]_FA18:1,RBD,4.974438202247191
[TG(55:9),TG(54:2)]_FA18:1,RBD,4.475942028985507
