lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M4_Male_WT_cerebellum,FAD185_M4_Male_WT_cortex,FAD185_M4_Male_WT_diencephalon,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cerebellum,FAD189_M3_Male_WT_cortex,FAD189_M3_Male_WT_diencephalon,FAD189_M3_Male_WT_hippocampus,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-6.238405139778436,11.409090621320866,270.7403985533783,7.826064436650343e-61,2.5254709937070657e-57,DAG,26114.381992340088,3109.32020187378,172521.23169326782,235055.37544250488,3024.9401817321777,3070.420207977295,2926.340209960937,13650.041091918943,14146978.29548645,8866230.443603516,140383.89002609253,2948.5002098083496,2920.1802101135254,47492099.30102539
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,-3.7495437282881103,5.757317725250306,118.57316005589018,1.2987448164193326e-27,2.0955247612925934e-24,DAG,2884.380226135254,2883.700210571289,10357.580741882324,2882.060218811035,21707.381565094,15485.861095428469,11872.740837097168,2899.320209503174,191799.69039154053,176672.25147628784,188956.83322525024,2895.500202178955,2912.800201416016,842503.0589599609
[TG(56:8)|TG(55:1)]_FA20:4,3.692670361171714,12.602101799328082,85.64666255029078,2.1513830022934383e-20,2.3141709828003087e-17,TAG,56846006.84765625,169109293.24536133,5220897.544921875,1419296.3854980469,2723912.572265625,17201778.182373047,1896033.593017578,1004127.9885253906,2711665.527709961,1551559.9411621094,1094421.1394042969,3473659.422363281,1789553.8524169922,159430.49194335938
[TG(54:7)|TG(53:0)]_FA20:4,3.5253791824279266,11.49240443063979,79.53908116977394,4.727803814649453e-19,3.8141557274684464e-16,TAG,22790233.697265625,78990358.76385498,1910821.3884277344,456974.0891723633,1109048.48828125,11902736.585632324,827833.5006713867,301656.88299560547,1098421.5411987305,806855.3395385742,511084.0421142578,2128223.5939941406,907206.038330078,66943.44445800781
[TG(55:11)|TG(54:4)]_FA18:0,3.4823186744886376,12.23170283173384,77.98326995845164,1.039169818676821e-18,6.663221326773846e-16,TAG,44993814.02734375,128838246.98876952,3877553.6137695312,1296145.529296875,2253194.6064453125,12062244.289794922,1803795.8386230469,775406.3122558594,2469243.2166748047,1250542.542236328,981054.93505859375,3078794.9020996094,1670069.1198730469,142586.51037597656
[TG(56:7)|TG(55:0)]_FA20:4,3.4726808617808023,13.5717874459681,77.63602007172466,1.2389007734937426e-18,6.663221326773846e-16,TAG,139279687.953125,282232809.7128906,12554193.486328123,3061859.201904297,5739525.338867188,42543445.16333008,4719165.932861328,1747350.7604980469,5679437.810791016,3266080.7163085938,2229948.0498046875,9162682.205810549,3602588.0432128906,337624.623046875
[TG(53:10)|TG(52:3)]_FA18:0,3.4625543811207047,11.013389065873508,77.27113598931612,1.4902812023825579e-18,6.870196342983591e-16,TAG,16527533.705078123,56717513.642578125,1232391.573852539,355478.10314941406,834868.0583496094,8042670.727294922,679286.0576171875,247270.6571044922,789720.48974609375,580167.2384033203,383038.8825683594,1671012.2052001953,645329.0283203125,57188.86389160156
[TG(54:6)]_FA18:2,3.453968544001413,12.746557644415132,76.96276849379447,1.742113707056608e-18,7.027251165839592e-16,TAG,69320256.3203125,175367567.3083496,5947622.3974609375,1746406.0529785156,3013214.673095703,20166002.385253903,2410375.92578125,1009000.13671875,3539799.3696289062,1847658.8615722656,1385713.4318847656,4573406.143310547,2400409.9477539062,172625.4111328125
[TG(55:10)|TG(54:3)]_FA18:0,3.4408535064905292,13.214011747104957,76.49172346948211,2.211378398500566e-18,7.9290201021792525e-16,TAG,111357835.84375,220460542.3310547,8570327.67578125,2529452.208984375,4578243.64453125,30496548.920166016,3823978.486328125,1458737.7465820312,4341483.104980469,2498001.790527344,1724045.8046875,7732535.418457031,2749094.9157714844,228309.53759765625
[TG(54:7)|TG(53:0)]_FA18:3,3.398706727913131,12.759551207200163,74.98246044842199,4.749144140750924e-18,1.532548814220323e-15,TAG,66673038.98583984,179313762.45947266,5938413.4033203125,1760123.6467285156,3162618.373046875,20870356.518066406,2528923.203613281,982648.3714599608,3651136.2509765625,1944963.9223632808,1333831.4477539062,4909741.412109375,2528559.6713867188,209595.373046875
[TG(54:5)]_FA18:1,3.3879815823032753,12.580646080913663,74.599514929451,5.765737104965785e-18,1.691457603429508e-15,TAG,62996531.2109375,153986293.27246094,5603951.59765625,1667308.9670410156,2857971.3203125,17519111.33227539,2220438.790283203,939436.794921875,3272203.842773437,1767352.9545898438,1290010.365600586,4231123.361328125,2233515.6538085938,124003.70825195312
[TG(56:9)|TG(55:2)]_FA20:4,3.3499358549951683,9.086806493276239,73.24428545615956,1.1455636559119274e-17,3.0806115980231582e-15,TAG,4242381.1875,15195345.26107788,432843.5347900391,159858.5714111328,242354.19677734372,1451106.3138427734,219826.7360229492,122788.88848876952,290704.1846923828,170876.7108154297,167696.5101928711,330199.12341308594,202812.35455322263,48443.04309082031
DG(dO-38:9)|DG(35:2)_C16:1,-2.8622429204642623,2.6351088349111595,72.75997706127089,1.4641617183518983e-17,3.634499896247366e-15,DAG,4457.380325317383,2934.240196228028,2929.100196838379,2931.0202140808105,2927.68021774292,2931.7201919555664,2924.940212249756,7524.380485534668,54988.82339477539,66430.00452804565,3819.640285491944,2925.5202293396,2919.4202003479004,43695.28314971924
[TG(52:4)]_FA18:1,3.280591361800309,11.404873749112816,70.79103926702658,3.97136758666755e-17,9.154002287268703e-15,TAG,23607465.275390625,70296941.2565918,1984406.1142578125,490399.4801025391,1102144.7045898438,11241055.045776367,863661.2342529297,307894.99853515625,1152722.2529296875,941018.283569336,562129.90576171875,2361421.303222656,996735.283203125,58547.94396972656
[TG(54:5)]_FA18:2,3.2592907487803973,13.66093422337234,70.04145019147336,5.807128540724055e-17,1.2493069200611016e-14,TAG,153726698.171875,284813058.19384766,13815622.654296877,3577520.380859375,6097903.073730469,48269624.12646485,5377369.556152344,1930720.7661132808,6629955.024169922,4062577.022216797,2713335.9252929688,11471152.115234377,4354715.109863281,356736.9655761719
[TG(52:5)]_FA18:2,3.244505178079123,11.601175395432758,69.522215177583,7.55586782464012e-17,1.4342814982419802e-14,TAG,26147371.03125,81014291.99475098,1979994.9267578125,530499.2723388672,1257540.7661132812,13529584.66394043,1049752.4370117188,348189.2839355469,1371012.5302734375,1078830.2740478516,677359.5220336914,2764157.5216064453,1165030.633605957,78901.92565917969
[TG(54:5)]_FA18:0,3.245104262239043,8.695631117297555,69.54259468080998,7.478199831986113e-17,1.4342814982419802e-14,TAG,3361785.062988281,11357279.245239258,319230.0787353516,130602.22912597656,202598.19317626956,1047550.8904418944,189485.2533569336,103340.40740966795,224485.0567626953,150743.7322998047,132557.0889892578,278803.5610961914,159153.65118408203,45290.223083496094
[TG(53:9)|TG(52:2)]_FA18:0,3.225720412600312,12.68399094574392,68.86399363783121,1.054933880685715e-16,1.8912620183182237e-14,TAG,78850691.765625,151950743.1298828,4516843.114746094,1646523.8173828125,2687915.87109375,20287070.72680664,2322502.220703125,899036.54541015625,3212028.209472656,2287122.217773437,1549781.005859375,5747543.0322265625,2362462.3642578125,202028.53369140625
[TG(55:11)|TG(54:4)]_FA18:1,3.21702067956533,13.505259829142618,68.55968223644523,1.2309521680106114e-16,2.090675076931707e-14,TAG,139235114.78125,252859642.5842285,12773319.232421877,3455140.7006835938,5832496.385742188,42645629.27832031,4930041.76953125,1773811.111328125,6076627.572753906,3819274.6552734375,2426610.169921875,10527541.293945312,4125983.520507813,263154.5986328125
[TG(54:6)]_FA18:3,3.2057228729344605,13.723580484971693,68.16497919926158,1.5037282037384298e-16,2.4262654567319563e-14,TAG,154278103.5908203,301967201.86621094,13936615.99609375,3826025.513671875,6744900.626953125,51506672.08642578,5807384.080078125,1966273.8369140625,7021183.376464844,4406888.814941406,2677371.928955078,12657177.97607422,4822494.712890625,382035.806640625
PI(36:3)|PI(P-37:2),3.200036903299071,11.645735680820215,67.96649853001864,1.662971132251462e-16,2.5554323065597464e-14,PI,34382626.515625,79352000.62548828,2313283.5900878906,913372.6286621094,1244713.8076171875,8850493.547668457,944298.0588378906,524562.6205444336,1627616.6072387695,1254464.4721679688,910409.1173095704,2432135.750488281,1303868.2182617188,65510.98474121094
[TG(54:6)]_FA20:4,3.193243169932818,13.136423679270147,67.7296388211391,1.8752335042212867e-16,2.7506265991464056e-14,TAG,107711262.6328125,203276048.17041016,7577147.212890625,2139346.0720214844,3697429.7353515625,30833272.34863281,2987670.273925781,1159650.4467773438,4665381.206542969,3222887.977783203,2163280.920898437,7656598.989257812,3517359.0493164062,240371.81713867188
[TG(52:6)]_FA18:3,3.1849791819882998,11.645890269282335,67.44172406236294,2.17007504738864e-16,2.951096078054219e-14,TAG,26145204.15625,83779573.427734375,2073301.8115234373,581404.1058349609,1365411.2397460938,14086206.553100586,1132844.6987304688,359956.2410888672,1397859.8371582031,1199915.1408691406,683973.2333984375,3019313.469116211,1251814.6706542969,91084.34631347656
[TG(54:7)|TG(53:0)]_FA18:2,3.18434970277164,9.173980513953543,67.41938473531626,2.1948034048125584e-16,2.951096078054219e-14,TAG,5000137.0146484375,15338294.781555176,455835.07421875,164545.37139892578,254340.57794189453,1625489.6192626953,254775.67834472656,125383.72821044922,331872.8641357422,213621.61303710935,180958.1929931641,411631.9666748047,234790.07830810547,46564.96325683594
[TG(54:8)|TG(53:1)]_FA18:3,3.156174468370576,9.237578350264469,66.44030901168298,3.606511035844145e-16,4.655284445067623e-14,TAG,4863312.215698242,16362396.384399414,475762.03674316406,183244.6722412109,289151.4822998047,1687968.401977539,265212.82263183594,139078.56994628906,355736.54333496094,225582.35638427731,178792.8939819336,448981.9650878906,251690.3994140625,50717.52389526367
[TG(54:6)]_FA18:1,3.145595822604307,9.068439398689659,66.07358736923197,4.3439810985128913e-16,5.391548848038885e-14,TAG,4662866.76171875,14208434.805847168,439001.3912353516,166679.6925048828,242437.1177978516,1463954.4326171875,225309.3558349609,121939.90753173828,320911.78436279297,201820.4542236328,183396.5927734375,383310.0072631836,219905.87817382807,43440.762939453125
