lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(35:6)_C16:0,-5.2702863357850855,4.765057876929124,128.56862060086615,8.428236370681997e-30,2.6945071677070345e-26,DAG,2627.060195922852,2626.620182037353,2619.440196990967,312484.14295196533,2637.020179748535,2623.120189666748
DG(O-38:9)|DG(36:2)_C18:2,3.9952127419551733,7.382383102815282,111.03829213311656,5.80387519775796e-26,9.2774945036161e-23,DAG,3246.8002281188965,298097.9258499145,19682.9810256958,3222.020248413086,3238.7802200317383,940433.7267990112
DG(34:0)_C16:0,-3.5276366961057146,3.7426825640117194,69.5556298495037,7.428941026225271e-17,7.916774820280731e-14,DAG,4017.300235748291,4104.560279846191,2619.7601928710938,135001.09184646606,7551.460651397705,3417.0002250671387
DG(O-38:8)|DG(36:1)_C18:2,2.9487323064792967,4.899328892830578,64.75356845319016,8.48757686955186e-16,6.783695812989324e-13,DAG,3245.26021194458,48310.96306228638,3264.3802604675293,3221.6602363586426,3239.1802253723145,166867.05351257324
DG(38:4)_C18:1,-2.8764860063971085,2.6899051779078778,49.60965065524755,1.875886791968041e-12,1.1994420147843653e-9,DAG,2891.660202026367,2885.700206756592,10199.060661315918,23146.281631469727,25166.701778411865,3023.700225830078
DG(38:3)_C18:1,-2.5302418266469444,2.7273988958195354,39.834117933959305,2.7647319400992865e-10,1.4731413354162365e-7,DAG,2892.180206298828,4379.940319061279,5401.500377655029,27021.86197662353,27494.421939849857,2901.940200805664
DG(38:5)_C18:1,-2.357490911420297,2.335253797100886,35.19340211415624,2.9853326086209645e-9,1.3634440499658892e-6,DAG,3043.2602195739746,2885.4202194213867,10706.06077194214,14303.021015167236,16217.181201934814,4106.460289001465
DG(36:8)|DG(35:1)_C16:1,2.043761514487711,12.825385542137118,32.44832584275355,1.2240435994094097e-8,4.891584234139854e-6,DAG,2400776.2774658203,1115678.4473724363,1002685.428226471,10605.320755004885,2983.280216217041,47492099.30102539
DG(34:4)|DG(dO-36:4)_C16:1,1.9295911514295043,8.015372475840564,29.022801542683737,7.153137004395037e-8,2.5409532225612147e-5,DAG,1857368.0333251955,329758.5263786316,69864.04468536377,78258.94566726685,559346.867111206,77399.72564697266
FA(20:6),1.845133795402553,7.633723394357289,26.597005173076468,2.506319590082299e-7,8.01270372949311e-5,FA,986097.483947754,503529.5822753906,330038.0654296875,71865.5454711914,114515.2861328125,145130.27124023438
