lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
DG(34:0)_C16:0,4.547500006243888,3.433250887474848,136.72405625326078,1.3856248541272937e-31,4.471411404268777e-28,DAG,6597.920379638672,118578.6499786377,2639.440185546875,2640.200183868408,2658.6001930236816,3417.0002250671387
DG(35:6)_C16:0,4.316654700749947,3.201780136405124,125.42886604140972,4.100275925539671e-29,6.615795205858259e-26,DAG,2627.080173492432,103629.78706359863,2628.220165252685,2629.100173950196,2625.400177001953,2623.120189666748
[TG(52:6)]_FA22:5,3.397134846137063,9.024179835229598,83.10608865597169,7.776579082705154e-20,8.365006899963178e-17,TAG,4605061.143859863,669193.8102416992,116526.54931640624,489546.51330566406,183918.95449829104,74801.38491821289
[TG(52:7)|TG(51:0)]_FA22:6,3.333408988159873,8.856498080040865,80.34875156264752,3.138299145510357e-19,2.53182283564048e-16,TAG,3993991.215698242,678522.8654785156,118927.7890625,431782.7353515625,181257.81146240237,70798.38507080078
DG(37:3)_C16:0,3.2233930257996666,9.467877873266508,75.65816085482948,3.3727909167078968e-18,1.832324333073208e-15,DAG,5661513.271759033,1538141.663131714,650873.919631958,530278.8203392029,33508.562324523926,40108.38299560547
FA(40:6),3.222915327769282,10.16788845641952,75.63831413723528,3.406862720309652e-18,1.832324333073208e-15,FA,10212013.435913086,1443341.0762557983,98405.02820587158,1635131.960521698,199110.4778251648,13028.760856628418
[TG(43:4)]_FA14:0,3.1122618338218757,5.679541012291146,71.00182317423628,3.56894934128632e-17,1.6452856463329935e-14,TAG,445725.4569625855,41004.462890625,26912.501922607426,33308.04235839844,30875.48175048828,20904.101501464844
FA(18:3),-3.489282475905453,7.455402741770603,67.87435181783258,1.742531420717168e-16,7.028936118317877e-14,FA,46584.0634765625,60583.84423828125,385131.8278808594,185322.2326660156,1340801.259765625,165620.63159179688
[TG(54:10)|TG(53:3)]_FA22:6,2.984635521783823,8.26207221913326,65.79819541462348,4.99539520664554e-16,1.7911267035383508e-13,TAG,2451438.87399292,567742.1510314941,78263.96543884277,401728.8061981201,115273.60787963869,32475.162078857426
[TG(54:9)|TG(53:2)]_FA22:5,2.869424471368306,8.025813516756973,61.21048395661637,5.1287691860282156e-15,1.6550538163313052e-12,TAG,2020860.1897583008,510316.31259155273,71786.64440917969,361401.7061767578,106893.92752075195,29133.72216796875
DG(O-38:8)|DG(36:1)_C18:2,-3.240769564022076,4.829506535862287,60.08944396654789,9.064317309822365e-15,2.659141087163343e-12,DAG,3236.480224609375,3229.9402389526367,30725.102615356445,3232.700241088867,64114.60453796387,166867.05351257324
FA(18:0),-3.2136485559322563,8.663911483153678,59.338936388507136,1.3272428232345932e-14,3.569177158815027e-12,FA,68482.8251953125,259828.10064697263,2224399.793029785,784958.4196166992,1641434.0122070312,142626.45068359375
FA(17:2),-3.1696893961725747,8.401822068459946,58.00344696916,2.616588880752778e-14,6.4951787062993954e-12,FA,146007.62896728516,126342.54852294922,1265070.9034423828,278741.7575683594,2386183.751464844,116827.54858398438
DG(36:8)|DG(35:1)_C16:1,2.7803932626417835,12.586041352477803,57.747071076988505,2.9808357339192425e-14,6.870826366683854e-12,DAG,1905404.0719184875,1481716.6491775513,777048.2832336426,2921.0202102661133,2925.180202484131,47492099.30102539
FA(16:0),-3.109055364626465,6.823908647737364,56.170857750714276,6.643903148660097e-14,1.3650846052186175e-11,FA,35831.30276489258,50723.084228515625,588931.9534912109,107816.22784423828,477050.7000732422,127026.0908203125
FA(18:2),-3.1077337244297296,7.8605546154105594,56.13438083717483,6.768315365199219e-14,1.3650846052186175e-11,FA,68492.28454589844,128841.29150390624,715470.573059082,252698.4376220703,1704104.0600585938,92326.447265625
FA(20:4),-2.9587857402870323,7.0171879130148485,51.70856517915672,6.438127357687957e-13,1.2221080578387668e-10,FA,38746.82333374024,79709.044677734375,732191.6643676758,232661.15802001956,458554.92736816406,74704.64587402344
DG(36:7)|DG(35:0)_C16:1,2.600522545709668,10.937518002618447,50.97569356120948,9.351684763114616e-13,1.6765492628094926e-10,DAG,578493.0541343689,594528.4251785278,267353.6551475525,15917.061199188232,21158.74148178101,15056646.359405518
DG(35:5)_C16:1,-2.906780900265377,2.6479212237383805,50.11182854279099,1.452289086721397e-12,2.4665983593947094e-10,DAG,2930.940200805664,2972.2802085876465,2927.4202003479004,33259.202293396,32138.08214950561,2927.8002281188965
