lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-6.027988847239097,12.439281152280927,297.0973454150422,1.4130975197991664e-66,4.517672770797935e-63,DAG,2927.120204925537,3039.580223083496,3052.840217590332,2921.0602226257324,235055.37544250488,13650.041091918943,47492099.30102539
[TG(51:5)]_FA16:0,-4.873116874410652,8.683143552855192,211.14010708659407,7.746934551298395e-48,1.2383474880250485e-44,TAG,178758.43466186523,148210.54956054688,81822.72570800781,112672.90786743164,2732314.543823242,2131708.7568969727,39190.08248901367
[TG(51:6)]_FA16:1,-4.840174822308156,8.932903486318958,208.76031160433195,2.560556729159575e-47,2.728699954374387e-44,TAG,235628.35778808597,166777.21270751953,90604.30615234376,140699.15106201172,2921303.8751220703,2860349.9962158203,41019.22302246094
[TG(38:1)]_FA14:0,-4.42632749881085,9.904041208251364,179.36045432666288,6.684369169250268e-41,5.342482058523277e-38,TAG,523998.888671875,391473.1638183594,290212.60119628906,418595.0930175781,2959342.0509033203,8168069.145141602,49943.38360595703
[TG(46:6)]_FA22:5,-4.252701928162938,12.636171521716744,167.34253700876118,2.815847391200018e-38,1.8004528219332914e-35,TAG,3537173.938842773,3074289.003540039,3001405.6555786133,2491813.448486328,17359756.292114258,56144623.94042969,55422.98370361328
[TG(51:4)]_FA14:0,-4.244379246984137,8.119393674472729,166.76630481000848,3.7625012879565664e-38,2.0047861029328572e-35,TAG,173716.59295654297,129466.10809326172,92858.4071044922,117728.94714355467,1697107.4505004885,1406813.5804748535,82697.70608520508
[TG(53:8)|TG(52:1)]_FA18:3,-4.232850719476071,8.402538367088095,165.97742377308896,5.594968164985343e-38,2.555301889065449e-35,TAG,213100.61627197263,172342.15173339844,119528.40829467772,139670.43029785156,2189673.580200196,1671665.2318725586,35997.24267578125
[TG(53:7)|TG(52:0)]_FA18:2,-4.1906598031566515,8.02119049516375,163.0933855570147,2.386821675481993e-37,9.538336120644915e-35,TAG,164086.3114013672,127228.1098022461,100502.58728027344,114746.76818847656,1661859.4553833008,1287158.9397583008,32808.362396240234
LPE(20:2),5.470561403355151,5.2188399690025316,150.46667320392942,1.3707463499556388e-34,4.869195645342419e-32,PE,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,3187.380271911621,2087.800148010254,2000.340129852295
DG(35:6)_C16:0,5.3181772948808295,5.068370581707137,144.58503430199465,2.646571464867552e-33,8.461088973181563e-31,DAG,384453.9259910584,273101.8372077942,3007.7002029418945,2629.8601837158203,2630.080173492432,2628.780174255371,2623.120189666748
[TG(52:5)]_FA18:0,-3.8134233974633687,7.417950927560276,137.93957798745532,7.512829233732891e-32,2.1835013691130955e-29,TAG,128432.0085144043,104457.52661132812,81759.24615478516,104581.62664794922,1036941.0848999023,842065.9384765625,26629.72183227539
PE(44:1),-3.7476737482285802,7.666456247277384,133.68194943753224,6.412791227523798e-31,1.708474462866132e-28,PE,161322.22917175293,137036.60969161987,91430.88668823242,118894.1287498474,1178938.33146286,997330.02759552,64799.24423217773
[TG(52:6)]_FA18:1,-3.6528954558217093,7.308424961115978,127.61377887372964,1.3635539323062175e-29,3.35329378583306e-27,TAG,131967.18701171875,112161.5473022461,87690.1060180664,96259.62655639648,976454.0100097656,739445.55419921875,25199.92176818848
[TG(52:7)|TG(51:0)]_FA18:2,-3.4621415844764267,7.183357185046663,115.67545892268845,5.5980419973510554e-27,1.2783528761093803e-24,TAG,126505.8480834961,110327.00775146484,86249.22595214844,113300.70819091795,865282.1577758789,667690.5902099609,31425.24237060547
DG(37:3)_C18:1,-3.44272899499324,3.5521346800640026,114.32828321945726,1.1042641756532282e-26,2.35355504637558e-24,DAG,6818.940452575684,2897.8402137756348,2891.4002113342285,2893.7402114868164,51070.223709106445,2887.9602088928223,57847.16430664063
[TG(52:8)|TG(51:1)]_FA18:3,-3.395777447512342,7.318400179891585,111.61319122702382,4.342884041534018e-26,8.67762517549016e-24,TAG,144048.47119140625,128617.65014648438,101294.80725097656,123401.98846435548,923924.6457519532,744321.2060546875,36916.682678222656
LPC(24:1),-3.295129573793389,9.78633567971417,105.54965868283762,9.254928449989627e-25,1.7404709561539317e-22,PC,947463.6771240234,703872.4908447266,598382.2253417969,706272.10205078125,4545923.9130859375,4707881.474853516,98224.22705078124
DG(37:4)_C18:1,-3.277353513894136,3.1220652148669923,104.31745157941282,1.723641470179866e-24,2.7552408900825157e-22,DAG,5060.680309295654,2898.2801780700684,2890.740196228028,2894.920223236084,37807.78257751465,4800.820365905762,40262.78248596192
LPC(24:0),-3.277823131033105,9.791273286138573,104.51812700662413,1.5576186190736287e-24,2.7552408900825157e-22,PC,962746.7464599608,714065.1926269531,600970.9619140625,718077.5908203125,4565285.9443359375,4701352.3974609375,98562.5264892578
LPE(20:1),4.255819221764409,3.788424254783002,104.38054933852443,1.6696157368862354e-24,2.7552408900825157e-22,PE,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2318.440174102783,2107.780139923096,2031.0601501464844
[TG(46:6)]_FA22:6,-3.2620294730876234,8.702646803924647,103.57895161079796,2.5022145538747227e-24,3.80932377558928e-22,TAG,391530.60232543945,327047.94244384766,390501.046875,310354.959564209,854610.526550293,3487472.8237304688,48950.82318115234
DG(37:5)_C18:1,-3.2516994117743323,3.60875218189868,102.84680463192126,3.6209297470331375e-24,5.261869273302246e-22,DAG,6905.040473937988,2896.9002227783203,2890.8602142333984,6792.460395812988,30324.10218429565,29078.30210113525,56453.1436920166
PC(22:0),-3.236279767901305,9.421396473970061,102.0562116918336,5.396841122945243e-24,7.501609160893888e-22,PC,742475.70751953125,560010.240234375,475063.4091796875,587647.1022949219,3554628.092773437,3554114.2106933594,98047.44714355467
[TG(46:5)]_FA22:5,-3.2034514325528365,8.549822400858645,100.12479029920178,1.430912481337304e-23,1.876748814013492e-21,TAG,331557.5242919922,312750.70404052734,371034.56719970703,303534.88412475586,769967.9580688477,3102810.694213867,48261.743408203125
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,4.137831444766685,6.839784669447828,100.0746685831302,1.4675858727037005e-23,1.876748814013492e-21,DAG,69014.60486602783,122716.78902053832,126053.36786651611,2979.200206756592,2882.060218811035,2899.320209503174,842503.0589599609
PI(35:5)|PI(O-36:5)|PI(P-36:4),-3.146874489406488,6.657991382999584,96.82367943266263,7.578431308590718e-23,9.318555728294048e-21,PI,109441.62689208984,90236.58599853516,74545.58480834961,80061.4253540039,553821.1786499023,446469.6868896485,43434.64291381836
DG(34:0)_C16:0,3.9633938199191108,4.9091934098430166,93.77169748405049,3.5409909221944018e-22,4.192795547502038e-20,DAG,307239.58154296875,262933.4620628357,6343.620452880859,4784.240379333496,9148.260459899902,2629.2001762390137,3417.0002250671387
DG(37:4)_C16:1,3.8882394443414543,8.683680506323325,91.10644259948822,1.3614766925189783e-21,1.5545146378511336e-19,DAG,1954716.955535889,734521.1391487122,3176351.913017273,1948034.9388694763,133211.84944915771,36455.42232513428,43886.56324768066
[TG(51:5)]_FA16:1,-3.025926638289492,6.771508160646601,89.91356834608632,2.4879490636849115e-21,2.742749364345056e-19,TAG,111850.78784179688,112924.3077392578,98638.42639160156,96466.1260986328,548906.5149536133,540491.7579345703,26470.341918945312
