lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
[TG(60:13)|TG(59:6)]_FA22:5,3.0149202727193356,8.768724000748076,96.83256273932057,7.544505907401975e-23,2.4346120563186176e-19,TAG,432459.3494873047,1476578.274169922,636547.6641235352,5006692.261291504,468631.6297607422,5124024.193603516,4144828.5814819336,7972292.2341918945,3038763.270385742,451908.2137451172,7195262.272033691,211671.91387939453,539601.8350219727,202986.8544921875,164164.85314941406,145952.00915527344,422718.06829833984,559139.4631347656,173626.17169189453,338120.3256835937,1255694.3657836914,238022.8359375,53200.70385742188
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,2.8627488022018888,8.830899010167695,88.44606012047734,5.2240127927582006e-21,8.428944641115357e-18,TAG,498476.6548461914,1567117.0953979492,657984.2404785156,4912454.311706543,499520.81744384766,5563803.180603027,4428502.7599487305,7820687.160888672,3110837.784790039,517850.45892333984,7613255.686950684,237331.31768798828,588128.6578369141,228726.09677124023,190844.25415039065,180488.9927368164,513223.133972168,618028.5391845703,218552.51708984372,430149.59240722656,1377008.9971923828,289595.1397705078,69407.06466674805
[TG(58:12)|TG(57:5)]_FA20:4,2.706946044735537,8.262093374609966,80.11271787855732,3.536488263155294e-19,3.804082541734045e-16,TAG,346676.7258300781,970408.9857177734,429139.6723022461,3079960.5739746094,352631.5078125,3226479.6328125,3081779.358642578,5767369.647827148,2556454.357055664,437030.0534057617,4611952.990356445,109833.9281616211,398500.3319091797,171080.23223876953,135235.78967285156,154633.58984375,403578.547668457,602123.5090942383,174153.65270996094,374057.9670410156,936147.8056640624,195623.69274902344,75362.9658203125
PI(36:3)|PI(P-37:2),2.608506422943058,11.28606744611889,74.98989800902837,4.731287148968692e-18,3.8169659074304924e-15,PI,1627616.6072387695,1254464.4721679688,910409.1173095704,2432135.750488281,1303868.2182617188,5443784.540649414,66877751.630615234,79352000.62548828,53845530.97094727,5091914.101928711,8850493.547668457,433730.9520874024,1975137.4112548828,533664.1588134766,535294.7381591797,514046.9611816406,2147870.8178710938,10330258.842285156,2313283.5900878906,9342740.931274414,4712844.533203125,944298.0588378906,65510.98474121094
PI(34:3)|PI(P-35:2),2.5126221043573853,8.732248329415864,70.11120089446194,5.605377911768511e-17,3.617710904255397e-14,PI,317814.3005371094,339084.3647766113,222305.395690918,636061.4188842773,348840.90411376953,964597.995300293,8971060.303283691,12892826.270263672,8839751.747314453,1106563.4711914062,2960242.4587402344,96724.38677978516,544800.28271484375,112331.54858398438,104400.14721679688,131159.10906982422,436266.5111083984,1418627.7024536133,336271.8257446289,1613847.481628418,920057.1005249023,261665.8582763672,40319.40286254883
[TG(53:10)|TG(52:3)]_FA18:0,2.505380686613685,10.891010160251987,69.747978649001,6.738687693851502e-17,3.6242908646764664e-14,TAG,789720.48974609375,580167.2384033203,383038.8825683594,1671012.2052001953,645329.0283203125,4418807.720214844,47912478.7388916,56717513.642578125,46450229.65490723,4850849.13293457,8042670.727294922,161297.11071777344,1071768.555053711,171764.7322998047,239948.9969482422,192886.51220703125,1339491.1066894531,10409286.658691406,1232391.573852539,8424964.297485352,4385832.16796875,679286.0576171875,57188.86389160156
[TG(52:6)]_FA18:3,2.4848063206835045,11.440735665867084,68.71787042552589,1.1360677234630162e-16,5.237272205164505e-14,TAG,1397859.8371582031,1199915.1408691406,683973.2333984375,3019313.469116211,1251814.6706542969,6537739.233154297,67544753.99487305,83779573.427734375,63891511.45605469,6476403.616088867,14086206.553100586,271885.41760253906,2065839.6737060547,274250.82067871094,348493.3444824219,342020.7634277344,2202447.7857666016,14099722.978027344,2073301.8115234373,12418957.298828123,6348699.351074219,1132844.6987304688,91084.34631347656
[TG(52:5)]_FA18:2,2.4615630032067424,11.39178238667629,67.56082273222978,2.0428678085532998e-16,7.324816020223886e-14,TAG,1371012.5302734375,1078830.2740478516,677359.5220336914,2764157.5216064453,1165030.633605957,5772919.682006836,64636999.1986084,81014291.99475098,62752440.40319824,6413930.635253906,13529584.66394043,249099.4356689453,1963778.7292480469,232261.39916992188,324111.8039550781,318147.8034667969,1948333.160888672,14852258.51171875,1979994.9267578125,12101982.08984375,5784666.233520508,1049752.4370117188,78901.92565917969
[TG(54:7)|TG(53:0)]_FA20:4,2.4645764800563636,11.36783402391078,67.71051792213171,1.8935074855114697e-16,7.324816020223886e-14,TAG,1098421.5411987305,806855.3395385742,511084.0421142578,2128223.5939941406,907206.038330078,6310383.049072266,65467723.62414551,78990358.76385498,64068630.50793457,6682291.739868164,11902736.585632324,202905.09368896484,1414798.1797485352,208297.994140625,269803.81982421875,223807.2133178711,1894797.4822998047,14320514.748046877,1910821.3884277344,12703928.581054688,6549974.25,827833.5006713867,66943.44445800781
[TG(52:4)]_FA18:1,2.454771033656564,11.22161439116245,67.22404508114545,2.4234033362381267e-16,7.820322566040435e-14,TAG,1152722.2529296875,941018.283569336,562129.90576171875,2361421.303222656,996735.283203125,5626821.361938477,61478889.60229492,70296941.2565918,54357812.58581543,5759141.515991211,11241055.045776367,227543.95556640625,1574313.7059326172,242541.337890625,285204.0983886719,255407.0377807617,1636097.7728271484,12514096.646972656,1984406.1142578125,11595023.20703125,5273957.392089844,863661.2342529297,58547.94396972656
