Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,9689.680694580078,8577.140621185303,8721.760601043701,8568.220588684082,9103.68058013916,8556.320613861084,8496.220573425293,9405.820568084717,8318.060626983643,8411.740604400635,7482.000534057617,7539.040561676025,13441.081062316895,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5799.040378570557,5413.460395812988,5578.660442352295,6196.2203941345215,5613.700408935547,5586.460422515869,5174.560375213623,6342.060436248779,5115.880325317383,5130.460311889648,5487.040382385254,5558.380397796631,10754.940727233887,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7474.940441131592,7802.7805519104,7981.360595703125,8040.980537414551,9730.06069946289,8935.140686035156,7649.420539855957,8820.540557861328,8573.660594940186,8101.120586395264,8647.680599212646,8830.200618743896,27056.321769714355,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7792.660556793213,7725.420509338379,6294.140449523926,8824.200637817383,8455.640617370605,7825.100547790527,7492.200531005859,8471.44058227539,7122.800559997559,7911.000511169434,6836.120529174805,6892.3405113220215,68355.16482543945,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9364.940658569336,9810.380699157715,9463.600631713867,9922.920711517334,10079.72078704834,11419.08081817627,10387.820693969727,11664.580917358398,9801.420639038086,10066.900783538818,10230.800720214844,10515.620750427246,13193.50090789795,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,6948.380500793457,7057.380542755127,9130.20064163208,9591.080646514893,8531.740585327148,9121.740673065186,8720.80062866211,8999.600646972656,9086.820735931396,9158.640632629395,7684.760482788086,9780.680618286133,13192.940902709961,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,9166.600620269775,8940.48063659668,7604.800563812256,8188.280567169189,8585.500629425049,8972.260669708252,8967.060626983643,9322.560707092285,7844.5605545043945,9711.52070236206,8546.240688323975,8967.700687408447,12938.940902709961,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9683.500770568848,9297.44063949585,9360.44066619873,9959.060760498047,9094.540645599365,9035.960704803467,10158.96078491211,9305.840671539307,8104.660575866699,8682.920627593994,8225.540557861328,9261.020671844482,13541.00082397461,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5406.7203941345215,5353.00036239624,5483.860397338867,4845.3803634643555,4893.760341644287,5664.36043548584,4514.820331573486,5088.340351104736,5042.760368347168,4756.000324249268,5524.400386810303,5247.520420074463,7750.14049911499,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
CAR,CAR,48045.42339324951,44588.18323516846,43833.5830078125,44582.10324859619,44239.42311859131,46690.843338012695,43585.40316390991,45458.96347427368,44804.78328704834,45051.662799835205,46375.6432800293,44112.162899017334,43366.06298828125,Cage: DOD93,Cage: DOD94,Cage: DOD93 vs Cage: DOD94,4,8,Blank_Blank_Blank_Blank_Blank
