Lipid,Class,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_cortex ,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cortex ,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(10:0)_QUAL,CAR,1471178.2422294617,1446191.0229263306,1420216.2540550232,1478430.7510223389,1469332.7677192688,1461154.1436157227,1504513.7513008118,1464119.9964790344,1553006.9069480896,1510906.8490447998,1552883.4630699158,1524739.723186493,1358931.08203125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,456883.1327896118,459563.1962890625,465105.2358818054,463854.8551826477,458949.93338775635,466560.05668258667,462073.65295410156,459266.55598831177,472870.6527290344,469846.89278793335,465064.4133415222,470096.8910675049,634009.9052734375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1161861.2991142273,1166871.539199829,1133688.3053627014,1152066.73777771,1159647.3601074219,1125648.4397773743,1178396.0200195312,1163263.6423950195,1223388.7229423523,1188577.2490234375,1205198.602191925,1172517.3888130188,1046036.49609375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,466466.7318916321,469187.1918334961,460608.39392089844,474116.2724838257,473931.9167480469,466608.22803115845,477851.7532348633,471062.3940734863,477107.171875,478029.55585098267,486582.8288574219,465915.6570625305,642041.1708984375,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,686649.5900878906,579629.7597045898,652079.5024414062,602506.7243499756,665449.4080810547,600880.6587142944,632789.7221069336,653109.3824653625,639425.8439941406,633082.9434432983,651245.6447753906,606192.3217468262,585456.421875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,467282.83181762695,468108.49212265015,451108.0492782593,470671.4733543396,459617.4909515381,470697.6712036133,461934.0142211914,460852.37074661255,465020.26988220215,473136.5139160156,472539.2971191406,473883.7734375,611447.3291015625,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,746274.6158752441,647800.7481269836,682222.3889465332,666427.1296043396,736102.3311386108,641976.5270996094,659423.4671554565,678101.4078559875,670706.4097900391,647108.7614135742,702346.127243042,663728.0073547363,633677.9819335938,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,217638.55546569824,219353.91617584229,220808.29425430298,220078.17582702637,215391.51430511475,216354.03619003296,219324.81494140625,213329.99577713013,228364.27590179443,230991.2163734436,222769.0371246338,220441.49620819092,307762.5842285156,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,934787.2282104492,936028.9175796509,918568.4296531677,954372.5708656311,939842.6645050049,916378.5413360596,949083.5850601196,942803.9660987854,971594.3958740234,958958.3817367554,989258.5668106079,943764.8858032227,870968.1220703125,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6607863.245319366,6536299.536567688,6664555.5596961975,6606474.931880951,6635573.870006561,6758274.149066925,6636016.132194519,6607173.447193146,6697081.9528160095,6800531.134380341,6676301.0075035095,6639128.447193146,6397297.76171875,Sex: Male | Genotype: 5xFAD | Brain Region: hippocampus cortex ,Sex: Male | Genotype: WT | Brain Region: hippocampus cortex ,Sex: Male__Genotype: 5xFAD__Brain Region: hippocampus cortex  vs Sex: Male__Genotype: WT__Brain Region: hippocampus cortex ,8,4,Blank_Blank_Blank_Blank_Blank
