,Unnamed: 0,Unnamed: 0.1,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1.1,n-7,n-9,n-10,n-12,db_pos
211,366,1781,,[TG(52:5)]_FA16:1,410.0,788.7,599.5,11.08,11292023_FAD185_M1_5xFAD_cortex_O3on_01,788.7 -> 599.5,2484347,706.7,678.7,664.7,636.7,n-7
217,372,59769,,[TG(52:5)]_FA16:1,318.0,718.6,599.5,11.1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,718.6 -> 599.5,2542335,636.6,608.6,594.6,566.6,n-12
253,406,255125,,[TG(52:5)]_FA16:1,1435.0,788.7,599.5,10.9,11292023_FAD185_M3_5xFAD_cereb_O3on_01,788.7 -> 599.5,2737691,706.7,678.7,664.7,636.7,n-7
225,378,254561,,[TG(52:6)]_FA18:2,2291.0,786.7,597.5,10.86,11292023_FAD185_M3_5xFAD_cereb_O3on_01,786.7 -> 597.5,2737127,704.7,676.7,662.7,634.7,n-7
228,381,254561,,[TG(54:6)]_FA18:1,2291.0,786.7,597.5,10.86,11292023_FAD185_M3_5xFAD_cereb_O3on_01,786.7 -> 597.5,2737127,704.7,676.7,662.7,634.7,n-9
259,412,256811,,"[TG(55:11),TG(54:4)]_FA18:1",388.0,790.7,601.5,10.77,11292023_FAD185_M3_5xFAD_cereb_O3on_01,790.7 -> 601.5,2739377,708.7,680.7,666.7,638.7,n-9
291,441,10262,,[TG(52:5)]_FA16:1,781.0,788.7,599.5,10.91,11292023_FAD185_M3_5xFAD_dienc_O3on_01,788.7 -> 599.5,2906589,706.7,678.7,664.7,636.7,n-7
263,413,9699,,[TG(52:6)]_FA18:2,872.0,786.7,597.5,10.91,11292023_FAD185_M3_5xFAD_dienc_O3on_01,786.7 -> 597.5,2906026,704.7,676.7,662.7,634.7,n-7
266,416,9699,,[TG(54:6)]_FA18:1,872.0,786.7,597.5,10.91,11292023_FAD185_M3_5xFAD_dienc_O3on_01,786.7 -> 597.5,2906026,704.7,676.7,662.7,634.7,n-9
299,447,149326,,[TG(45:4)]_FA16:1,316.0,692.6,503.4,11.14,11292023_FAD189_M1_5xFAD_cereb_O3on_01,692.6 -> 503.4,3045653,610.6,582.6,568.6,540.6,n-7
348,493,179166,,[TG(52:5)]_FA16:1,2100.0,788.7,599.5,11.17,11292023_FAD189_M1_5xFAD_cereb_O3on_01,788.7 -> 599.5,3075493,706.7,678.7,664.7,636.7,n-7
342,459,164528,,[TG(52:5)]_FA16:1,348.0,760.7,599.5,11.18,11292023_FAD189_M1_5xFAD_cereb_O3on_01,760.7 -> 599.5,3060855,678.7,650.7,636.7,608.7,n-9
314,465,178603,,[TG(52:6)]_FA18:2,1794.0,786.7,597.5,11.17,11292023_FAD189_M1_5xFAD_cereb_O3on_01,786.7 -> 597.5,3074930,704.7,676.7,662.7,634.7,n-7
317,468,178603,,[TG(54:6)]_FA18:1,1794.0,786.7,597.5,11.17,11292023_FAD189_M1_5xFAD_cereb_O3on_01,786.7 -> 597.5,3074930,704.7,676.7,662.7,634.7,n-9
354,499,180852,,"[TG(55:11),TG(54:4)]_FA18:1",588.0,790.7,601.5,11.04,11292023_FAD189_M1_5xFAD_cereb_O3on_01,790.7 -> 601.5,3077179,708.7,680.7,666.7,638.7,n-9
369,512,234338,,[TG(45:3)]_FA16:1,1007.0,694.6,505.4,11.14,11292023_FAD189_M1_5xFAD_cortex_O3on_01,694.6 -> 505.4,3130665,612.6,584.6,570.6,542.6,n-7
