,Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-10,n-12,db_pos
1,237437,TAG,[TG(52:6)]_FA18:2,601.0,868.8,571.5,10.93,11282023_DOD94_F3_WT_dienc_O3on_01,868.8 -> 571.5,237437,786.8,758.8,744.8,716.8,
4,77021,TAG,[TG(52:6)]_FA18:2,379.0,868.8,571.5,10.84,11282023_FAD184_F3_WT_cortex_O3on_01,868.8 -> 571.5,490782,786.8,758.8,744.8,716.8,
220,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
221,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
222,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
223,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
224,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
225,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
226,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
227,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
228,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
229,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
230,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
231,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
232,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
233,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
234,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
235,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
236,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
237,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
238,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
239,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
240,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
241,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
242,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
243,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
244,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
245,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
246,43241,,[TG(52:6)]_FA18:2,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-7
247,43241,,[TG(54:6)]_FA18:1,503.0,786.7,597.5,10.86,11282023_FAD184_F3_WT_cortex_O3on_01,786.7 -> 597.5,457002,704.7,676.7,662.7,634.7,n-9
