Unnamed: 0,Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-12,db_pos,Ratio
11556,TAG | DAG,DG(43:2)_C18:1,595.0,736.6,437.3,13.23,11282023_DOD94_F3_WT_cereb_O3on_01,736.6 -> 437.3,11556,654.6,626.6,584.6,,
37455,,TG(54:4)]_FA16:1,2268.0,790.7,601.5,13.26,11282023_DOD94_F3_WT_cereb_O3on_01,790.7 -> 601.5,37455,708.7,680.7,638.7,n-9,
74052,TG,TG(54:4)]_FA18:1,278.0,900.8,601.5,13.33,11282023_DOD94_F3_WT_cereb_O3on_01,900.8 -> 601.5,74052,818.8,790.8,748.8,,
37455,,TG(54:4)]_FA18:1,2268.0,790.7,601.5,13.26,11282023_DOD94_F3_WT_cereb_O3on_01,790.7 -> 601.5,37455,708.7,680.7,638.7,n-9,
78554,TG,TG(55:0)]_FA18:1,547.0,922.9,623.6,13.24,11282023_DOD94_F3_WT_cereb_O3on_01,922.9 -> 623.6,78554,840.9,812.9,770.9,,
51545,,TG(56:5)]_FA18:1,253.0,816.7,599.5,13.92,11282023_DOD94_F3_WT_cereb_O3on_01,816.7 -> 599.5,51545,734.7,706.7,664.7,n-9,
65606,TG,[TG(50:3)]_FA18:1,1096.0,846.8,547.5,13.29,11282023_DOD94_F3_WT_cereb_O3on_01,846.8 -> 547.5,65606,764.8,736.8,694.8,,
12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,584.7,n-9,
36330,,[TG(52:5)]_FA16:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,636.7,n-7,
36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,636.7,n-9,3.08
73488,TG,[TG(54:5)]_FA18:1,2626.0,898.8,599.5,13.28,11282023_DOD94_F3_WT_cereb_O3on_01,898.8 -> 599.5,73488,816.8,788.8,746.8,,
