Lipid,Class,DOD93_F4_Female_5xFAD_cortex ,DOD94_F3_Female_WT_cortex _x,DOD94_F4_Female_5xFAD_cortex ,FAD184_F3_Female_WT_cortex _x,FAD184_F4_Female_WT_cortex _x,FAD185_M1_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_cortex ,FAD185_M4_Male_WT_cortex _x,FAD189_M1_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_cortex ,FAD189_M3_Male_WT_cortex _x,DOD94_F3_Female_WT_cortex _y,FAD184_F3_Female_WT_cortex _y,FAD184_F4_Female_WT_cortex _y,FAD185_M4_Male_WT_cortex _y,FAD189_M3_Male_WT_cortex _y,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8577.140621185303,8556.320613861084,8411.740604400635,9057.300678253174,9157.600639343262,8606.400630950928,8032.560604095459,8372.62056350708,9455.100658416748,8996.280673980713,7941.820571899414,8556.320613861084,9057.300678253174,9157.600639343262,8372.62056350708,7941.820571899414,13441.081062316896,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5413.460395812988,5586.460422515869,5130.460311889648,5187.240390777588,5140.6403884887695,5083.880325317383,4992.280368804932,5207.060371398926,5169.540332794189,5385.900367736816,5650.460433959961,5586.460422515869,5187.240390777588,5140.6403884887695,5207.060371398926,5650.460433959961,10754.940727233889,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7802.7805519104,8935.140686035156,8101.120586395264,7529.460517883301,7177.440525054932,7682.240562438965,7889.780548095703,9290.400688171389,7599.900527954102,8540.080627441406,7143.50057220459,8935.140686035156,7529.460517883301,7177.440525054932,9290.400688171389,7143.50057220459,27056.321769714355,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7725.420509338379,7825.100547790527,7911.000511169434,7308.280502319336,7817.520641326904,6025.6804122924805,6531.6804122924805,6837.580448150635,6861.660495758057,6835.160507202148,5950.34041595459,7825.100547790527,7308.280502319336,7817.520641326904,6837.580448150635,5950.34041595459,68355.16482543945,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9810.380699157717,11419.08081817627,10066.900783538818,8188.940574645996,9193.160587310793,10164.000652313232,9522.38064956665,9565.300636291504,9627.140628814695,8906.200630187988,8808.120651245117,11419.08081817627,8188.940574645996,9193.160587310793,9565.300636291504,8808.120651245117,13193.50090789795,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,7057.380542755127,9121.740673065186,9158.640632629396,7323.460487365723,8253.400569915771,8036.820648193359,7571.140548706055,8650.720581054688,8321.620628356934,8472.860595703125,9187.500675201416,9121.740673065186,7323.460487365723,8253.400569915771,8650.720581054688,9187.500675201416,13192.94090270996,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8940.48063659668,8972.260669708252,9711.52070236206,9798.38064956665,7844.500450134277,7200.280479431152,7675.76053237915,9663.680641174316,7982.120601654053,8871.46057510376,7633.620571136475,8972.260669708252,9798.38064956665,7844.500450134277,9663.680641174316,7633.620571136475,12938.94090270996,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9297.44063949585,9035.960704803469,8682.920627593994,7791.880554199219,7576.020568847656,9140.360649108889,8521.640590667725,9130.02063369751,7924.540603637695,8394.86054611206,8344.720603942871,9035.960704803469,7791.880554199219,7576.020568847656,9130.02063369751,8344.720603942871,13541.00082397461,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5353.00036239624,5664.36043548584,4756.000324249268,5018.540355682373,4554.840305328369,4806.460300445557,4541.100345611572,4670.720272064209,4736.000328063965,4317.760311126709,4828.840335845947,5664.36043548584,5018.540355682373,4554.840305328369,4670.720272064209,4828.840335845947,7750.14049911499,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44588.18323516846,46690.843338012695,45051.662799835205,45878.46336364746,44235.50297164917,45573.5832824707,43828.32273101807,47234.3635559082,42878.10280609131,45222.9833984375,45410.30307006836,46690.843338012695,45878.46336364746,44235.50297164917,47234.3635559082,45410.30307006836,43366.06298828125,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,326281.06273651123,325325.32315444946,331376.14420318604,335961.30155944824,335777.3225479126,331718.70194625854,329772.5221824646,340525.80432128906,326426.52296829224,323925.32470703125,328064.2437477112,325325.32315444946,335961.30155944824,335777.3225479126,340525.80432128906,328064.2437477112,359584.1459960937,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1531624.4029922483,1480806.9035568235,1535708.4461669922,1524868.5276794434,1523881.3316841123,1471178.2422294617,1420216.2540550232,1553006.9069480896,1469332.7677192688,1504513.7513008118,1552883.4630699158,1480806.9035568235,1524868.5276794434,1523881.3316841123,1553006.9069480896,1552883.4630699158,1358931.08203125,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,462996.2899551392,452669.6117248535,473156.8574142456,471916.7936515808,461430.33322906494,456883.1327896118,465105.2358818054,472870.6527290344,458949.9333877564,462073.6529541016,465064.4133415222,452669.6117248535,471916.7936515808,461430.33322906494,472870.6527290344,465064.4133415222,634009.9052734375,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1225996.6278457642,1152608.801185608,1235450.905921936,1192826.0019073486,1209490.2474975586,1161861.2991142273,1133688.3053627014,1223388.7229423523,1159647.360107422,1178396.0200195312,1205198.602191925,1152608.801185608,1192826.0019073486,1209490.2474975586,1223388.7229423523,1205198.602191925,1046036.49609375,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,465503.0145187378,457558.5531387329,479235.2310333252,476367.7107849121,477712.733215332,466466.7318916321,460608.3939208984,477107.171875,473931.9167480469,477851.7532348633,486582.8288574219,457558.5531387329,476367.7107849121,477712.733215332,477107.171875,486582.8288574219,642041.1708984375,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,625800.6659698486,583119.983165741,654185.5482177734,625976.7437744141,613562.1617736816,686649.5900878906,652079.5024414062,639425.8439941406,665449.4080810547,632789.7221069336,651245.6447753906,583119.983165741,625976.7437744141,613562.1617736816,639425.8439941406,651245.6447753906,585456.421875,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,452021.83361816406,460000.71240234375,474795.994140625,464155.4952850342,468188.3310546875,467282.83181762695,451108.0492782593,465020.26988220215,459617.4909515381,461934.0142211914,472539.2971191406,460000.71240234375,464155.4952850342,468188.3310546875,465020.26988220215,472539.2971191406,611447.3291015625,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,685624.3889160156,642235.74609375,697903.6512451172,659595.4996337891,709130.7650985718,746274.6158752441,682222.3889465332,670706.4097900391,736102.3311386108,659423.4671554565,702346.127243042,642235.74609375,659595.4996337891,709130.7650985718,670706.4097900391,702346.127243042,633677.9819335938,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,226792.97513198853,217053.09909439087,230251.3971862793,235199.47663497925,229641.99746704104,217638.55546569824,220808.29425430295,228364.27590179443,215391.51430511475,219324.81494140625,222769.0371246338,217053.09909439087,235199.47663497925,229641.99746704104,228364.27590179443,222769.0371246338,307762.5842285156,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,970676.92817688,954711.986038208,986055.2133140564,973990.7679748536,977671.6344985962,934787.2282104492,918568.4296531676,971594.3958740234,939842.6645050048,949083.5850601196,989258.566810608,954711.986038208,973990.7679748536,977671.6344985962,971594.3958740234,989258.566810608,870968.1220703125,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(12:0),CAR,6678902.369693756,6587197.182506561,6738613.562194824,6841519.090320587,6707013.297504425,6607863.245319366,6664555.5596961975,6697081.9528160095,6635573.870006561,6636016.132194519,6676301.0075035095,6587197.182506561,6841519.090320587,6707013.297504425,6697081.9528160095,6676301.0075035095,6397297.76171875,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,1204854.1464118958,1186442.9816474917,1221828.444656372,1270938.2918777466,1232741.0681304932,1231349.6988372805,1221284.5914916992,1241054.7493286133,1306356.8415679932,1193412.1874275208,1213965.2067642212,1186442.9816474917,1270938.2918777466,1232741.0681304932,1241054.7493286133,1213965.2067642212,1316580.955078125,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(14:0),CAR,352516.32289886475,348522.6434059143,355747.00621795654,359881.06538009644,346274.64430618286,341709.0861778259,339953.44495010376,354997.76723480225,334817.0441246033,338206.9849281311,339063.7844963074,348522.6434059143,359881.06538009644,346274.64430618286,354997.76723480225,339063.7844963074,372286.3051757813,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,767989.5547332764,744998.4352416992,756529.673248291,772035.891960144,743653.8512954712,727281.4342269897,761418.1294593811,764294.6153945923,741924.6730957031,751814.8503990173,748432.934261322,744998.4352416992,772035.891960144,743653.8512954712,764294.6153945923,748432.934261322,886736.28125,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,354174.50399017334,355140.1877403259,365205.88707733154,366563.72498703,356826.54473495483,347182.0241088867,358554.5650444031,366983.2272148132,343123.0645942688,346077.24448013306,361806.1068038941,355140.1877403259,366563.72498703,356826.54473495483,366983.2272148132,361806.1068038941,368998.5258789063,Brain Region: cortex,Genotype: WT | Brain Region: cortex,Brain Region: cortex vs Genotype: WT__Brain Region: cortex_,11,5,Blank_Blank_Blank_Blank_Blank
