Lipid,Class,AK0135,AK0140,AK0142,AK0144,AK0147,AK0154,AK0155,AK0157,AK0166,AK0168,AK0169,AK0139,AK0141,AK0145,AK0161,AK0164,AK0170,AK0174,AK0175,AK0200,AK0202,AK0204,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,AC,1385807.142211914,1307461.673461914,1112698.8952636719,1173379.2845458984,1273471.4271240234,1123954.2408447266,1403092.8359375,1296922.0581054688,1211117.0444335938,1347732.7966308594,1170394.5592041016,1499141.0727539062,1232529.298461914,1128833.5732421875,1159558.7852783203,1278053.767944336,1202099.1199951172,1238776.1319580078,1282045.1535644531,1561939.1799316406,1278446.3055419922,2960353.279296875,285046.4786605835,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",AC,1386486.881225586,1270323.0888671875,1016258.3680419922,1106398.5203857422,1174063.134399414,979734.9114685059,1315000.8809814453,1231351.0626220703,1150253.9196777344,1287640.1538085938,1079225.223022461,1380411.9562988281,1189427.4458007812,1130798.7427978516,1179871.0670166016,1181701.8826904297,1218773.5845947266,1254938.1559448242,1132406.2965698242,1302167.092163086,1176849.5888671875,2821156.5366210938,283604.88078689575,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",AC,1193675.4536132812,917784.1473388672,858200.9806518555,901172.6478271484,994215.9099121094,775983.2182006836,1021483.6547241211,1002830.3212890625,944415.6671142578,1117817.3359375,963797.7319335938,1488449.0466308594,1214428.3122558594,1079653.0477294922,1193195.6975708008,1238666.0463256836,1149769.7707519531,1221247.5565185547,1017794.9621582031,1397754.8560791016,1063207.8836669922,2707231.5189208984,181664.57362365723,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",AC,2312001.0830078125,1738335.9741210938,2065626.0770263672,1975725.435546875,1865403.3950195312,1796025.6650390625,1691230.3599853516,1727886.1398925781,2450736.8177490234,2114082.271484375,2302781.201599121,2612464.2541503906,1803508.3111572266,2139352.323059082,1584487.484008789,2044519.1489868164,1759009.0557861328,2786300.2643432617,2522326.7109375,2210718.679321289,2266709.955444336,4539267.546386719,114023.58724212646,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",AC,764319.4936523438,655389.2666015625,582569.9982910156,623829.7839355469,648136.1826171875,516543.6394042969,733716.3115234375,706966.9733886719,634336.0673828125,712078.0900878906,646658.5451660156,1094941.1242675781,710033.0822753906,699176.3087768555,718203.7386474609,659514.9055175781,721524.2933959961,764933.9527587891,652278.2630615234,936592.482421875,645266.2047119141,1766401.763671875,158361.42999267578,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",AC,1123748.9030761719,891040.62109375,832436.5582275391,875553.4079589844,875817.8896484375,712716.2937011719,881094.546875,883494.3424072266,987459.4455566406,1058898.5242919922,953706.0941162109,1456700.292602539,1114638.0924072266,1080488.7222595215,1046285.1735839844,994361.0492553711,971811.7346191406,1286415.7739868164,1079671.9899902344,1376905.8234863281,1039734.9908447266,2592716.475341797,148019.67110061646,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",AC,1126353.620300293,938498.4275512695,757553.4345092773,926965.067199707,852648.1026611328,749638.4543457031,1025579.0539550781,910723.6071777344,932723.5684814453,1071678.8985595703,883585.7555541992,1363543.480041504,1154406.699584961,1076848.0437011719,1135056.982788086,1079055.9274902344,1079179.2010498047,1177549.126953125,1027356.7213745117,1314794.0446166992,996268.9852294922,2561769.2114257812,153256.1509437561,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,AC,4887687.393920898,4183498.2982177734,3858002.0883789062,4515173.979614258,4665629.469604492,2848896.9407958984,4165821.642944336,4239605.551391602,3656461.825073242,4556464.165771484,5193424.2548828125,5198610.0556640625,4825548.983886719,4360791.6220703125,4968568.333374023,4894547.858154297,4314156.84765625,3856481.7958984375,4835780.072509766,4576701.091308594,5939488.359130859,8748329.255859375,341258.06032562256,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",AC,1940554.4440917969,1498702.8666992188,1509876.7067871094,1642605.657836914,1640416.5393066406,1061737.3879394531,1500157.6706542969,1640031.748413086,1439568.689453125,1776308.5927734375,2052745.1049804688,2002974.8272705078,1911398.482849121,1580741.047241211,1913919.235534668,2097805.024169922,1748927.3958740234,1671652.7352294922,1796628.9790039062,1901714.705444336,2106989.879760742,3335229.4018554688,168484.0325164795,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",AC,4891001.678283691,4231218.8837890625,3663724.6591796875,3921731.4681396484,4140817.1970214844,2744756.177734375,3778032.8237304688,4032598.901611328,3403129.6446533203,4114643.4873046875,5079197.523925781,5300942.361083984,4562636.583618164,4388263.270019531,4788771.525024414,4789257.653442383,3860608.9428710938,3928391.265625,4548470.571166992,4220326.905151367,5549661.710693359,8361298.29296875,263180.44006347656,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
1-O-behenoyl-Cer(d18:1/16:0),CER,5852.4604415893555,4118.460285186768,4033.060287475586,4544.720314025879,3847.680278778076,5098.460361480713,4085.260284423828,3878.980266571045,3895.6602783203125,3839.480270385742,5075.18034362793,5428.220371246338,4484.820323944092,5703.600429534912,3938.7002754211426,4355.2003173828125,4248.760307312012,3850.560276031494,4372.38032913208,4174.160293579102,5481.920394897461,4148.680309295654,3583.220245361328,time point: 28d ISCI,time point: healthy,time point: 28d ISCI vs time point: healthy,11,11,Blank-1x
