TG 40:1	710.6->411.4
TG 40:1_OZONE_DB_Position_N1	710.6->708.6
TG 40:1_OZONE_DB_Position_N2	710.6->722.7
TG 40:1_OZONE_DB_Position_N3	710.6->736.7
TG 40:1_OZONE_DB_Position_N4	710.6->750.7
TG 40:1_OZONE_DB_Position_N5	710.6->764.7
TG 40:1_OZONE_DB_Position_N6	710.6->778.7
TG 40:1_OZONE_DB_Position_N7	710.6->792.7
TG 40:1_OZONE_DB_Position_N8	710.6->806.8
TG 40:1_OZONE_DB_Position_N9	710.6->820.8
TG 40:1_OZONE_DB_Position_N10	710.6->834.8
TG 40:1_OZONE_DB_Position_N11	710.6->848.8
TG 40:1_OZONE_DB_Position_N12	710.6->862.8
TG 40:1_OZONE_DB_Position_N13	710.6->876.8
TG 40:1_OZONE_DB_Position_N14	710.6->890.9
TG 40:1_OZONE_DB_Position_N15	710.6->904.9
TG 40:1_OZONE_DB_Position_N16	710.6->918.9
TG 40:1_OZONE_DB_Position_N17	710.6->932.9
TG 40:2	708.6->409.4
TG 40:2_OZONE_DB_Position_N1	708.6->706.6
TG 40:2_OZONE_DB_Position_N2	708.6->720.6
TG 40:2_OZONE_DB_Position_N3	708.6->734.7
TG 40:2_OZONE_DB_Position_N4	708.6->748.7
TG 40:2_OZONE_DB_Position_N5	708.6->762.7
TG 40:2_OZONE_DB_Position_N6	708.6->776.7
TG 40:2_OZONE_DB_Position_N7	708.6->790.7
TG 40:2_OZONE_DB_Position_N8	708.6->804.7
TG 40:2_OZONE_DB_Position_N9	708.6->818.7
TG 40:2_OZONE_DB_Position_N10	708.6->832.8
TG 40:2_OZONE_DB_Position_N11	708.6->846.8
TG 40:2_OZONE_DB_Position_N12	708.6->860.8
TG 40:2_OZONE_DB_Position_N13	708.6->874.8
TG 40:2_OZONE_DB_Position_N14	708.6->888.8
TG 40:2_OZONE_DB_Position_N15	708.6->902.8
TG 40:2_OZONE_DB_Position_N16	708.6->916.9
TG 40:2_OZONE_DB_Position_N17	708.6->930.9
TG 40:3	706.6->407.4
TG 40:3_OZONE_DB_Position_N1	706.6->704.6
TG 40:3_OZONE_DB_Position_N2	706.6->718.6
TG 40:3_OZONE_DB_Position_N3	706.6->732.6
TG 40:3_OZONE_DB_Position_N4	706.6->746.7
TG 40:3_OZONE_DB_Position_N5	706.6->760.7
TG 40:3_OZONE_DB_Position_N6	706.6->774.7
TG 40:3_OZONE_DB_Position_N7	706.6->788.7
TG 40:3_OZONE_DB_Position_N8	706.6->802.7
TG 40:3_OZONE_DB_Position_N9	706.6->816.7
TG 40:3_OZONE_DB_Position_N10	706.6->830.8
TG 40:3_OZONE_DB_Position_N11	706.6->844.8
TG 40:3_OZONE_DB_Position_N12	706.6->858.8
TG 40:3_OZONE_DB_Position_N13	706.6->872.8
TG 40:3_OZONE_DB_Position_N14	706.6->886.8
TG 40:3_OZONE_DB_Position_N15	706.6->900.8
TG 40:3_OZONE_DB_Position_N16	706.6->914.9
TG 40:3_OZONE_DB_Position_N17	706.6->928.9
TG 40:4	704.6->405.4
TG 40:4_OZONE_DB_Position_N1	704.6->702.6
TG 40:4_OZONE_DB_Position_N2	704.6->716.6
TG 40:4_OZONE_DB_Position_N3	704.6->730.6
TG 40:4_OZONE_DB_Position_N4	704.6->744.7
TG 40:4_OZONE_DB_Position_N5	704.6->758.7
TG 40:4_OZONE_DB_Position_N6	704.6->772.7
TG 40:4_OZONE_DB_Position_N7	704.6->786.7
TG 40:4_OZONE_DB_Position_N8	704.6->800.7
TG 40:4_OZONE_DB_Position_N9	704.6->814.7
TG 40:4_OZONE_DB_Position_N10	704.6->828.7
TG 40:4_OZONE_DB_Position_N11	704.6->842.8
TG 40:4_OZONE_DB_Position_N12	704.6->856.8
TG 40:4_OZONE_DB_Position_N13	704.6->870.8
TG 40:4_OZONE_DB_Position_N14	704.6->884.8
TG 40:4_OZONE_DB_Position_N15	704.6->898.8
TG 40:4_OZONE_DB_Position_N16	704.6->912.8
TG 40:4_OZONE_DB_Position_N17	704.6->926.9
TG 40:5	702.6->403.4
TG 40:5_OZONE_DB_Position_N1	702.6->700.6
TG 40:5_OZONE_DB_Position_N2	702.6->714.6
TG 40:5_OZONE_DB_Position_N3	702.6->728.6
TG 40:5_OZONE_DB_Position_N4	702.6->742.6
TG 40:5_OZONE_DB_Position_N5	702.6->756.6
TG 40:5_OZONE_DB_Position_N6	702.6->770.7
