Lipid Name	Transition
Hexacosanoyl carnitine	540.5 -> 85.1
Hexacosanoyl carnitine	540.5 -> 60.1
Hexacosanoyl carnitine	540.5 -> 144.1
O-behenoylcarnitine	484.4 -> 144.1
O-behenoylcarnitine	484.4 -> 85.1
O-behenoylcarnitine	484.4 -> 60.1
(13Z,16Z)-docosadienoylcarnitine	480.4 -> 144.1
(13Z,16Z)-docosadienoylcarnitine	480.4 -> 85.1
(13Z,16Z)-docosadienoylcarnitine	480.4 -> 60.1
(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine	476.4 -> 144.1
(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine	476.4 -> 85.1
(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine	476.4 -> 60.1
Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine	474.4 -> 144.1
Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine	474.4 -> 85.1
Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine	474.4 -> 60.1
3-hydroxyeicosanoylcarnitine, Cervonyl carnitine	472.4 -> 144.1
3-hydroxyeicosanoylcarnitine, Cervonyl carnitine	472.4 -> 85.1
3-hydroxyeicosanoylcarnitine, Cervonyl carnitine	472.4 -> 60.1
3-hydroxyarachidonoylcarnitine	464.3 -> 144.1
3-hydroxyarachidonoylcarnitine	464.3 -> 85.1
3-hydroxyarachidonoylcarnitine	464.3 -> 60.1
O-(17-carboxyheptadecanoyl)carnitine	458.3 -> 144.1
O-(17-carboxyheptadecanoyl)carnitine	458.3 -> 85.1
O-(17-carboxyheptadecanoyl)carnitine	458.3 -> 60.1
Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine	456.4 -> 144.1
Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine	456.4 -> 85.1
Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine	456.4 -> 60.1
(11Z)-eicoseneoylcarnitine	454.4 -> 144.1
(11Z)-eicoseneoylcarnitine	454.4 -> 85.1
(11Z)-eicoseneoylcarnitine	454.4 -> 60.1
(11Z,14Z)-eicosadienoylcarnitine	452.4 -> 144.1
(11Z,14Z)-eicosadienoylcarnitine	452.4 -> 85.1
(11Z,14Z)-eicosadienoylcarnitine	452.4 -> 60.1
O-arachidonoylcarnitine	448.3 -> 144.1
O-arachidonoylcarnitine	448.3 -> 85.1
O-arachidonoylcarnitine	448.3 -> 60.1
12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine	444.4 -> 144.1
12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine	444.4 -> 85.1
12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine	444.4 -> 60.1
(9Z)-3-hydroxyoctadecenoylcarnitine	442.3 -> 144.1
(9Z)-3-hydroxyoctadecenoylcarnitine	442.3 -> 85.1
(9Z)-3-hydroxyoctadecenoylcarnitine	442.3 -> 60.1
3-hydroxylinoleoylcarnitine,	440.3 -> 144.1
3-hydroxylinoleoylcarnitine,	440.3 -> 85.1
3-hydroxylinoleoylcarnitine,	440.3 -> 60.1
(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine	438.3 -> 144.1
(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine	438.3 -> 85.1
(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine	438.3 -> 60.1
Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester	428.4 -> 144.1
Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester	428.4 -> 85.1
Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester	428.4 -> 60.1
O-oleoylcarnitine, Elaidic carnitine	426.4 -> 144.1
O-oleoylcarnitine, Elaidic carnitine	426.4 -> 85.1
O-oleoylcarnitine, Elaidic carnitine	426.4 -> 60.1
Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine	424.3 -> 144.1
Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine	424.3 -> 85.1
Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine	424.3 -> 60.1
Stearidonyl carnitine	420.3 -> 144.1
Stearidonyl carnitine	420.3 -> 85.1
Stearidonyl carnitine	420.3 -> 60.1
3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine	414.3 -> 144.1
3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine	414.3 -> 85.1
3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine	414.3 -> 60.1
(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine	412.3 -> 144.1
(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine	412.3 -> 85.1
(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine	412.3 -> 60.1
O-(13-carboxytridecanoyl)carnitine	402.3 -> 144.1
O-(13-carboxytridecanoyl)carnitine	402.3 -> 85.1
O-(13-carboxytridecanoyl)carnitine	402.3 -> 60.1
Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine	400.3 -> 144.1
Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine	400.3 -> 85.1
Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine	400.3 -> 60.1
O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine	398.3 -> 144.1
O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine	398.3 -> 85.1
O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine	398.3 -> 60.1
(7Z,10Z)-hexadecadienoylcarnitine	396.3 -> 144.1
(7Z,10Z)-hexadecadienoylcarnitine	396.3 -> 85.1
(7Z,10Z)-hexadecadienoylcarnitine	396.3 -> 60.1
2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine	388.3 -> 144.1
2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine	388.3 -> 85.1
2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine	388.3 -> 60.1
(5Z,8Z)-3-hydroxytetradecadienoylcarnitine	384.3 -> 144.1
(5Z,8Z)-3-hydroxytetradecadienoylcarnitine	384.3 -> 85.1
(5Z,8Z)-3-hydroxytetradecadienoylcarnitine	384.3 -> 60.1
O-(11-carboxyundecanoyl)carnitine	374.2 -> 144.1
O-(11-carboxyundecanoyl)carnitine	374.2 -> 85.1
O-(11-carboxyundecanoyl)carnitine	374.2 -> 60.1
TetradecanoylcarnitineO-tetradecanoylcarnitine	372.3 -> 144.1
TetradecanoylcarnitineO-tetradecanoylcarnitine	372.3 -> 85.1
TetradecanoylcarnitineO-tetradecanoylcarnitine	372.3 -> 60.1
cis-5-Tetradecenoylcarnitine	370.3 -> 144.1
cis-5-Tetradecenoylcarnitine	370.3 -> 85.1
cis-5-Tetradecenoylcarnitine	370.3 -> 60.1
(5Z,8Z)-tetradecadienoylcarnitine	368.3 -> 144.1
(5Z,8Z)-tetradecadienoylcarnitine	368.3 -> 85.1
(5Z,8Z)-tetradecadienoylcarnitine	368.3 -> 60.1
2-Hydroxylauroylcarnitine, 3-hydroxydodecanoylcarnitine	360.3 -> 144.1
2-Hydroxylauroylcarnitine, 3-hydroxydodecanoylcarnitine	360.3 -> 85.1
2-Hydroxylauroylcarnitine, 3-hydroxydodecanoylcarnitine	360.3 -> 60.1
(9Z)-3-hydroxydodecenoylcarnitine	358.3 -> 144.1
(9Z)-3-hydroxydodecenoylcarnitine	358.3 -> 85.1
(9Z)-3-hydroxydodecenoylcarnitine	358.3 -> 60.1
O-sebacoylcarnitine	346.2 -> 144.1
O-sebacoylcarnitine	346.2 -> 85.1
O-sebacoylcarnitine	346.2 -> 60.1
Dodecanoylcarnitine, O-dodecanoylcarnitine	344.3 -> 144.1
Dodecanoylcarnitine, O-dodecanoylcarnitine	344.3 -> 85.1
Dodecanoylcarnitine, O-dodecanoylcarnitine	344.3 -> 60.1
4,8 dimethylnonanoyl carnitine, Undecanoylcarnitine, 6-Keto-decanoylcarnitine	330.3 -> 144.1
4,8 dimethylnonanoyl carnitine, Undecanoylcarnitine, 6-Keto-decanoylcarnitine	330.3 -> 85.1
4,8 dimethylnonanoyl carnitine, Undecanoylcarnitine, 6-Keto-decanoylcarnitine	330.3 -> 60.1
Decanoylcarnitine	316.2 -> 144.1
Decanoylcarnitine	316.2 -> 85.1
Decanoylcarnitine	316.2 -> 60.1
(4Z)-decenoylcarnitine, 9-Decenoylcarnitine, CIS-4-DECENOYL CARNITINE	314.2 -> 144.1
(4Z)-decenoylcarnitine, 9-Decenoylcarnitine, CIS-4-DECENOYL CARNITINE	314.2 -> 85.1
(4Z)-decenoylcarnitine, 9-Decenoylcarnitine, CIS-4-DECENOYL CARNITINE	314.2 -> 60.1
(2E,4Z)-decadienoylcarnitine	312.2 -> 144.1
(2E,4Z)-decadienoylcarnitine	312.2 -> 85.1
(2E,4Z)-decadienoylcarnitine	312.2 -> 60.1
(2E,5Z,7E)-decatrienoylcarnitine	310.2 -> 144.1
(2E,5Z,7E)-decatrienoylcarnitine	310.2 -> 85.1
(2E,5Z,7E)-decatrienoylcarnitine	310.2 -> 60.1
3-hydroxy-cis-5-octenoylcarnitine; 2,6 dimethylheptanoyl carnitine, Nonanoylcarnitine	302.2 -> 144.1
3-hydroxy-cis-5-octenoylcarnitine; 2,6 dimethylheptanoyl carnitine, Nonanoylcarnitine	302.2 -> 85.1
3-hydroxy-cis-5-octenoylcarnitine; 2,6 dimethylheptanoyl carnitine, Nonanoylcarnitine	302.2 -> 60.1
O-adipoylcarnitine	290.2 -> 144.1
O-adipoylcarnitine	290.2 -> 85.1
O-adipoylcarnitine	290.2 -> 60.1
(2E)-hexenedioylcarnitine, O-octanoylcarnitine	288.1 -> 144.1
(2E)-hexenedioylcarnitine, O-octanoylcarnitine	288.1 -> 85.1
(2E)-hexenedioylcarnitine, O-octanoylcarnitine	288.1 -> 60.1
(2E)-octenoylcarnitine, 2-octenoyl-L-carnitine	286.2 -> 144.1
(2E)-octenoylcarnitine, 2-octenoyl-L-carnitine	286.2 -> 85.1
(2E)-octenoylcarnitine, 2-octenoyl-L-carnitine	286.2 -> 60.1
O-glutarylcarnitine, Hydroxyhexanoycarnitine, Glutarylcarnitine	276.1 -> 144.1
O-glutarylcarnitine, Hydroxyhexanoycarnitine, Glutarylcarnitine	276.1 -> 85.1
O-glutarylcarnitine, Hydroxyhexanoycarnitine, Glutarylcarnitine	276.1 -> 60.1
Glutaconylcarnitine, Heptanoylcarnitine	274.1 -> 144.1
Glutaconylcarnitine, Heptanoylcarnitine	274.1 -> 85.1
Glutaconylcarnitine, Heptanoylcarnitine	274.1 -> 60.1
3-hydroxyisovalerylcarnitine, hydroxyisovaleroyl carnitine, O-succinylcarnitine, Methylmalonylcarnitine	262.2 -> 144.1
3-hydroxyisovalerylcarnitine, hydroxyisovaleroyl carnitine, O-succinylcarnitine, Methylmalonylcarnitine	262.2 -> 85.1
