lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.097355179399063,3.9798053418875488,64.15656054689785,1.1491470376844324e-15,3.7082974906076635e-12,PE,552806.6551513672,111081.00933074953,86580.92544937134,5080.360347747803,2187.74015045166,2173.5601692199707,2000.340129852295
[TG(51:5)]_FA16:0,-3.757842424612353,6.325921744168864,49.26594934444438,2.2350868201901686e-12,3.6063125843768372e-9,TAG,132702.60998535156,129032.44927978516,116820.0492553711,117311.1682434082,1867990.1942749023,742645.9927978516,39190.08248901367
[TG(51:6)]_FA16:1,-3.695805111780039,6.519628721835952,47.803884230498625,4.710578509764571e-12,5.0670122836700904e-9,TAG,146931.69006347656,163424.91040039062,129036.94897460938,150070.03161621094,2157816.8165893555,819853.119934082,41019.22302246094
DG(35:6)_C16:0,4.773890220243755,2.974668219523635,45.43043439394411,1.5815758796212393e-11,1.2759363408844348e-8,DAG,354742.18701171875,4213.16032409668,2626.160186767578,2716.520195007324,2631.7801780700684,2674.1001892089844,2623.120189666748
DG(37:4)_C18:1,-3.506449855321253,2.064911166842121,43.40055616932352,4.460613383559461e-11,2.878879877749276e-8,DAG,2892.220203399658,2895.520221710205,2895.200206756592,2972.040214538574,38224.66283416748,13228.380893707275,40262.78248596192
LPE(20:4),4.486177857383018,2.8355344340711413,41.46183818025896,1.2019449230865778e-10,6.464460444667311e-8,PE,264536.8984298706,42672.74304962158,18893.04136657715,2492.0801582336426,3242.400260925293,2589.7201538085938,2961.640182495117
[TG(51:4)]_FA14:0,-3.3330639156089372,5.941169481100293,39.54071584072335,3.212902690354007e-10,1.4811481402531973e-7,TAG,108547.54736328124,112186.84884643556,107290.3677368164,133083.69061279297,1252804.9055786133,551434.9449462891,82697.70608520508
LPE(20:3),4.2169466455429125,2.323965879400177,37.79246445942306,7.868512968431522e-10,3.173961418641065e-7,PE,154099.91077041626,44359.44305801392,28154.30215072632,4231.86022567749,2821.360221862793,2089.3801498413086,2059.740146636963
[TG(38:1)]_FA14:0,-3.2166232036235374,7.484142330040939,37.001952642934825,1.1801100592572866e-9,4.2313501791369597e-7,TAG,435299.6118164063,362804.6832275391,418657.8930664063,331275.9782714844,4904561.684204102,690909.6423339844,49943.38360595703
DG(40:10)|DG(39:3)_C18:0,4.133926705789257,4.636016247104294,36.6881062810371,1.3862261484680693e-9,4.473351781106459e-7,DAG,162299.21299362183,14495.061027526855,16362.201206207275,1000045.3145713806,14801.721046447754,11472.880821228027,3224.120246887207
