lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
PG(16:0)|LPG(17:0)|LPG(O-18:0),-6.049111559487413,4.197943588534603,152.68719100531635,4.4837077279763877e-35,1.4334413606340511e-31,PG,4172.8003005981445,2144.260154724121,2183.820152282715,8641.86054611206,191740.2319259644,219423.2977027893,39920.40306472778
DG(35:6)_C16:0,-4.854727467710132,2.61313639136998,107.13518898721075,4.1581494490016535e-25,6.646801894229143e-22,DAG,4190.100296020508,3850.700283050537,3597.6202278137207,2971.6602058410645,2633.520179748535,143234.7310447693,2623.120189666748
[TG(51:5)]_FA16:0,-4.56170871590795,7.556628767248478,96.48515723993614,8.991539063114096e-23,8.878587382183631e-20,TAG,97145.26721191406,229528.5000610352,143135.4105834961,89896.92712402344,1927948.7284545896,2644644.3455200195,39190.08248901367
LPE(20:2),6.431990563726617,4.845128183221168,96.06653953840225,1.1108648585778705e-22,8.878587382183631e-20,PE,358203.14964675903,683538.8669128418,64319.18466949463,3182.880199432373,2094.660148620605,2314.5001640319824,2000.340129852295
[TG(51:6)]_FA16:1,-4.513438632873884,7.685227836216229,94.74668406591809,2.163756362652066e-22,1.3835058182797308e-19,TAG,119831.58795166016,234403.5959777832,173561.09185791016,102036.62683105467,2325363.301635742,2673347.673339844,41019.22302246094
[TG(51:4)]_FA14:0,-4.230011801133831,7.005445992498811,84.69251835149407,3.485669256269957e-20,1.8572807687158423e-17,TAG,94592.6475830078,151165.7688293457,125277.56646728516,83876.72576904297,1377098.6431884766,1602283.202178955,82697.70608520508
[TG(38:1)]_FA14:0,-3.994286967428109,8.299504971757552,76.55653431292012,2.1399822810134995e-18,9.773604789143084e-16,TAG,292272.2409667969,574324.9427490234,251626.8599853516,219897.2945556641,3375497.0100097656,4034529.987915039,49943.38360595703
[TG(53:8)|TG(52:1)]_FA18:3,-3.9244400365438143,7.366173464598246,74.18868688177463,7.09960047982252e-18,2.8371778417490743e-15,TAG,133910.23040771484,241532.37701416016,214859.35546875,136335.42834472656,1581536.075744629,2254872.9161987305,35997.24267578125
[TG(46:6)]_FA22:5,-3.8834194331844967,10.905851531987913,72.80911280664114,1.428158929710875e-17,5.073137886984075e-15,TAG,1933738.5963134768,4372720.575134277,1298506.6174926758,1227004.006286621,13515048.733093262,31256664.91613769,55422.98370361328
[TG(53:7)|TG(52:0)]_FA18:2,-3.770084386018526,6.99410389180863,69.03352952460045,9.68036036563126e-17,2.813464735356649e-14,TAG,109509.1489868164,189764.99356079104,185764.63415527344,128746.18951416016,1314439.460205078,1609185.6467895508,32808.362396240234
FA(30:1),-3.771508610339632,6.979103223079447,69.08059174513619,9.45209576450134e-17,2.813464735356649e-14,FA,116861.18516540527,226113.1979370117,168734.55430603027,100551.66612243652,2475351.2074279785,482871.0517425537,25251.52146911621
