type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,8,14
FA,0,2
PC,0,0
PE,0,0
PG,0,0
PI,1,0
PS,0,0
SM,0,0
TAG,0,0
TAG | DAG,0,0
