lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.123038455176099,4.938546357198548,186.7315931931423,1.6435596718870896e-42,5.3037670611796385e-39,PE,3022.000156402588,1920.2201385498047,226003.17764282227,729138.6013793945,430594.1723632813,12940.740852355955,2356.520168304444,2146.020137786865,2335.8601570129395,2343.480167388916,2343.980155944824,2000.340129852295
DG(34:0)_C16:0,4.652465491349015,4.368042729496745,124.83141580247263,5.540750678607681e-29,8.940001219933492e-26,DAG,6597.920379638672,118578.6499786377,73266.00559997559,95866.02730560304,144490.35014343262,414169.4259567261,2639.440185546875,2640.200183868408,2658.6001930236816,8512.060558319092,5086.060325622559,3417.0002250671387
DG(35:6)_C16:0,4.059826951873506,3.1991579848890037,100.94326152258016,9.465640050850937e-24,1.0181873481365324e-20,DAG,2627.080173492432,103629.78706359863,3085.680233001709,5064.200336456299,3712.300239562988,222648.13648986816,2628.220165252685,2629.100173950196,2625.400177001953,3154.3002281188965,2700.920185089112,2623.120189666748
LPE(20:1),3.9652817693234566,2.9933326123095667,97.22135471805163,6.199442723540665e-23,5.001400417216432e-20,PE,2831.940193176269,2187.400154113769,150227.73001861572,110983.9871673584,72857.06577301025,9977.500694274902,2555.080150604248,2524.1201705932617,2451.600170135498,2519.080181121826,2651.940196990967,2031.0601501464844
LPE(20:3),3.7197557782583934,2.979228714010249,87.71558802844578,7.55764243744165e-21,4.877702429124841e-18,PE,11133.740592956545,3423.660217285156,152708.03170776367,103787.7872505188,54969.74362564087,9953.24084854126,3469.9802780151367,2223.3801498413086,2875.400218963623,3391.1402893066406,2833.9001808166504,2059.740146636963
LPE(20:0),3.3656134802302433,2.2448051721204343,74.38489821421044,6.427885177136271e-18,3.4571309111031246e-15,PE,2368.540168762207,2087.16015625,89018.14569473267,62791.22442626953,34505.16239929199,8640.460594177246,2223.6801376342773,2188.1601524353027,2066.400131225586,2259.120162963867,2313.480182647705,2168.840148925781
LPE(20:4),3.0007239738617586,3.4236754016934063,61.32129057423572,4.848093096459134e-15,2.2349709174676605e-12,PE,57183.864097595215,4831.74027633667,170542.79220581055,113329.72869873048,56389.12446975708,6191.500431060791,17986.90118408203,3161.7402305603027,2841.480209350586,3023.8602333068848,4362.080314636231,2961.640182495117
[TG(56:8)|TG(55:1)]_FA20:4,2.865488689371981,11.719036139848773,56.67067001100912,5.152637877660737e-14,2.0784453039013996e-11,TAG,523222.7221679688,828797.181640625,6815579.649902344,61964373.32421875,49350677.8203125,19740478.2578125,2807184.543701172,651307.5087890625,674853.5511474609,5220897.544921875,1896033.593017578,159430.49194335938
FA(30:1),-2.5982539089248546,7.813185844483787,52.43396725533967,4.449608205293519e-13,1.5954317420535763e-10,FA,188318.89324569705,588636.6999969482,232970.9758605957,91610.24841308594,76421.46682739258,84402.92451477051,2216504.223022461,1184442.4351501465,925839.5753631592,1024594.885559082,398587.3764190674,25251.52146911621
[TG(55:11)|TG(54:4)]_FA18:0,2.591828639269013,11.306007093243787,47.57214438041086,5.301648437334175e-12,1.7108419507277383e-9,TAG,477475.259765625,773485.95751953125,5812282.8251953125,47097884.64453125,36150200.33129883,11861102.490234377,2697522.538330078,877217.20166015625,695008.1892089844,3877553.6137695312,1803795.8386230469,142586.51037597656
[TG(54:6)]_FA18:2,2.557379005128923,11.768551446574445,46.463369142968034,9.334728512882014e-12,2.738469901006387e-9,TAG,672163.7639160156,869891.51708984375,7462910.816894531,62955374.38867188,50233617.5546875,18335232.76660156,3730279.6740722656,1030976.069580078,905514.2253417968,5947622.3974609375,2410375.92578125,172625.4111328125
[TG(56:7)|TG(55:0)]_FA20:4,2.539926355839998,12.62718346202418,45.904934513582745,1.2413288608469414e-11,3.3381401949609004e-9,TAG,1035321.1730957032,1253931.955078125,13150092.05859375,108169870.19921876,88294050.359375,42866012.47265625,6194123.772949219,1351201.0075683594,1102955.0170898438,12554193.486328123,4719165.932861328,337624.623046875
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-2.396290468335482,6.401747444430509,45.18281950502695,1.7947266479348217e-11,4.164259349374369e-9,TAG,673920.1854248047,1048927.53515625,513779.9481201172,398718.70703125,366520.4451904297,207225.75366210935,1806702.2354736328,955840.20458984375,833449.41943359375,915345.7771606444,1082109.208984375,58990.14392089844
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-2.396290468335482,6.401747444430509,45.18281950502695,1.7947266479348217e-11,4.164259349374369e-9,DAG,74286.905418396,74091.08490371704,78849.54585266113,81850.04622268677,74789.06544494629,219363.5756607056,77688.44567489624,74455.08539962769,76380.76502609253,735670.2905845642,1409359.2636566162,77638.42515563965
[TG(58:7)|TG(57:0)]_FA20:4,2.516862694970497,8.142428065119306,45.1698843058748,1.8066201081884463e-11,4.164259349374369e-9,TAG,175251.79272460938,205692.61584472656,1004728.8587646484,4355432.104003906,3790415.492675781,1616543.579711914,224826.7969970703,127190.60919189452,175641.1312866211,381427.88830566406,249859.7368774414,40370.902770996094
[TG(54:5)]_FA18:1,2.5076641803288595,11.60746525916047,44.87850722784326,2.0964640439901727e-11,4.392303688663499e-9,TAG,625359.5280761719,917541.071044922,6368749.029785156,55766738.40234375,46938048.02734375,14474098.505859377,3325577.0935058594,998358.167236328,788676.44189453125,5603951.59765625,2220438.790283203,124003.70825195312
[TG(54:7)|TG(53:0)]_FA18:3,2.505312685052297,11.754917560459715,44.80399703832428,2.1777768521418032e-11,4.392303688663499e-9,TAG,699827.73193359375,940882.544921875,8145893.904785156,60382074.528808594,50936133.54296875,17367123.23046875,3847611.8559570312,1055229.2587890625,965784.68896484375,5938413.4033203125,2528923.203613281,209595.373046875
[TG(56:9)|TG(55:2)]_FA20:4,2.464045859939382,8.291383309086582,43.50282474514097,4.233478517801602e-11,8.036138339379865e-9,TAG,93511.70654296876,119901.66845703124,710774.0825805664,4966659.476318359,4864657.1708984375,1651173.499267578,437308.7126464844,105789.96746826172,118323.04913330078,432843.5347900391,219826.7360229492,48443.04309082031
[TG(55:10)|TG(54:3)]_FA18:0,2.4319577924864446,12.144864446076571,42.50081542985971,7.06527614597988e-11,1.266647006837615e-8,TAG,862139.87353515625,1030448.0170898438,9829859.0166015625,81162737.4140625,62159403.82617188,25384622.48046875,5141115.681640625,1340795.6103515625,893951.5075683594,8570327.67578125,3823978.486328125,228309.53759765625
DG(37:3)_C16:0,2.3740213667037064,9.850492502500535,40.71115139276142,1.7647720519636518e-10,2.997326006150897e-8,DAG,5661513.271759033,1538141.663131714,5747844.916275024,35744.962787628174,6325723.439880371,13003199.079925535,650873.919631958,530278.8203392029,33508.562324523926,1606106.962097168,1483191.7973632812,40108.38299560547
[TG(54:5)]_FA18:0,2.3564926127960053,7.861871419859732,40.17461726717738,2.3224633030788992e-10,3.747294539517804e-8,TAG,84385.10552978516,102937.7667236328,539686.3529052734,3904012.3850097656,3457017.958129883,989692.5030517578,331125.22161865234,100708.1669921875,98809.48712158205,319230.0787353516,189485.2533569336,45290.223083496094
DG(40:10)|DG(39:3)_C18:0,2.3269562613978754,4.996362739369086,39.273768010336426,3.6835698463842516e-10,5.660418997277133e-8,DAG,9019.840648651125,9125.020694732666,21008.58154296875,19755.66139984131,15612.34119796753,1184083.7992134094,9638.220623016356,17079.741241455078,17500.981315612793,88712.72703552246,11926.740825653076,3224.120246887207
[TG(54:7)|TG(53:0)]_FA18:2,2.3207238711374694,8.274754655157825,39.08843105653068,4.0503701903892174e-10,5.682845480167829e-8,TAG,101778.96716308594,125172.08911132812,707229.6955566406,4896680.862548828,4814550.408203125,1443515.5284423828,456963.0363769531,119102.2074584961,132099.548828125,455835.07421875,254775.67834472656,46564.96325683594
FA(18:3),-2.2191660914665428,6.551551643505541,39.16440807042636,3.895776887498822e-10,5.682845480167829e-8,FA,46584.0634765625,60583.84423828125,427266.7121582031,125315.16870117188,48018.40319824219,53327.624267578125,385131.8278808594,185322.2326660156,1340801.259765625,90736.68756103516,49051.74328613281,165620.63159179688
[TG(54:6)]_FA18:1,2.315189151023956,8.131688499187797,38.921238079696195,4.4125380030527765e-10,5.933025056604713e-8,TAG,110073.66821289062,133241.3302001953,642182.598815918,4209532.209472656,4606366.096191406,1215909.2255859375,398768.3504638672,106943.4486694336,118951.80871582033,439001.3912353516,225309.3558349609,43440.762939453125
[TG(54:8)|TG(53:1)]_FA18:3,2.260214373377606,8.289408463553253,37.274826068343835,1.026005084589823e-9,1.3243673631885436e-7,TAG,118931.7484741211,139588.3709716797,822328.67578125,4723627.466064453,4909179.104492188,1403886.3381347656,476435.97033691406,121359.50708007812,145618.5291748047,475762.03674316406,265212.82263183594,50717.52389526367
[TG(54:5)]_FA18:2,2.2532884174726573,12.58507939352204,37.06954682225185,1.139901384930075e-9,1.4147929881420583e-7,TAG,1309100.5444335938,1219591.30859375,12913048.1796875,102515363.57421876,84915727.296875,37632486.71777344,7696528.056152344,1572066.3037109375,1359320.7255859375,13815622.654296877,5377369.556152344,356736.9655761719
[TG(55:11)|TG(54:4)]_FA18:1,2.2290051887843276,12.426440200709349,36.35183966402816,1.647236540539103e-9,1.9687527097480318e-7,TAG,1250513.1635742188,1410286.208984375,11130760.516601562,92651830.921875,78415865.953125,29900195.0546875,6772027.220947266,1501292.4506835938,1156823.012451172,12773319.232421877,4930041.76953125,263154.5986328125
[TG(54:6)]_FA18:3,2.1825099484260337,12.582606550091173,34.99186264103763,3.3108607720867457e-9,3.684188866042734e-7,TAG,1441539.787109375,1440793.6787109375,15093711.045898438,99262982.341796875,84445126.546875,36463069.52734375,8153654.6640625,1665585.8408203125,1484112.1333007812,13936615.99609375,5807384.080078125,382035.806640625
[TG(54:7)|TG(53:0)]_FA20:4,2.1842376357965785,9.85220882749085,35.04194931057282,3.226783068550371e-9,3.684188866042734e-7,TAG,202905.09368896484,208297.994140625,1894797.4822998047,14320514.748046877,12703928.581054688,6549974.25,1414798.1797485352,269803.81982421875,223807.2133178711,1910821.3884277344,827833.5006713867,66943.44445800781
DG(42:9)|DG(41:2)_C16:1,-2.0239837323996213,7.618869696735953,32.931743104833004,9.545192466411056e-9,1.0267445363036158e-6,DAG,93422.46670150755,94634.4868812561,864935.7601966858,81167.96599197388,430558.98988342285,382365.8692626953,96941.12656784058,87015.68595504761,83252.94578552246,2355639.39453125,2659441.164428711,97521.02673339844
[TG(53:10)|TG(52:3)]_FA18:0,2.1036938896578574,9.34070334005972,32.73011029424379,1.0588422711993542e-8,1.102220648116231e-6,TAG,161297.11071777344,171764.7322998047,1339491.1066894531,10409286.658691406,8424964.297485352,4385832.16796875,1071768.555053711,239948.9969482422,192886.51220703125,1232391.573852539,679286.0576171875,57188.86389160156
[TG(56:6)]_FA22:5,2.0899091307583597,9.988297727664467,32.34037992608896,1.2939623077290063e-8,1.3048801147004698e-6,TAG,1808526.870361328,1715692.6701660156,13262900.022216797,8557706.965576172,4996982.425537109,4788876.229736328,1018721.4407958984,751046.39599609375,1377417.992919922,905491.1536865234,872445.4836425781,1283660.1729736328
