lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.2143253405978705,4.573826233819609,223.43651717963223,1.6099683180267988e-50,5.147068712731676e-47,PE,2251.5601539611816,2216.220146179199,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,2058.2001457214355,2127.5601501464844,2265.580150604248,3187.380271911621,2087.800148010254,2000.340129852295
LPE(20:1),3.7858333309712444,3.186325864228402,136.11541601753518,1.882631465971707e-31,3.0093863983557735e-28,PE,2481.9801902771,2274.4601516723637,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2763.5001945495605,2040.1801376342771,2231.1801376342773,2318.440174102783,2107.780139923096,2031.0601501464844
LPE(20:3),3.089747936132342,2.89581423526231,97.18633571172097,6.3100620544739e-23,6.72442279605102e-20,PE,2451.740146636963,2885.7402000427246,118867.42853164671,77489.36529541016,7855.660625457764,2019.980136871338,2139.6401557922363,3120.4002113342285,2212.4001693725586,5207.5804443359375,2098.780143737793,2059.740146636963
[TG(61:12)|TG(60:5)]_FA22:6,2.8619107638686048,10.72352342887536,85.32937716993911,2.5258262592878794e-20,2.0187666377358375e-17,TAG,1964597.0122070312,480614.39709472656,19410951.02148437,13619564.489135742,5246253.037353516,7045603.99520874,453621.83193969727,1570971.2520751953,760355.5217895508,579936.9184265137,640968.4714355469,153794.44931030273
LPE(20:0),2.8462153647139505,2.2241798973387357,84.38611989731565,4.069950850741693e-20,2.602326573964238e-17,PE,2217.220146179199,2188.8401527404785,62723.90397262573,54680.84397888184,4801.900329589844,2571.800178527832,2034.1601486206052,2124.74015045166,2062.580146789551,2132.360145568848,2257.8401527404785,2168.840148925781
[TG(61:11)|TG(60:4)]_FA22:5,2.812573606124828,10.516442547537462,82.80097313111217,9.07452913306856e-20,4.835211606403365e-17,TAG,1755738.7368164062,440731.9926757813,16195405.749633787,11820811.877563477,4717405.499389648,6291816.236877441,385300.46588134766,1397400.684326172,662964.7284240723,549390.8406982422,584445.1047363281,137564.6700744629
DG(37:4)_C16:1,2.480007004021543,8.527846096328139,66.40045873502096,3.680164812464794e-16,1.6807838436357068e-13,DAG,1786008.5904846191,137014.44999694824,1954716.955535889,734521.1391487122,3176351.913017273,1948034.9388694763,39429.50277709961,37313.78267669678,784492.0373497009,133211.84944915771,36455.42232513428,43886.56324768066
DG(34:4)|DG(dO-36:4)_C16:1,2.273232185239386,8.822305737077556,56.83094117726432,4.749346448250491e-14,1.8979575743821023e-11,DAG,1857368.0333251955,329758.5263786316,5684061.168457031,1107847.4912452698,689285.7465057373,1830091.190093994,69864.04468536377,78258.94566726685,559346.867111206,676689.3136062622,72187.6453666687,77399.72564697266
DG(31:1)_C16:1,2.237361013777494,9.223049825338236,55.22475122599281,1.0750642907936484e-13,3.8188672640747714e-11,DAG,3142247.3413085938,368648.7060852051,4106221.7010498047,2292516.308959961,1884771.9234046936,1665236.3315429688,125250.8090171814,143884.9900894165,945925.6959571838,393086.95028305054,140743.26978302002,988632.05859375
DG(32:3)_C16:1,2.229830735166527,8.327144731037171,54.88909350687026,1.275267269055746e-13,4.0770294591712194e-11,DAG,1658128.8932495115,200632.7957611084,2129486.633422852,1116295.9083862305,1133135.9825210571,994220.6136779784,72543.48545837402,76907.56525039673,504374.49139404297,210910.21404647827,78990.96538925171,532644.7174072266
