lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-10.083903518427379,10.44064094280682,1251.3150740505682,4.298277518383888e-274,1.3870541551824807e-270,DAG,2930.680202484131,2926.9802284240723,2927.500198364258,2927.120204925537,2924.7801933288574,2981.4202041625977,9304.880458831787,3039.580223083496,8325.200462341309,2932.80020904541,3550.7402381896973,3052.840217590332,3371.420238494873,14782.580894470217,3436.740257263184,2921.0602226257324,862775.7349281311,14146978.29548645,1905404.0719184875,2400776.2774658203,5815818.770553589,140383.89002609253,1481716.6491775513,1115678.4473724363,47492099.30102539
[TG(38:1)]_FA14:0,-4.773895843922118,9.58529926963361,413.753790591821,5.5851087202408744e-92,9.01157292010865e-89,TAG,292272.2409667969,435299.6118164063,325234.1418457031,523998.888671875,574324.9427490234,362804.6832275391,296264.59619140625,391473.1638183594,251626.8599853516,418657.8930664063,829413.27197265625,290212.60119628906,219897.2945556641,331275.9782714844,212055.51403808597,418595.0930175781,7845951.183227539,4636515.900512695,11628628.64489746,3074246.5869140625,7119355.3818359375,9838704.557861328,4844324.851318359,6324180.271362305,49943.38360595703
[TG(51:5)]_FA16:0,-4.725606809166949,7.935473467865229,406.72554282045076,1.891901807561412e-90,2.0350557110002255e-87,TAG,97145.26721191406,132702.60998535156,166181.71142578125,178758.43466186523,229528.5000610352,129032.44927978516,111385.56838989258,148210.54956054688,143135.4105834961,116820.0492553711,93078.70654296876,81822.72570800781,89896.92712402344,117311.1682434082,81872.58630371094,112672.90786743164,2931255.063415528,2662633.2572021484,1217572.9246826172,887771.9512329102,1999388.9141845703,2818020.0678100586,2281598.5595092773,3198751.1602783203,39190.08248901367
[TG(51:6)]_FA16:1,-4.662973152189958,8.105899019352341,397.65383750933233,1.7851242264337895e-88,1.4401489696754596e-85,TAG,119831.58795166016,146931.69006347656,172532.13250732422,235628.35778808597,234403.5959777832,163424.91040039062,138761.81018066406,166777.21270751953,173561.09185791016,129036.94897460938,107613.30712890624,90604.30615234376,102036.62683105467,150070.03161621094,100200.18768310548,140699.15106201172,3298346.54876709,2958775.952270508,1323807.096069336,1047698.9948120116,2280555.256958008,3194918.0095214844,2538360.205932617,3570440.018432617,41019.22302246094
LPE(20:2),6.21776847544271,5.103148745473111,364.3601456868476,3.1636644298427474e-81,2.0418290230205092e-78,PE,358203.14964675903,552806.6551513672,226003.17764282227,386055.4677848816,683538.8669128418,111081.00933074953,729138.6013793945,342430.14724731445,64319.18466949463,86580.92544937134,430594.1723632813,10192.700828552246,3182.880199432373,5080.360347747803,12940.740852355955,2125.4401359558105,2174.660144805908,2140.8401527404785,3022.000156402588,2251.5601539611816,2187.3601570129395,2055.260139465332,1920.2201385498047,2216.220146179199,2000.340129852295
DG(37:3)_C18:1,-4.396717957839761,3.008114751268766,359.44736899874493,3.714651055311262e-80,1.9978631592482402e-77,DAG,6432.740455627441,13280.180881500244,2912.7402153015137,6818.940452575684,2889.380210876465,2895.7602005004883,2888.8001976013184,2897.8402137756348,2895.6802139282227,2895.220195770264,5565.220329284668,2891.4002113342285,5187.640392303467,2897.7801933288574,2904.4201889038086,2893.7402114868164,60082.72447967529,63412.084522247314,64490.34425354004,65367.74505233765,58305.44400024414,63432.56433105469,50249.06354522705,62507.80427932739,57847.16430664063
[TG(51:4)]_FA14:0,-4.219465410214057,7.332771563573424,334.7962857551306,8.673060375908817e-75,3.9982808332939644e-72,TAG,94592.6475830078,108547.54736328124,117844.72747802734,173716.59295654297,151165.7688293457,112186.84884643556,99326.88732910156,129466.10809326172,125277.56646728516,107290.3677368164,99680.28631591795,92858.4071044922,83876.72576904297,133083.69061279297,76457.48529052734,117728.94714355467,1811112.022125244,1773224.271484375,753848.82666015625,587949.2760009766,1326297.2395019531,1832418.6748046875,1383185.262664795,1983704.681274414,82697.70608520508
[TG(46:6)]_FA22:5,-4.0713960332197905,11.765130889512522,314.43058201139127,2.3663224336443027e-70,9.545153116712706e-68,TAG,1933738.5963134768,2701004.547302246,1052505.6763916016,3537173.938842773,4372720.575134277,2774082.0932617188,1656050.192993164,3074289.003540039,1298506.6174926758,3013081.195739746,8131261.190246582,3001405.6555786133,1227004.006286621,2188989.172058105,1224064.9336547852,2491813.448486328,32032990.049560547,19693437.845092773,44161491.103515625,16586394.428405762,37020118.01397705,35579386.97351074,28064302.301879883,29109821.80078125,55422.98370361328
[TG(53:8)|TG(52:1)]_FA18:3,-3.9919374892604886,7.679270525767701,303.63764723443416,5.3120993763495936e-68,1.9046827430533485e-65,TAG,133910.23040771484,180654.03326416016,181652.83142089844,213100.61627197263,241532.37701416016,231202.23846435547,147479.34893798828,172342.15173339844,214859.35546875,191248.95178222656,129976.0692138672,119528.40829467772,136335.42834472656,163127.17059326172,112296.96783447266,139670.43029785156,2382183.890991211,2150532.0334472656,966392.9443359376,733127.6768188477,1638751.4934082031,2183433.3715820312,1793001.0830688477,2558327.557006836,35997.24267578125
DG(37:4)_C18:1,-3.9104491617404062,2.3930789152978402,292.50675824275663,1.4137230683701411e-65,4.5620843416304454e-63,DAG,2917.060218811035,2892.220203399658,2883.1601905822754,5060.680309295654,2889.060207366944,2895.520221710205,2888.940196990967,2898.2801780700684,2894.6002082824707,2895.200206756592,7551.160514831543,2890.740196228028,9570.32067489624,2972.040214538574,2903.440212249756,2894.920223236084,36678.64268875122,39319.942527771,39525.20267105103,38647.50300216675,39003.962787628174,36279.84257888794,36991.342514038086,37477.7626953125,40262.78248596192
