lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
LPE(20:2),5.8063632309507405,4.419025982695709,146.05209948427265,1.2645948867249083e-33,4.042909852859532e-30,PE,2174.660144805908,2187.3601570129395,358203.14964675903,683538.8669128418,64319.18466949463,3182.880199432373,2637.660182952881,2014.620140075684,2308.1001586914062,2094.660148620605,2314.5001640319824,2000.340129852295
LPE(20:1),3.983311305583641,2.7781763636209313,82.59183935691352,1.0087267317125842e-19,1.612449680642566e-16,PE,2451.980178833008,2051.14013671875,139514.009349823,129494.72986602785,60100.4641456604,3254.260234832764,2325.160171508789,2489.980152130127,2533.3001747131348,2482.680164337158,2457.9801712036133,2031.0601501464844
FA(30:1),-2.844623122334827,7.511094977849044,52.106877550366335,5.256051553673854e-13,5.53959004932406e-10,FA,37934.342781066895,553913.3770446777,116861.18516540527,226113.1979370117,168734.55430603027,100551.66612243652,671026.7630767822,1378772.1616363523,677737.0124816895,2475351.2074279785,482871.0517425537,25251.52146911621
LPE(20:0),2.99648851501437,1.7138181955208902,51.56374192387225,6.930985360430479e-13,5.53959004932406e-10,PE,2266.2401542663574,1963.4401321411133,54358.74401855469,57580.28396606445,31308.202213287357,2990.2601928710938,2225.06014251709,2085.120147705078,2348.7601776123047,2120.980125427246,2144.3201446533203,2168.840148925781
DG(35:3)_C16:0,-2.4893885404863028,1.779614061976113,40.84965447724673,1.644023212902347e-10,8.759903686081339e-8,DAG,4958.340370178223,2721.3401832580566,2745.7001914978027,2631.7401847839355,2633.3001823425293,2752.720195770264,32789.262298583984,12913.740856170654,12106.060813903809,3489.320243835449,7054.2405128479,23162.98149871826
LPE(20:3),2.631947661270122,2.415402618448808,41.19819120723355,1.3754977094379322e-10,8.759903686081339e-8,PE,2057.74015045166,3075.56018447876,103445.78802108765,83106.7262916565,46858.88328170776,2524.6801681518555,10546.960926055908,3029.920223236084,4029.80033493042,3031.6201972961426,1927.8401260375977,2059.740146636963
DG(37:3)_C16:0,2.521008437838421,9.060704542598053,38.203934873056824,6.372378976681382e-10,2.9103565126357684e-7,DAG,1729280.427886963,1930320.427307129,5928213.67098999,1733521.9427490234,4645909.74987793,6879570.826812744,695420.4795074463,76950.06562805176,33954.64236831665,540906.0047302246,1126048.0227508545,40108.38299560547
[TG(56:9)|TG(55:2)]_FA20:4,2.413183898442819,9.854896177248122,35.35013263286767,2.754498093025066e-9,1.100766300425142e-6,TAG,193544.15423583984,747425.8942871094,1798040.7994384766,8524947.020996094,23256633.8046875,8137997.686645508,157983.45001220703,107140.60772705078,180683.05352783203,4242381.1875,242354.19677734372,48443.04309082031
DG(37:4)_C16:1,2.297459985208601,7.494453055706949,32.37284106550214,1.272526063584066e-8,4.520295361420288e-6,DAG,38202.14278411865,197078.99267196652,5633232.351043701,1796300.1379394531,37245.842655181885,41893.20293807984,318890.8780708313,35878.12254333496,35530.642780303955,558610.28955078125,35696.70264053345,43886.56324768066
[TG(54:5)]_FA18:0,2.2708689556486075,9.423328257096005,31.70216300542232,1.797219226985921e-8,5.745709868673989e-6,TAG,149058.6099243164,587541.5015869141,1378400.185180664,6415723.7333984375,16791606.653320312,5833877.726257324,140613.5297241211,104603.42761230467,159127.21130371094,3361785.062988281,202598.19317626956,45290.223083496094
