,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,Group_Sample
159693,902.8,603.5,16.26,2289030.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,902.8 -> 603.5,636,"[TG(55:10),TG(54:3)]_FA18:1",16.26,2289030.0,FAD131,M1,5xFAD,liver,28
244142,902.8,603.5,16.26,2261466.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,902.8 -> 603.5,637,"[TG(55:10),TG(54:3)]_FA18:1",16.26,2261466.0,FAD131,M2,5xFAD,liver,52
158541,900.8,601.5,15.1,2032476.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,900.8 -> 601.5,626,"[TG(55:11),TG(54:4)]_FA18:1",15.1,2032476.0,FAD131,M1,5xFAD,liver,30
242990,900.8,601.5,15.1,1746115.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,900.8 -> 601.5,627,"[TG(55:11),TG(54:4)]_FA18:1",15.1,1746115.0,FAD131,M2,5xFAD,liver,54
411888,900.8,601.5,15.1,1281876.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,900.8 -> 601.5,629,"[TG(55:11),TG(54:4)]_FA18:1",15.1,1281876.0,FAD173,M1,5xFAD,liver,99
74093,900.8,601.5,15.15,1140664.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,900.8 -> 601.5,625,"[TG(55:11),TG(54:4)]_FA18:1",15.15,1140664.0,DOD73,M2,5xFAD,liver,7
327440,900.8,601.5,15.15,1072835.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,900.8 -> 601.5,628,"[TG(55:11),TG(54:4)]_FA18:1",15.15,1072835.0,FAD131,M4,5xFAD,liver,77
75245,902.8,603.5,16.3,1034767.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,902.8 -> 603.5,635,"[TG(55:10),TG(54:3)]_FA18:1",16.3,1034767.0,DOD73,M2,5xFAD,liver,5
328592,902.8,603.5,16.3,1020533.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,902.8 -> 603.5,638,"[TG(55:10),TG(54:3)]_FA18:1",16.3,1020533.0,FAD131,M4,5xFAD,liver,75
413040,902.8,603.5,16.26,1010964.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,902.8 -> 603.5,639,"[TG(55:10),TG(54:3)]_FA18:1",16.26,1010964.0,FAD173,M1,5xFAD,liver,97
157951,898.8,599.5,13.91,753464.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,898.8 -> 599.5,621,[TG(54:5)]_FA18:1,13.91,753464.0,FAD131,M1,5xFAD,liver,26
411298,898.8,599.5,13.91,584400.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,898.8 -> 599.5,624,[TG(54:5)]_FA18:1,13.91,584400.0,FAD173,M1,5xFAD,liver,95
244733,904.8,605.5,17.5,563005.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,904.8 -> 605.5,642,"[TG(55:9),TG(54:2)]_FA18:1",17.5,563005.0,FAD131,M2,5xFAD,liver,56
160283,904.8,605.5,17.46,546824.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,904.8 -> 605.5,641,"[TG(55:9),TG(54:2)]_FA18:1",17.46,546824.0,FAD131,M1,5xFAD,liver,32
326850,898.8,599.5,13.95,507176.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,898.8 -> 599.5,623,[TG(54:5)]_FA18:1,13.95,507176.0,FAD131,M4,5xFAD,liver,73
242400,898.8,599.5,13.91,505588.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,898.8 -> 599.5,622,[TG(54:5)]_FA18:1,13.91,505588.0,FAD131,M2,5xFAD,liver,50
73503,898.8,599.5,13.95,468546.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,898.8 -> 599.5,620,[TG(54:5)]_FA18:1,13.95,468546.0,DOD73,M2,5xFAD,liver,3
75836,904.8,605.5,17.55,385165.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,904.8 -> 605.5,640,"[TG(55:9),TG(54:2)]_FA18:1",17.55,385165.0,DOD73,M2,5xFAD,liver,9
155110,870.8,599.5,12.75,383918.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,870.8 -> 599.5,596,[TG(52:5)]_FA16:1,12.75,383918.0,FAD131,M1,5xFAD,liver,24
239559,870.8,599.5,12.75,358156.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,870.8 -> 599.5,597,[TG(52:5)]_FA16:1,12.75,358156.0,FAD131,M2,5xFAD,liver,47
413630,904.8,605.5,17.46,352514.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,904.8 -> 605.5,644,"[TG(55:9),TG(54:2)]_FA18:1",17.46,352514.0,FAD173,M1,5xFAD,liver,101
408457,870.8,599.5,12.75,334043.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,870.8 -> 599.5,599,[TG(52:5)]_FA16:1,12.75,334043.0,FAD173,M1,5xFAD,liver,93
165321,928.8,629.5,16.17,266002.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,928.8 -> 629.5,686,"[TG(57:11),TG(56:4)]_FA18:1",16.17,266002.0,FAD131,M1,5xFAD,liver,39
70661,870.8,599.5,12.75,232374.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,870.8 -> 599.5,595,[TG(52:5)]_FA16:1,12.75,232374.0,DOD73,M2,5xFAD,liver,1
249770,928.8,629.5,16.17,190406.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,928.8 -> 629.5,687,"[TG(57:11),TG(56:4)]_FA18:1",16.17,190406.0,FAD131,M2,5xFAD,liver,63
157363,896.8,597.5,12.8,183150.0,12012023_FAD131_M1_5xFAD_liver_O3off_01,896.8 -> 597.5,616,[TG(54:6)]_FA18:1,12.8,183150.0,FAD131,M1,5xFAD,liver,27
329182,904.8,605.5,17.5,181461.0,12012023_FAD131_M4_5xFAD_liver_O3off_01,904.8 -> 605.5,643,"[TG(55:9),TG(54:2)]_FA18:1",17.5,181461.0,FAD131,M4,5xFAD,liver,79
72916,896.8,597.5,12.88,180041.0,12012023_DOD73_M2_5xFAD_liver_O3off_01,896.8 -> 597.5,615,[TG(54:6)]_FA18:1,12.88,180041.0,DOD73,M2,5xFAD,liver,4
234520,846.8,547.5,14.0,170335.0,12012023_FAD131_M2_5xFAD_liver_O3off_01,846.8 -> 547.5,552,[TG(50:3)]_FA18:1,14.0,170335.0,FAD131,M2,5xFAD,liver,46
410710,896.8,597.5,12.8,166594.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,896.8 -> 597.5,619,[TG(54:6)]_FA18:1,12.8,166594.0,FAD173,M1,5xFAD,liver,96
418668,928.8,629.5,16.17,161267.0,12012023_FAD173_M1_5xFAD_liver_O3off_01,928.8 -> 629.5,689,"[TG(57:11),TG(56:4)]_FA18:1",16.17,161267.0,FAD173,M1,5xFAD,liver,108
