,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,Group_Sample
1426417,902.8,603.5,15.68,21067.0,11282023_FAD189_M3_WT_cereb_O3off_01,902.8 -> 603.5,2556,"[TG(55:10),TG(54:3)]_FA18:1",15.68,21067.0,FAD189,M3,WT,cereb,106
582515,904.8,605.5,16.83,19727.0,11282023_FAD184_F3_WT_dienc_O3off_01,904.8 -> 605.5,2566,"[TG(55:9),TG(54:2)]_FA18:1",16.83,19727.0,FAD184,F3,WT,dienc,55
495145,896.8,597.5,12.13,18315.0,11282023_FAD184_F3_WT_cortex_O3off_01,896.8 -> 597.5,2465,[TG(54:6)]_FA18:1,12.13,18315.0,FAD184,F3,WT,cortex,40
1595315,902.8,603.5,15.68,17940.0,11282023_FAD189_M3_WT_dienc_O3off_01,902.8 -> 603.5,2558,"[TG(55:10),TG(54:3)]_FA18:1",15.68,17940.0,FAD189,M3,WT,dienc,112
1086289,896.8,597.5,12.13,17193.0,11282023_FAD185_M4_WT_cereb_O3off_01,896.8 -> 597.5,2472,[TG(54:6)]_FA18:1,12.13,17193.0,FAD185,M4,WT,cereb,79
75821,904.8,605.5,16.88,16092.0,11282023_DOD94_F3_WT_cereb_O3off_01,904.8 -> 605.5,2560,"[TG(55:9),TG(54:2)]_FA18:1",16.88,16092.0,DOD94,F3,WT,cereb,4
834120,900.8,601.5,14.48,15700.0,11282023_FAD184_F4_WT_cortex_O3off_01,900.8 -> 601.5,2509,"[TG(55:11),TG(54:4)]_FA18:1",14.48,15700.0,FAD184,F4,WT,cortex,66
580182,898.8,599.5,13.24,15181.0,11282023_FAD184_F3_WT_dienc_O3off_01,898.8 -> 599.5,2486,[TG(54:5)]_FA18:1,13.24,15181.0,FAD184,F3,WT,dienc,51
665221,900.8,601.5,14.44,15056.0,11282023_FAD184_F3_WT_hippo_O3off_01,900.8 -> 601.5,2507,"[TG(55:11),TG(54:4)]_FA18:1",14.44,15056.0,FAD184,F3,WT,hippo,59
1166769,868.8,571.5,10.89,14688.0,11282023_FAD185_M4_WT_cortex_O3off_01,868.8 -> 571.5,2333,[TG(52:6)]_FA18:2,10.89,14688.0,FAD185,M4,WT,cortex,86
920312,904.8,605.5,16.88,13710.0,11282023_FAD184_F4_WT_dienc_O3off_01,904.8 -> 605.5,2570,"[TG(55:9),TG(54:2)]_FA18:1",16.88,13710.0,FAD184,F4,WT,dienc,71
1342558,904.8,605.5,16.88,13116.0,11282023_FAD185_M4_WT_hippo_O3off_01,904.8 -> 605.5,2575,"[TG(55:9),TG(54:2)]_FA18:1",16.88,13116.0,FAD185,M4,WT,hippo,105
918568,900.8,601.5,14.44,12246.0,11282023_FAD184_F4_WT_dienc_O3off_01,900.8 -> 601.5,2510,"[TG(55:11),TG(54:4)]_FA18:1",14.44,12246.0,FAD184,F4,WT,dienc,70
326835,898.8,599.5,13.28,11629.0,11282023_DOD94_F3_WT_hippo_O3off_01,898.8 -> 599.5,2483,[TG(54:5)]_FA18:1,13.28,11629.0,DOD94,F3,WT,hippo,20
666965,904.8,605.5,16.88,11273.0,11282023_FAD184_F3_WT_hippo_O3off_01,904.8 -> 605.5,2567,"[TG(55:9),TG(54:2)]_FA18:1",16.88,11273.0,FAD184,F3,WT,hippo,60
150055,846.8,547.5,13.29,11013.0,11282023_DOD94_F3_WT_cortex_O3off_01,846.8 -> 547.5,2201,[TG(50:3)]_FA18:1,13.29,11013.0,DOD94,F3,WT,cortex,5
1178698,928.8,629.5,15.59,10968.0,11282023_FAD185_M4_WT_cortex_O3off_01,928.8 -> 629.5,2753,"[TG(57:11),TG(56:4)]_FA18:1",15.59,10968.0,FAD185,M4,WT,cortex,95
500798,922.9,623.6,13.15,10232.0,11282023_FAD184_F3_WT_cortex_O3off_01,922.9 -> 623.6,2665,"[TG(56:7),TG(55:0)]_FA18:1",13.15,10232.0,FAD184,F3,WT,cortex,46
1255775,898.8,599.5,13.24,10199.0,11282023_FAD185_M4_WT_dienc_O3off_01,898.8 -> 599.5,2494,[TG(54:5)]_FA18:1,13.24,10199.0,FAD185,M4,WT,dienc,97
73488,898.8,599.5,13.28,9741.0,11282023_DOD94_F3_WT_cereb_O3off_01,898.8 -> 599.5,2480,[TG(54:5)]_FA18:1,13.28,9741.0,DOD94,F3,WT,cereb,1
1340225,898.8,599.5,13.28,8659.0,11282023_FAD185_M4_WT_hippo_O3off_01,898.8 -> 599.5,2495,[TG(54:5)]_FA18:1,13.28,8659.0,FAD185,M4,WT,hippo,102
1678611,900.8,601.5,14.48,8496.0,11282023_FAD189_M3_WT_hippo_O3off_01,900.8 -> 601.5,2519,"[TG(55:11),TG(54:4)]_FA18:1",14.48,8496.0,FAD189,M3,WT,hippo,116
411285,898.8,599.5,13.28,8462.0,11282023_FAD184_F3_WT_cereb_O3off_01,898.8 -> 599.5,2484,[TG(54:5)]_FA18:1,13.28,8462.0,FAD184,F3,WT,cereb,27
244720,904.8,605.5,16.92,7169.0,11282023_DOD94_F3_WT_dienc_O3off_01,904.8 -> 605.5,2562,"[TG(55:9),TG(54:2)]_FA18:1",16.92,7169.0,DOD94,F3,WT,dienc,18
749671,900.8,601.5,14.48,6500.0,11282023_FAD184_F4_WT_cereb_O3off_01,900.8 -> 601.5,2508,"[TG(55:11),TG(54:4)]_FA18:1",14.48,6500.0,FAD184,F4,WT,cereb,62
