,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,Group_Sample
1256375,900.8,601.5,14.84,821874.0,11302023_FAD185_M3_5xFAD_dienc_O3off_01,900.8 -> 601.5,3014,"[TG(55:11),TG(54:4)]_FA18:1",14.84,821874.0,FAD185,M3,5xFAD,dienc,78
1087477,900.8,601.5,14.84,673141.0,11302023_FAD185_M3_5xFAD_cereb_O3off_01,900.8 -> 601.5,3012,"[TG(55:11),TG(54:4)]_FA18:1",14.84,673141.0,FAD185,M3,5xFAD,cereb,58
1257527,902.8,603.5,15.99,599856.0,11302023_FAD185_M3_5xFAD_dienc_O3off_01,902.8 -> 603.5,3062,"[TG(55:10),TG(54:3)]_FA18:1",15.99,599856.0,FAD185,M3,5xFAD,dienc,76
1088629,902.8,603.5,15.99,392364.0,11302023_FAD185_M3_5xFAD_cereb_O3off_01,902.8 -> 603.5,3060,"[TG(55:10),TG(54:3)]_FA18:1",15.99,392364.0,FAD185,M3,5xFAD,cereb,57
1255785,898.8,599.5,13.64,351194.0,11302023_FAD185_M3_5xFAD_dienc_O3off_01,898.8 -> 599.5,2990,[TG(54:5)]_FA18:1,13.64,351194.0,FAD185,M3,5xFAD,dienc,74
1086887,898.8,599.5,13.64,340365.0,11302023_FAD185_M3_5xFAD_cereb_O3off_01,898.8 -> 599.5,2988,[TG(54:5)]_FA18:1,13.64,340365.0,FAD185,M3,5xFAD,cereb,55
1509725,900.8,601.5,14.97,173702.0,11302023_FAD189_M1_5xFAD_cortex_O3off_01,900.8 -> 601.5,3017,"[TG(55:11),TG(54:4)]_FA18:1",14.97,173702.0,FAD189,M1,5xFAD,cortex,107
1425276,900.8,601.5,14.97,149464.0,11302023_FAD189_M1_5xFAD_cereb_O3off_01,900.8 -> 601.5,3016,"[TG(55:11),TG(54:4)]_FA18:1",14.97,149464.0,FAD189,M1,5xFAD,cereb,99
1510877,902.8,603.5,16.12,116396.0,11302023_FAD189_M1_5xFAD_cortex_O3off_01,902.8 -> 603.5,3065,"[TG(55:10),TG(54:3)]_FA18:1",16.12,116396.0,FAD189,M1,5xFAD,cortex,106
1509135,898.8,599.5,13.77,114417.0,11302023_FAD189_M1_5xFAD_cortex_O3off_01,898.8 -> 599.5,2993,[TG(54:5)]_FA18:1,13.77,114417.0,FAD189,M1,5xFAD,cortex,104
1424686,898.8,599.5,13.77,107561.0,11302023_FAD189_M1_5xFAD_cereb_O3off_01,898.8 -> 599.5,2992,[TG(54:5)]_FA18:1,13.77,107561.0,FAD189,M1,5xFAD,cereb,96
413035,902.8,603.5,16.04,99302.0,11302023_DOD94_F4_5xFAD_cereb_O3off_01,902.8 -> 603.5,3052,"[TG(55:10),TG(54:3)]_FA18:1",16.04,99302.0,DOD94,F4,5xFAD,cereb,19
1426428,902.8,603.5,16.12,94403.0,11302023_FAD189_M1_5xFAD_cereb_O3off_01,902.8 -> 603.5,3064,"[TG(55:10),TG(54:3)]_FA18:1",16.12,94403.0,FAD189,M1,5xFAD,cereb,98
1258117,904.8,605.5,17.19,83031.0,11302023_FAD185_M3_5xFAD_dienc_O3off_01,904.8 -> 605.5,3086,"[TG(55:9),TG(54:2)]_FA18:1",17.19,83031.0,FAD185,M3,5xFAD,dienc,80
1679775,902.8,603.5,16.12,81022.0,11302023_FAD189_M1_5xFAD_hippo_O3off_01,902.8 -> 603.5,3067,"[TG(55:10),TG(54:3)]_FA18:1",16.12,81022.0,FAD189,M1,5xFAD,hippo,115
1341976,902.8,603.5,15.99,75590.0,11302023_FAD185_M3_5xFAD_hippo_O3off_01,902.8 -> 603.5,3063,"[TG(55:10),TG(54:3)]_FA18:1",15.99,75590.0,FAD185,M3,5xFAD,hippo,91
581935,902.8,603.5,16.08,74864.0,11302023_DOD94_F4_5xFAD_dienc_O3off_01,902.8 -> 603.5,3054,"[TG(55:10),TG(54:3)]_FA18:1",16.08,74864.0,DOD94,F4,5xFAD,dienc,28
328589,902.8,603.5,16.17,68695.0,11302023_DOD93_F4_5xFAD_hippo_O3off_01,902.8 -> 603.5,3051,"[TG(55:10),TG(54:3)]_FA18:1",16.17,68695.0,DOD93,F4,5xFAD,hippo,13
835285,902.8,603.5,16.12,68530.0,11302023_FAD185_M1_5xFAD_cortex_O3off_01,902.8 -> 603.5,3057,"[TG(55:10),TG(54:3)]_FA18:1",16.12,68530.0,FAD185,M1,5xFAD,cortex,40
497487,902.8,603.5,16.12,68214.0,11302023_DOD94_F4_5xFAD_cortex_O3off_01,902.8 -> 603.5,3053,"[TG(55:10),TG(54:3)]_FA18:1",16.12,68214.0,DOD94,F4,5xFAD,cortex,24
1004182,902.8,603.5,16.08,68113.0,11302023_FAD185_M1_5xFAD_hippo_O3off_01,902.8 -> 603.5,3059,"[TG(55:10),TG(54:3)]_FA18:1",16.08,68113.0,FAD185,M1,5xFAD,hippo,48
1173079,902.8,603.5,16.04,67632.0,11302023_FAD185_M3_5xFAD_cortex_O3off_01,902.8 -> 603.5,3061,"[TG(55:10),TG(54:3)]_FA18:1",16.04,67632.0,FAD185,M3,5xFAD,cortex,68
919733,902.8,603.5,16.08,67171.0,11302023_FAD185_M1_5xFAD_dienc_O3off_01,902.8 -> 603.5,3058,"[TG(55:10),TG(54:3)]_FA18:1",16.08,67171.0,FAD185,M1,5xFAD,dienc,44
1595325,902.8,603.5,16.08,66664.0,11302023_FAD189_M1_5xFAD_dienc_O3off_01,902.8 -> 603.5,3066,"[TG(55:10),TG(54:3)]_FA18:1",16.08,66664.0,FAD189,M1,5xFAD,dienc,111
411883,900.8,601.5,14.88,65628.0,11302023_DOD94_F4_5xFAD_cereb_O3off_01,900.8 -> 601.5,3004,"[TG(55:11),TG(54:4)]_FA18:1",14.88,65628.0,DOD94,F4,5xFAD,cereb,20
1848670,902.8,603.5,15.99,64596.0,11302023_FAD189_M2_5xFAD_cortex_O3off_01,902.8 -> 603.5,3069,"[TG(55:10),TG(54:3)]_FA18:1",15.99,64596.0,FAD189,M2,5xFAD,cortex,126
2017567,902.8,603.5,15.95,63850.0,11302023_FAD189_M2_5xFAD_hippo_O3off_01,902.8 -> 603.5,3071,"[TG(55:10),TG(54:3)]_FA18:1",15.95,63850.0,FAD189,M2,5xFAD,hippo,135
159690,902.8,603.5,16.12,63693.0,11302023_DOD93_F4_5xFAD_cortex_O3off_01,902.8 -> 603.5,3049,"[TG(55:10),TG(54:3)]_FA18:1",16.12,63693.0,DOD93,F4,5xFAD,cortex,5
1933119,902.8,603.5,15.99,63633.0,11302023_FAD189_M2_5xFAD_dienc_O3off_01,902.8 -> 603.5,3070,"[TG(55:10),TG(54:3)]_FA18:1",15.99,63633.0,FAD189,M2,5xFAD,dienc,131
1252942,870.8,599.5,12.4,61687.0,11302023_FAD185_M3_5xFAD_dienc_O3off_01,870.8 -> 599.5,2870,[TG(52:5)]_FA16:1,12.4,61687.0,FAD185,M3,5xFAD,dienc,72
666385,902.8,603.5,16.08,60453.0,11302023_DOD94_F4_5xFAD_hippo_O3off_01,902.8 -> 603.5,3055,"[TG(55:10),TG(54:3)]_FA18:1",16.08,60453.0,DOD94,F4,5xFAD,hippo,32
75241,902.8,603.5,16.12,60159.0,11302023_DOD93_F4_5xFAD_cereb_O3off_01,902.8 -> 603.5,3048,"[TG(55:10),TG(54:3)]_FA18:1",16.12,60159.0,DOD93,F4,5xFAD,cereb,1
