Reaction,Lipid 1,Lipid 2,T-Statistic,P-Value,Z-Score,Gene,Match 1,Match 2,Number
6,PS,PE,-1.0275600926901403,0.3172405985169527,1.0001444687086043,PISD,PS(28:0),PE(40:0) ,23761
6,PS,PE,-0.966211834461597,0.3460528405229292,0.9422730924652004,PISD,PS(28:0),PE(14:1),23761
6,PS,PE,-0.9266609399072161,0.3644641910548396,0.9068914725262097,PISD,PS(38:1),PE(26:0),23761
6,PS,PE,-0.92074407354441,0.3688146224084009,0.8986959733282313,PISD,PS(32:2),PE(14:1),23761
6,PS,PE,-0.9040621580251684,0.37601544288125366,0.8852618090570514,PISD,PS(24:0),PE(40:0) ,23761
6,PS,PE,-0.903988754392261,0.3773336834112716,0.8828197211823193,PISD,PS(32:2),PE(18:3),23761
6,PS,PE,-0.8892955015105845,0.3843928770585393,0.8698307997618405,PISD,PS(28:2),PE(42:2)_2,23761
6,PS,PE,-0.8860445636235498,0.3847083710271626,0.8692537186733803,PISD,PS(38:1),PE(21:0),23761
6,PS,PE,-0.8736317341554326,0.39342475318758185,0.8534230326729484,PISD,PS(24:0),PE(42:3),23761
6,PS,PE,-0.8676031288336864,0.39657136997328923,0.8477604916563063,PISD,PS(24:0),PE(42:2)_2,23761
6,PS,PE,-0.8241012620953944,0.4188168767736997,0.8084755479583782,PISD,PS(28:2),PE(42:3),23761
6,PS,PE,-0.821662134793991,0.4202491967356279,0.8059889912842763,PISD,PS(36:0),PE(21:0),23761
6,PS,PE,-0.8133311323155842,0.4252674221293822,0.7973161862387135,PISD,PS(28:2),PE(42:2),23761
6,PS,PE,-0.8108112516131832,0.4273644151330174,0.7937097632701909,PISD,PS(24:0),PE(42:2),23761
6,PS,PE,-0.806691278310176,0.4283052272774688,0.7920950995171324,PISD,PS(28:2),PE(14:1),23761
6,PS,PE,-0.8040632028935395,0.4316172853541784,0.7864271456150599,PISD,PS(36:0),PE(18:3),23761
6,PS,PE,-0.8031229654811833,0.429611830194656,0.7898560684921041,PISD,PS(40:7),PE(18:3),23761
6,PS,PE,-0.802405754169962,0.4317870845245887,0.7861372480639032,PISD,PS(28:0),PE(14:0),23761
6,PS,PE,-0.7973869103011134,0.4357532195534354,0.7793845544522336,PISD,PS(24:0),PE(46:1),23761
6,PS,PE,-0.7794462228127065,0.44340151091924596,0.7664619044577823,PISD,PS(38:0),PE(26:0),23761
6,PS,PE,-0.7740606312765385,0.44724534927009696,0.7600154508398052,PISD,PS(38:1),PE(14:0),23761
6,PS,PE,-0.770156610355167,0.45098361455164404,0.7537762046771338,PISD,PS(24:0),PE(42:1),23761
6,PS,PE,-0.7699367914681594,0.4507918241030451,0.754095591949469,PISD,PS(32:2),PE(20:2),23761
6,PS,PE,-0.7609439846196925,0.45667409951185434,0.7443345576350947,PISD,PS(24:0),PE(40:1),23761
6,PS,PE,-0.7537447266780086,0.4587870550116032,0.7408456130624197,PISD,PS(38:1),PE(14:1),23761
6,PS,PE,-0.7495217829805668,0.4625014477346948,0.7347341011157872,PISD,PS(32:2),PE(14:0),23761
6,PS,PE,-0.7350343651883504,0.47228851260252036,0.7187604783776411,PISD,PS(24:0),PE(44:5),23761
6,PS,PE,-0.7236654213915026,0.47684810494624785,0.7113811044525088,PISD,PS(30:1),PE(42:2)_2,23761
6,PS,PE,-0.7231153221443584,0.4776909929058133,0.7100211948670897,PISD,PS(28:2),PE(42:1),23761
6,PS,PE,-0.7170097097436655,0.48093618156852924,0.7047976333710755,PISD,PS(38:1),PE(22:0),23761
6,PS,PE,-0.7157992691302001,0.4835074941981482,0.7006723839771151,PISD,PS(24:0),PE(42:4),23761
6,PS,PE,-0.7144724357549923,0.48320425021192337,0.701158268127282,PISD,PS(32:2),PE(18:2),23761
6,PS,PE,-0.7120534707097383,0.48423833477832723,0.6995020460795173,PISD,PS(38:1),PE(18:2),23761
6,PS,PE,-0.7087654157851745,0.4861288458164642,0.6964790931387732,PISD,PS(28:0),PE(46:1),23761
6,PS,PE,-0.7081868738185869,0.48651195272991066,0.6958672756545593,PISD,PS(32:3),PE(18:3),23761
6,PS,PE,-0.7056515533894417,0.489094000393821,0.6917505427171474,PISD,PS(36:0),PE(14:0),23761
6,PS,PE,-0.7055077529233809,0.48749867544177505,0.6942926882425796,PISD,PS(36:7),PE(18:3),23761
6,PS,PE,-0.7051943901409224,0.4880962267901826,0.6933399672060403,PISD,PS(28:0),PE(42:1),23761
6,PS,PE,-0.7024187677853031,0.48929440006666836,0.6914315225981372,PISD,PS(40:7),PE(18:2),23761
6,PS,PE,-0.6994898760867017,0.4927782130823839,0.6858967606221891,PISD,PS(24:0),PE(24:0),23761
6,PS,PE,-0.6990088996184487,0.4920254046179008,0.6870909693942228,PISD,PS(30:2),PE(42:2)_2,23761
6,PS,PE,-0.698602308832939,0.49135996390586867,0.688147399834059,PISD,PS(40:7),PE(20:4),23761
6,PS,PE,-0.6982370326019832,0.4923102572865623,0.6866389815894137,PISD,PS(30:2),PE(18:3),23761
6,PS,PE,-0.6948762982170573,0.49455991114604125,0.6830742730374735,PISD,PS(28:2),PE(46:1),23761
6,PS,PE,-0.6940097778769725,0.49573752076378297,0.681211739632487,PISD,PS(36:0),PE(14:1),23761
6,PS,PE,-0.6919274469637068,0.498013972465463,0.6776179334387599,PISD,PS(24:0),PE(44:4),23761
6,PS,PE,-0.6913641933295183,0.49696675591300254,0.6792700715733494,PISD,PS(28:2),PE(40:1),23761
6,PS,PE,-0.6900837457275811,0.4993305340682458,0.6755434842455984,PISD,PS(24:0),PE(44:3),23761
6,PS,PE,-0.6879133773701094,0.4979303468026516,0.6777497972303737,PISD,PS(38:0),PE(18:3),23761
6,PS,PE,-0.6810332738267272,0.5085995855698161,0.6610198471886798,PISD,PS(44:4),PE(32:5),23761
6,PS,PE,-0.6758349389708008,0.5077001053182699,0.6624230970434408,PISD,PS(24:0),PE(42:0),23761
6,PS,PE,-0.6740397481169758,0.5085394133504604,0.6611136792646518,PISD,PS(42:0),PE(26:0),23761
6,PS,PE,-0.6736368507931292,0.507987983714085,0.6619738455188625,PISD,PS(42:3),PE(18:3),23761
6,PS,PE,-0.6707959574752556,0.5102580877456891,0.6584358775727236,PISD,PS(32:2),PE(20:3),23761
6,PS,PE,-0.6693405040207364,0.515526680557671,0.6502562987828345,PISD,PS(44:6),PE(32:5),23761
6,PS,PE,-0.6679589870042442,0.5106470036686419,0.6578305775637018,PISD,PS(26:0),PE(26:0),23761
6,PS,PE,-0.6616437685338408,0.5167950816621132,0.6482935860664032,PISD,PS(24:0),PE(44:1),23761
6,PS,PE,-0.6558983673355954,0.524236378112033,0.6368287789504383,PISD,PS(44:5),PE(32:5),23761
6,PS,PE,-0.6550747009027856,0.5195506367841738,0.6440382407912769,PISD,PS(38:1),PE(24:0),23761
6,PS,PE,-0.6546688428105241,0.5198644892617819,0.6435543054826189,PISD,PS(34:4),PE(18:3),23761
6,PS,PE,-0.6475268149418414,0.5235411537217254,0.6378963502749844,PISD,PS(38:1),PE(20:4),23761
6,PS,PE,-0.6450124098283141,0.5254002444201069,0.6350431937440136,PISD,PS(34:5)_2,PE(14:1),23761
