"lipid","logFC","logCPM","LR","PValue","FDR"
"PG (32:5)",1.45177742888795,7.93716683399437,17.5568503090635,2.78844404180161e-05,0.0417430073057701
"TAG(58:8)_FA 20:0",-1.14783201900616,6.57156773885052,12.9368222732769,0.000322181455186804,0.241152819207323
"C24:6",0.949527663336736,7.47004015719591,7.87694388077216,0.00500690219077553,0.999174117365416
"Lyso_PE(18:4)",0.917804824376126,9.86117423440381,7.38047851309966,0.00659356245326494,0.999174117365416
"PS (32:5)",0.850632032612147,7.01062372894643,6.37682646176381,0.0115619989909486,0.999174117365416
"TAG(56:8)_FA 20:0",-0.710777011859483,6.09829264122435,4.90670977337851,0.026752554546371,0.999174117365416
"22:3 Campesteryl ester",-0.696586742650784,8.69387231383136,4.71089588469476,0.0299720283780486,0.999174117365416
"C24:5",0.675673318176005,8.39127401090374,4.0835806059622,0.0433018061464023,0.999174117365416
"Lyso_PS(20:2) | PS (20:2)_2",0.675101840367306,8.49714017309701,4.07687387742408,0.0434740203114312,0.999174117365416
"Lyso_PS(20:2) | PS (20:2)",0.65548706973022,8.48689621595242,3.84959633771541,0.0497579646375692,0.999174117365416
"22:2 Campesteryl ester",-0.626702136448009,8.52853180757344,3.80356771251536,0.0511434992651169,0.999174117365416
"PE (18:4)",0.619305303842892,8.19473513935236,3.44643589437277,0.0633883200020331,0.999174117365416
"PGp (34:4)",0.584840004205903,6.87285333065929,3.08189214272114,0.0791683744417658,0.999174117365416
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-0.539987065548082,9.17694397733064,2.81434534398431,0.0934250041478376,0.999174117365416
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-0.526593733110397,9.15980083125406,2.67500637544435,0.101934917937404,0.999174117365416
"TAG(52:5)_FA 16:1",-0.523111739395724,8.57373142406711,2.63935414070693,0.104245915430799,0.999174117365416
"TAG(54:4)_FA 16:0",-0.516948603192705,11.0226405736954,2.57691135249479,0.108433056781799,0.999174117365416
"TAG(52:4)_FA 16:0",-0.516910574746939,8.60157764900483,2.57649028764354,0.108461910619577,0.999174117365416
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",-0.514622500933122,9.20545836254681,2.55350419842216,0.11004992697904,0.999174117365416
"TAG(56:4)_FA 18:0",-0.513662913841362,10.453769913454,2.54390732571778,0.110720485153956,0.999174117365416
"TAG(54:5)_FA 16:1",-0.495872740620669,10.9627881799848,2.36898498654773,0.123767501364678,0.999174117365416
"PIo (20:5)",0.498863439145976,8.90521766678891,2.25764938235989,0.132955736588808,0.999174117365416
"Lyso_PI(19:0)",0.496498840004538,9.17257688105504,2.23671218238815,0.134767266378621,0.999174117365416
"PG (34:6)",0.496259824564704,7.22780915491358,2.23451810026381,0.134958694976508,0.999174117365416
"Cer(t20:0/26:0(2OH))",-0.480346048049626,8.4365471172415,2.22144735836628,0.136105411382461,0.999174117365416
"PIp (20:0)",0.484012973755669,8.13664987598594,2.12764370828882,0.144662985450903,0.999174117365416
"Lyso_PE(16:1)",-0.467495045559143,4.57035392069861,2.10230305967616,0.147077458182072,0.999174117365416
"TAG(56:5)_FA 18:1",-0.467106708133725,10.1006637198451,2.09951084055956,0.14734627107713,0.999174117365416
"TAG(56:6)_FA 18:2",-0.451804450766534,10.0962240560944,1.96289363278629,0.16120418746989,0.999174117365416
"Lyso_PI(19:1)",0.463212144468369,8.12801470862222,1.9517980769358,0.162393222513799,0.999174117365416
"PE (32:5)",0.455632396143917,7.11445058265442,1.88947804454619,0.169260804801601,0.999174117365416
