Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Genotype,Dilution Factor,Sex2,Sex,Brain Region,method_type,Blank Subtraction
"(5Z,8Z)-tetradecadienoylcarnitine",368.3,85.1,339255.2021484375,368.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,54592.48193359375
cis-5-Tetradecenoylcarnitine,370.3,85.1,241243.6572265625,370.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3,85.1,247929.19799804688,372.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"(7Z,10Z)-hexadecadienoylcarnitine",396.3,85.1,173395.271484375,396.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3,85.1,178248.45239257812,398.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3,85.1,186955.33374023438,400.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.4,85.1,1152357.54296875,414.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
Stearidonyl carnitine,420.3,85.1,2027094.67578125,420.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3,85.1,2037788.001953125,424.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"O-oleoylcarnitine, Elaidic carnitine",426.4,85.1,1979574.865234375,426.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4,85.1,1986488.38671875,428.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
O-arachidonoylcarnitine,448.3,85.1,359051.26611328125,448.3 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"(11Z,14Z)-eicosadienoylcarnitine",452.4,85.1,323973.94287109375,452.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
(11Z)-eicoseneoylcarnitine,454.4,85.1,333833.80224609375,454.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4,85.1,331735.22265625,456.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4,85.1,205186.65600585938,472.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4,85.1,198197.03442382812,474.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4,85.1,212029.17529296875,476.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
"(13Z,16Z)-docosadienoylcarnitine",480.4,85.1,228522.23498535156,480.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
O-behenoylcarnitine,484.4,85.1,179824.51150512695,484.4 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
Hexacosanoyl carnitine,540.5,85.1,245311.81958007812,540.5 -> 85.1,AC,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,AC,0.0
Cer(d18:1/2:0),342.3,264.4,21931.72166442871,342.3 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,579.2002105712891
CerP(d18:1/2:0),422.3,264.4,15343.361145019531,422.3 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
"Cer(d14:2(4E,6E)/16:0)",480.4,206.4,9602.800636291504,480.4 -> 206.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,331.2999687194824
Cer(d18:1/12:0),482.5,264.4,13702.380935668945,482.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
CerP(d18:1/8:0),506.4,264.4,18648.121353149414,506.4 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
"Cer(d14:2(4E,6E)/18:1(9Z))",506.5,206.4,8877.34058380127,506.5 -> 206.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:2/14:0),508.5,262.4,15502.421157836914,508.5 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:0/14:0),512.5,266.4,25765.101806640625,512.5 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
"Cer(d14:2(4E,6E)/20:1(11Z))",534.5,206.4,9588.000774383545,534.5 -> 206.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1868.260238647461
Cer(d18:2/16:0),536.5,262.4,17949.241333007812,536.5 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:1/16:0),538.5,264.4,27773.801971435547,538.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,3608.320068359375
Cer(d18:0/16:0),540.5,266.4,58309.224060058594,540.5 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1714.9400024414062
CerP(d18:1/12:0),562.4,264.4,19749.761505126953,562.4 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:2/18:1),562.5,262.4,12146.300811767578,562.5 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:1/18:1(9Z)),564.5,264.4,17384.681106567383,564.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:1/18:0),566.6,264.4,19111.721336364746,566.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,467.2200241088867
Cer(d18:0/18:0),568.6,266.4,24366.841735839844,568.6 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1121.360107421875
CerP(d18:1/14:0),590.5,264.4,19182.301193237305,590.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:2/20:1),590.6,262.4,14096.920989990234,590.6 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,702.1200180053711
Cer(d18:2/20:0),592.6,262.4,14261.48104095459,592.6 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1144.2201080322266
Cer(d18:1/20:0),594.6,264.4,17296.36116027832,594.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2452.900077819824
Cer(d18:0/20:0),596.6,266.4,26695.201568603516,596.6 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1546.1597290039062
CerP(d18:1/16:0),618.5,264.4,17799.581329345703,618.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2046.2404251098633
CerP(d18:0/16:0),620.5,266.4,29477.281829833984,620.5 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2913.4801025390625
Cer(d18:2/22:0),620.6,262.4,14229.121101379395,620.6 -> 262.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
Cer(d18:1/22:0),622.6,264.4,16935.281127929688,622.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1810.3801040649414
Cer(d18:0/22:0),624.6,266.4,27776.181610107422,624.6 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,885.3397674560547
CerP(d18:1/18:0),646.5,264.4,23757.74183654785,646.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,3147.260269165039
SM (d18:1/12:0),647.5,184.1,29287.742126464844,647.5 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2232.640380859375
Cer(d18:1/24:1(15Z)),648.6,264.4,28354.101760864258,648.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,6843.120254516602
SM (d18:0/12:0),649.5,184.1,26916.141983032227,649.5 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,824.0198822021484
Cer(d18:1/24:0),650.6,264.4,19778.12139892578,650.6 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,725.6800994873047
Cer(d18:0/24:0),652.7,266.4,73688.32458496094,652.7 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,6935.5802001953125
Cer(d18:0/h24:0),668.7,266.4,66100.90417480469,668.7 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,2011.5391845703125
SM (d18:2/14:0),673.5,184.1,39674.48278808594,673.5 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
CerP(d18:1/20:0),674.5,264.4,16581.30125427246,674.5 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1722.1000671386719
SM (d18:1/14:0),675.5,184.1,41788.80310058594,675.5 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,611.9803466796875
Cer(d18:1/26:1(17Z)),676.7,264.4,16077.50112915039,676.7 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
SM (d18:0/14:0),677.6,184.1,39756.30285644531,677.6 -> 184.1,SM,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1208.42041015625
Cer(d18:1/26:0),678.7,264.4,18196.42124938965,678.7 -> 264.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,1920.0799713134766
Cer(d18:0/26:0),680.7,266.4,37811.342834472656,680.7 -> 266.4,CER,CER_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,TEST,5xFAD,Test,Male,Male,Liver,CER,0.0
