Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Genotype,Sex,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
CAR_QUAL,162.2,60.1,34502.582427978516,162.2 -> 60.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,None,None
CAR,162.2,85.1,43697.62292480469,162.2 -> 85.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,None,None
CAR(2:0)_QUAL,204.1,60.1,137539.24951171875,204.1 -> 60.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,(2:0),None
CAR(2:0),204.1,85.1,3777688.9609375,204.1 -> 85.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,(2:0),None
CAR(3:1)_QUAL,216.1,60.1,64106.544677734375,216.1 -> 60.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,1,(3:1),None
CAR(3:1),216.1,85.1,420215.6103515625,216.1 -> 85.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,1,(3:1),None
CAR(3:0)_QUAL,218.1,60.1,54405.143981933594,218.1 -> 60.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,(3:0),None
CAR(3:0),218.1,85.1,276632.39990234375,218.1 -> 85.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,0,(3:0),None
CAR(4:1)_QUAL,230.1,60.1,232357.13647460938,230.1 -> 60.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,1,(4:1),None
CAR(4:1),230.1,85.1,661343.8671875,230.1 -> 85.1,CAR,AC_DOD73-5xFAD-M2liver_033123_r008,DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,AC,0.0,CAR,CAR,1,(4:1),None
