lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
PI (32:2),0.22375526111326124,9.297051685617216,0.2272038982664526,0.6336048911790217,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,291768.1220703125,310688.22119140625,464319.4956054687,507412.4721679687,364060.64599609375,312086.48193359375,423891.84619140625,334695.443359375,356966.22802734375,305596.583984375,258897.87841796875
PI (32:3),0.09572970926292439,6.518397858413319,0.041619140666654175,0.8383474836224525,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,45247.76300048828,56594.26390075683,63420.28433227539,53147.423400878906,50590.90408325195,61423.8046875,56341.38383483887,56064.48393249512,41206.92315673828,49413.6238861084,37263.662841796875
PI (32:4),0.09661099027336059,6.9900628455955145,0.042389650153666025,0.8368788135472871,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,78353.60540008545,73756.00584411621,79937.9662322998,83744.78527832031,65199.944885253906,90194.12619018556,87537.88430786133,74675.38552856445,64488.26512145996,61843.16426086426,33829.00190734863
PI (32:5),0.048654469636623496,6.8688084018473345,0.010752537325743106,0.9174118374272653,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,52770.90321350098,81500.24800109863,74484.02453613281,75598.18504333496,62385.02542114258,81582.96562194824,70268.8256072998,75195.48400878906,59188.10517883301,62756.283920288086,37329.70248413086
PI (34:0),0.08816348603223349,9.811360874625795,0.03530329129898746,0.8509615485307895,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,377184.5668945313,500490.037109375,601387.88525390625,592946.6708984375,511483.3950195313,467545.91259765625,587753.8369140625,489278.2939453125,496137.53271484375,489661.81396484375,475098.173828125
PI (34:1),0.16476953873760444,10.009940995081248,0.12326041617689043,0.7255248597487194,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,318003.42236328125,619242.9846191406,697137.9099121094,907259.7536621094,547465.19384765625,529532.55029296875,606621.6520996094,576836.7194824219,730402.2119140625,379717.8098144531,558142.7624511719
PI (34:2),0.3103900399221291,9.217340566485342,0.4368010487413585,0.508670507813566,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,242025.51708984375,335212.30810546875,490307.89697265625,528920.3359375,349480.8212890625,268655.44140625,384849.6345214844,367502.7817382813,369554.0876464844,237568.619140625,178375.07104492188
PI (34:3),0.2724062144857027,7.14864558233743,0.33657350134723174,0.5618137710793166,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,58902.584228515625,85611.6255645752,112296.98770141602,116582.70852661131,80771.60748291016,72940.00534057617,90497.2062072754,94420.10650634766,76094.305419921875,57143.803802490234,47541.063903808594
PI (34:4),0.17607683201805788,6.45254759478738,0.14073860687454953,0.7075478384765179,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,41874.50280761719,69401.2846069336,53862.204010009766,53563.08317565918,47976.06316375733,57947.26460266113,54153.063903808594,51086.563400268555,44581.14328765869,38950.923095703125,34364.50213623047
PI (34:5),0.3441775352973149,7.439608710270747,0.5368230867670718,0.46375233264294247,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,76796.72567749023,202981.05598449707,103293.08644104004,93527.30529785156,93661.1258544922,113831.56800842284,108975.46835327148,102904.62707519533,73019.965576171875,68117.04403686523,56586.20388793945
PI (34:6),0.051561632005283804,6.653275950905315,0.01207570170447525,0.9124970117213937,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,43168.32342529297,54438.403564453125,62828.86517333984,74416.92486572266,60323.084075927734,64362.18502807617,71522.90579223633,63653.724029541016,49120.72317504883,48461.92269897461,39426.82279968262
PI (36:0),0.008526969381532554,8.555705364046318,3.302858858660329e-4,0.9855002283499021,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,177390.61303710938,207073.17456054688,246674.03881835935,218658.69506835935,212853.5546875,212997.7360839844,264478.13671875,217528.2756347656,201262.97631835935,213503.0954589844,169436.51220703125
PI (36:1),0.02301586187650152,8.010446140276123,0.002406292565865442,0.9608762810152527,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,86775.52667236328,208773.77752685547,165297.89385986328,195521.01489257812,130904.89080810548,150014.5502319336,166304.69213867188,179063.07299804688,191498.59259033203,108739.1671142578,56182.664306640625
PI (36:2),0.14975252662870675,8.702894111562465,0.10182529628207249,0.7496501058858234,0.9998469305090295,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PI,140296.8302001953,312138.76110839844,289985.23779296875,366416.1658935547,220050.3961181641,225678.5352783203,245852.21618652344,262156.51696777344,326538.3807373047,165871.8116455078,92591.245849609375
