#"+ TIC MRM (** -> **) CrudeCanola_O3on_150gN3_02082023.d "
#Point,X(Minutes),Y(Counts)
0,0.000,3765.78002929688
1,0.016,4032.400390625
2,0.033,3869.18090820313
3,0.049,3564.1806640625
4,0.065,3276.52026367188
5,0.082,3296.0400390625
6,0.098,3205
7,0.114,3283.5595703125
8,0.131,3418.900390625
9,0.147,3533.68041992188
10,0.163,3613.74047851563
11,0.179,3565.40014648438
12,0.196,3829.8798828125
13,0.212,3777.580078125
14,0.228,4043.8603515625
15,0.245,4019.82080078125
16,0.261,4249.16064453125
17,0.277,3953.46020507813
18,0.294,3872.10009765625
19,0.310,3582.36010742188
20,0.326,3467.89990234375
21,0.343,3516.56030273438
22,0.359,3838.96020507813
23,0.375,4085.28002929688
24,0.391,4224.3203125
25,0.408,4078.560546875
26,0.424,3978.0205078125
27,0.440,3869.34057617188
28,0.457,4008.06030273438
29,0.473,4149.4599609375
30,0.489,4168.7001953125
31,0.506,4588.84033203125
32,0.522,5145.7001953125
33,0.538,5773.30078125
34,0.555,6293.1201171875
35,0.571,6565.640625
36,0.587,6205.380859375
37,0.603,5586.28076171875
38,0.620,5043.40087890625
39,0.636,5042.74072265625
40,0.652,4995.76025390625
41,0.669,4916.30078125
42,0.685,4650.08056640625
43,0.701,4234
44,0.718,4106.54052734375
45,0.734,4118.9208984375
46,0.750,4030.3603515625
47,0.767,4272.30078125
48,0.783,4101.00048828125
49,0.799,3997.18041992188
50,0.815,3856.70141601563
51,0.832,3880.02075195313
52,0.848,3768.08032226563
53,0.864,3582.34008789063
54,0.881,3669.16040039063
55,0.897,3753.44018554688
56,0.913,3848.90087890625
57,0.930,3957
58,0.946,4032.11987304688
59,0.962,3900.89990234375
60,0.979,4139.54052734375
61,0.995,4228.18017578125
62,1.011,4223.62060546875
63,1.028,4013.56005859375
64,1.044,4106.4599609375
65,1.060,4045.61987304688
66,1.076,3841.3798828125
67,1.093,3783.560546875
68,1.109,3895.8203125
69,1.125,4057.919921875
70,1.142,3843.33984375
71,1.158,3842.1806640625
72,1.174,3888.7802734375
73,1.191,4062.3798828125
74,1.207,3893.3603515625
75,1.223,3629.47998046875
76,1.240,3673.02001953125
77,1.256,3903.22021484375
78,1.272,3881.82055664063
79,1.288,3856.48071289063
80,1.305,3887.560546875
81,1.321,4114.66015625
82,1.337,3995.44067382813
83,1.354,3896.80029296875
84,1.370,3732.30029296875
85,1.386,3579.74047851563
86,1.403,3671.0205078125
87,1.419,3583.30078125
88,1.435,3585.80029296875
89,1.452,3547.20043945313
90,1.468,3887.15991210938
91,1.484,3872.12036132813
92,1.500,3524.56005859375
93,1.517,3294.19970703125
94,1.533,3409.6201171875
95,1.549,3742.39990234375
96,1.566,3647.7001953125
97,1.582,3700.96044921875
98,1.598,3707.7001953125
99,1.615,3801.88061523438
100,1.631,3832.30053710938
101,1.647,3780.46020507813
102,1.664,3831.28002929688
103,1.680,3550.46020507813
104,1.696,3592.640625
105,1.712,3592.38012695313
106,1.729,3951.23999023438
107,1.745,4094.900390625
108,1.761,3934.8203125
109,1.778,3653.88012695313
110,1.794,3473.80004882813
111,1.810,3654.08081054688
112,1.827,3550.96020507813
113,1.843,3514.82055664063
114,1.859,3548.30053710938
115,1.876,3830.43969726563
116,1.892,3895.30004882813
117,1.908,3764.72021484375
118,1.924,3560.16040039063
119,1.941,3794.48046875
120,1.957,3968.15991210938
121,1.973,4048.64038085938
122,1.990,4020.36010742188
123,2.006,4276.38037109375
124,2.022,4255.900390625
125,2.039,4089.28051757813
126,2.055,3881.080078125
127,2.071,3972.10034179688
128,2.088,4199.3203125
129,2.104,4287.20068359375
130,2.120,4421.080078125
131,2.136,4467.220703125
132,2.153,4447.97998046875
133,2.169,4233.62060546875
134,2.185,4317.72021484375
135,2.202,4884.16015625
136,2.218,6476.20068359375
137,2.234,8690.1015625
138,2.251,11979.5400390625
139,2.267,14784.2802734375
140,2.283,16405
141,2.300,17750.80078125
142,2.316,16235.2626953125
143,2.332,12628.6611328125
144,2.348,7763.80078125
145,2.365,5641.0400390625
146,2.381,5208.541015625
147,2.397,5082.240234375
148,2.414,5139.4599609375
149,2.430,5571.18017578125
150,2.446,5995.4794921875
151,2.463,6108.140625
152,2.479,5672.599609375
153,2.495,5297.3603515625
154,2.512,5107.12109375
155,2.528,5089.8603515625
156,2.544,5334.66015625
157,2.560,5294.6015625
158,2.577,5422.5595703125
159,2.593,5358.23974609375
160,2.609,5730.77978515625
161,2.626,5641.3798828125
162,2.642,5608.8408203125
163,2.658,5404.8203125
164,2.675,5568.72119140625
165,2.691,5487.560546875
166,2.707,5521.54052734375
167,2.724,5430.04052734375
168,2.740,5490.1005859375
169,2.756,5703.7802734375
170,2.772,5956.6201171875
171,2.789,5798.38134765625
172,2.805,5210.4599609375
173,2.821,4914.56005859375
174,2.838,5048.20068359375
175,2.854,5513.4609375
176,2.870,5428.34130859375
177,2.887,5110.7607421875
178,2.903,4956.6201171875
179,2.919,5053.1796875
180,2.936,4964.88037109375
181,2.952,4573.40087890625
182,2.968,4784.31982421875
183,2.984,5223.0205078125
184,3.001,5619.4609375
185,3.017,5825.87939453125
186,3.033,6022.88134765625
187,3.050,5830.80029296875
188,3.066,5118.73974609375
189,3.082,4308.8203125
190,3.099,3778.5205078125
191,3.115,3499.76000976563
192,3.131,3396.10009765625
193,3.148,3188.16064453125
194,3.164,3257.8603515625
195,3.180,3416.400390625
196,3.196,3619.46044921875
197,3.213,3552.08081054688
198,3.229,3542.28002929688
199,3.245,3408.6796875
200,3.262,3415.35961914063
201,3.278,3391.0205078125
202,3.294,3501.80053710938
203,3.311,3920.7001953125
204,3.327,4371.6806640625
205,3.343,4443.50048828125
206,3.360,4239.16064453125
207,3.376,3825.08056640625
208,3.392,3814.52026367188
209,3.408,3664.12084960938
210,3.425,3875.880859375
211,3.441,3742.3203125
212,3.457,3683.09985351563
213,3.474,3625.16015625
214,3.490,3998
215,3.506,4151.64013671875
216,3.523,4278.88037109375
217,3.539,4080.94091796875
218,3.555,4003.08032226563
219,3.572,3851.00048828125
220,3.588,3925.50073242188
221,3.604,3981.76025390625
222,3.620,4015.30004882813
223,3.637,4125.9599609375
224,3.653,4326.89990234375
225,3.669,4407.66015625
226,3.686,4100.80078125
227,3.702,3779.40014648438
228,3.718,3900.64038085938
229,3.735,4182.4208984375
230,3.751,4160.30078125
231,3.767,3823.74047851563
232,3.784,3914.15991210938
233,3.800,3945.2802734375
234,3.816,4995.7197265625
235,3.832,5548.060546875
236,3.849,6867.8203125
237,3.865,7151.1591796875
238,3.881,7542.1201171875
239,3.898,7235.26220703125
240,3.914,6872.08154296875
241,3.930,6464.8408203125
242,3.947,6267.24072265625
243,3.963,6863.52001953125
244,3.979,7416.2802734375
245,3.996,7689.3798828125
246,4.012,6905.33984375
247,4.028,6338.83984375
248,4.044,5632.50048828125
249,4.061,5492.42041015625
250,4.077,5820.40185546875
251,4.093,5887.22119140625
252,4.110,5641.220703125
253,4.126,4941.39990234375
254,4.142,4775.99951171875
255,4.159,4994.6201171875
256,4.175,4993.74072265625
257,4.191,4954.62060546875
258,4.208,4989.42041015625
259,4.224,5100.220703125
260,4.240,5239.72021484375
261,4.256,5245.34033203125
262,4.273,5211.50048828125
263,4.289,4917.70068359375
264,4.305,4950.5595703125
265,4.322,5041.36083984375
266,4.338,5139.60107421875
267,4.354,4792.62060546875
268,4.371,4981.90087890625
269,4.387,5069.81982421875
270,4.403,5384.640625
271,4.420,5460.740234375
272,4.436,5332.720703125
273,4.452,5078.39990234375
274,4.468,4992.419921875
275,4.485,5345.51953125
276,4.501,5412.9599609375
277,4.517,5688.3603515625
278,4.534,5909.93994140625
279,4.550,6337.2802734375
280,4.566,6502.58056640625
281,4.583,7132.81982421875
282,4.599,7394.419921875
283,4.615,7168.140625
284,4.632,6458.54052734375
285,4.648,5894.3193359375
286,4.664,5055.60009765625
287,4.680,4311.26025390625
288,4.697,4271.400390625
289,4.713,4817.6396484375
290,4.729,5082.8203125
291,4.746,4943.3994140625
292,4.762,4850.10009765625
293,4.778,4979.81982421875
294,4.795,5139.22021484375
295,4.811,4996.94091796875
296,4.827,4967.36083984375
297,4.844,5098.3203125
298,4.860,5124.06005859375
299,4.876,5495.44091796875
300,4.892,5329.16064453125
301,4.909,5716.6201171875
302,4.925,5738.04052734375
303,4.941,6298.90087890625
304,4.958,6288.14013671875
305,4.974,6343.88037109375
306,4.990,6299.60009765625
307,5.007,6191.8408203125
308,5.023,5723.1396484375
309,5.039,5505.380859375
310,5.056,5249.89990234375
311,5.072,5141.16064453125
312,5.088,4996.80029296875
313,5.104,5108.22021484375
314,5.121,5237.97998046875
315,5.137,4973.99951171875
316,5.153,4793.8193359375
317,5.170,4617.6201171875
318,5.186,4625.0205078125
319,5.202,4543.720703125
320,5.219,4445.3603515625
321,5.235,4453.08056640625
322,5.251,4439.380859375
323,5.268,4414.259765625
324,5.284,4629.3203125
325,5.300,4826.7802734375
326,5.316,5115.5810546875
327,5.333,5135.94091796875
328,5.349,5306.34033203125
329,5.365,5186.2197265625
330,5.382,5207.04052734375
331,5.398,5017.18017578125
332,5.414,5235.46044921875
333,5.431,4745.12060546875
334,5.447,4409.7998046875
335,5.463,3987.0400390625
336,5.480,4384.560546875
337,5.496,4440.1005859375
338,5.512,4364.66015625
339,5.528,4323.92041015625
340,5.545,4526.58056640625
341,5.561,4740.62060546875
342,5.577,4858.14013671875
343,5.594,4792.23974609375
344,5.610,4663.10009765625
345,5.626,4418.9404296875
346,5.643,4699.0009765625
347,5.659,4805.72021484375
348,5.675,5011.02099609375
349,5.692,4845.14013671875
350,5.708,5144.44091796875
351,5.724,5257.380859375
352,5.740,5564.400390625
353,5.757,5755.19970703125
354,5.773,5926.5009765625
355,5.789,5803.8408203125
356,5.806,5425.48046875
357,5.822,5101.919921875
358,5.838,5175.0400390625
359,5.855,5141.01953125
360,5.871,5224.6396484375
361,5.887,4880.97998046875
362,5.904,4875.02001953125
363,5.920,4845.14013671875
364,5.936,4818.6806640625
365,5.952,4772.65966796875
366,5.969,4580.89990234375
367,5.985,4703.66064453125
368,6.001,4752.5009765625
369,6.018,4970.0791015625
370,6.034,5184.46044921875
371,6.050,4936.580078125
372,6.067,4547.98046875
373,6.083,4072.46044921875
374,6.099,4114.5
375,6.116,4235.12060546875
376,6.132,4357.02001953125
377,6.148,4350.7998046875
378,6.164,4177.70068359375
379,6.181,4302.10009765625
380,6.197,4831.27978515625
381,6.213,5029.8603515625
382,6.230,5106.400390625
383,6.246,4972.27978515625
384,6.262,5098.2607421875
385,6.279,4762.26025390625
386,6.295,4314.30029296875
387,6.311,3979.14086914063
388,6.328,4166.68017578125
389,6.344,4544.97998046875
390,6.360,4834.61962890625
391,6.376,4467.47998046875
392,6.393,4048.2001953125
393,6.409,3752.50024414063
394,6.425,4246.64013671875
395,6.442,5086.89990234375
396,6.458,5568.5009765625
397,6.474,5580.0205078125
398,6.491,5270.4189453125
399,6.507,5445.919921875
400,6.523,5539.78076171875
401,6.540,5501.12060546875
402,6.556,5288.14013671875
403,6.572,5484.10009765625
404,6.588,5841.48046875
405,6.605,5881.6201171875
406,6.621,5660.66064453125
407,6.637,5446.81982421875
408,6.654,5753.9208984375
409,6.670,5815.56005859375
410,6.686,6162.419921875
411,6.703,6137.52099609375
412,6.719,6283.779296875
413,6.735,6114.6396484375
414,6.752,6013.4404296875
415,6.768,5744.0595703125
416,6.784,5743.3408203125
417,6.800,6070.95947265625
418,6.817,6352.1611328125
419,6.833,6509.3212890625
420,6.849,6324.02001953125
421,6.866,6227.47998046875
422,6.882,6528.82080078125
423,6.898,8147.82080078125
424,6.915,9234.740234375
425,6.931,9736.720703125
426,6.947,9813.2607421875
427,6.964,10176.9814453125
428,6.980,10234.140625
429,6.996,10267.62109375
430,7.012,10363.8408203125
431,7.029,10516.5224609375
432,7.045,9953.72265625
433,7.061,9793.9404296875
434,7.078,9205.1416015625
435,7.094,9250.6806640625
436,7.110,8715.3212890625
437,7.127,8886.1806640625
438,7.143,8672.662109375
439,7.159,8973.26171875
440,7.176,8960.7197265625
441,7.192,9383.0205078125
442,7.208,9673.1796875
443,7.225,9668.8623046875
444,7.241,9658.7998046875
445,7.257,9291.580078125
446,7.273,8694.2001953125
447,7.290,7613.81982421875
448,7.306,6794.88037109375
449,7.322,6353.50048828125
450,7.339,6310.2001953125
451,7.355,6459.78076171875
452,7.371,6246.1005859375
453,7.388,6164.16015625
454,7.404,6187.7001953125
455,7.420,6698.6796875
456,7.437,6859.041015625
457,7.453,6699.16064453125
458,7.469,6995.04150390625
459,7.485,7531
460,7.502,7543.68017578125
461,7.518,7186.140625
462,7.534,6919.26123046875
463,7.551,6843.94140625
464,7.567,6722.5400390625
465,7.583,6694.74072265625
466,7.600,6441.98046875
467,7.616,6233.5
468,7.632,6156.98046875
469,7.649,6338.80029296875
470,7.665,6277.640625
471,7.681,6330.720703125
472,7.697,6619.0400390625
473,7.714,6553.70068359375
474,7.730,6588.740234375
475,7.746,6751.28125
476,7.763,6963.6396484375
477,7.779,6714.02001953125
478,7.795,6263.88134765625
479,7.812,5601.84130859375
480,7.828,5093.41943359375
481,7.844,4892.58056640625
482,7.861,5064.48095703125
483,7.877,5402.5205078125
484,7.893,5312.66015625
485,7.909,5613.74072265625
486,7.926,5882.9794921875
487,7.942,6468.84130859375
488,7.958,6503.02099609375
489,7.975,6257.8798828125
490,7.991,5658.5
491,8.007,5390.8603515625
492,8.024,5301.220703125
493,8.040,4958.76025390625
494,8.056,4540.1611328125
495,8.073,4145.30029296875
496,8.089,4291.20068359375
497,8.105,4939.0205078125
498,8.121,6184.080078125
499,8.138,7483.34033203125
500,8.154,8169.86083984375
501,8.170,8423.5205078125
502,8.187,8294.140625
503,8.203,7902.65966796875
504,8.219,8159.7021484375
505,8.236,8442.8408203125
506,8.252,8765.12109375
507,8.268,8445.76171875
508,8.285,8178.599609375
509,8.301,7808.63916015625
510,8.317,7571.11962890625
511,8.333,7924.9609375
512,8.350,8604.8212890625
513,8.366,9295.021484375
514,8.382,9565.1611328125
515,8.399,9618.8388671875
516,8.415,9372.7216796875
517,8.431,9602.439453125
518,8.448,9709.720703125
519,8.464,9791.521484375
520,8.480,9356.80078125
521,8.497,8946.7392578125
522,8.513,8347.7216796875
523,8.529,8027.87939453125
524,8.545,7800.22021484375
525,8.562,7864.48095703125
526,8.578,7683.12060546875
527,8.594,7645.88134765625
528,8.611,7189.89990234375
529,8.627,7014.560546875
530,8.643,6666.36083984375
531,8.660,6794.02099609375
532,8.676,6350.78125
533,8.692,6227.0810546875
534,8.709,6335.10009765625
535,8.725,6694.7802734375
536,8.741,6862.7392578125
537,8.757,6892.02001953125
538,8.774,6967.44091796875
539,8.790,6785.46044921875
540,8.806,6192.20068359375
541,8.823,6120.1611328125
542,8.839,6039.560546875
543,8.855,6247.39990234375
544,8.872,6243.03955078125
545,8.888,6464.7607421875
546,8.904,6153.0810546875
547,8.921,5997.01953125
548,8.937,6280.4609375
549,8.953,6902.00048828125
550,8.969,7044.14111328125
551,8.986,6902.3603515625
552,9.002,6419.82080078125
553,9.018,5923.9404296875
554,9.035,5827.39990234375
555,9.051,5830.32080078125
556,9.067,5904.1201171875
557,9.084,5487.93994140625
558,9.100,5459.28076171875
559,9.116,4993.88037109375
560,9.133,4477.7607421875
561,9.149,4152.5
562,9.165,4425.3203125
563,9.181,5002.8212890625
564,9.198,5135.26025390625
565,9.214,5357.0400390625
566,9.230,5264.50048828125
567,9.247,5045.90087890625
568,9.263,4513.74072265625
569,9.279,4374.30029296875
570,9.296,4430.94091796875
571,9.312,4305.400390625
572,9.328,4421.6201171875
573,9.345,4696.56005859375
574,9.361,5049.5205078125
575,9.377,4899.10009765625
576,9.393,4922.98046875
577,9.410,5098.5400390625
578,9.426,4813.72021484375
579,9.442,4487.84130859375
580,9.459,4357.3798828125
581,9.475,4459.50048828125
582,9.491,4309.54052734375
583,9.508,4422.380859375
584,9.524,4625.12109375
585,9.540,4704.599609375
586,9.557,4308.22021484375
587,9.573,4441.92041015625
588,9.589,4517.419921875
589,9.605,4492.66015625
590,9.622,4245.68017578125
591,9.638,4155.60009765625
592,9.654,4473.5205078125
593,9.671,5134.220703125
594,9.687,5623.240234375
595,9.703,5717.77978515625
596,9.720,5320.34033203125
597,9.736,5493.66064453125
598,9.752,5549.43994140625
599,9.769,5323.16015625
600,9.785,4475.1806640625
601,9.801,4240.22021484375
602,9.817,4376.3408203125
603,9.834,4873.7197265625
604,9.850,4781.39990234375
605,9.866,4499.26025390625
606,9.883,4445.26025390625
607,9.899,4450.48046875
608,9.915,4482.30029296875
609,9.932,4140.900390625
610,9.948,3908.34057617188
611,9.964,4060.32006835938
612,9.981,4217.08056640625
613,9.997,4368.50048828125
614,10.013,4214.8203125
615,10.029,4305.76025390625
616,10.046,4233.02001953125
617,10.062,4101.1005859375
618,10.078,4245.259765625
619,10.095,4782.42041015625
620,10.111,5280.4404296875
621,10.127,5680.89990234375
622,10.144,5958.900390625
623,10.160,6131.919921875
624,10.176,5911.1005859375
625,10.193,5922.1005859375
626,10.209,6083.50048828125
627,10.225,6555.93994140625
628,10.241,6846.47998046875
629,10.258,6684.70068359375
630,10.274,6207.2001953125
631,10.290,5807.28076171875
632,10.307,5814.70068359375
633,10.323,6210.06005859375
634,10.339,6517.08056640625
635,10.356,6845.240234375
636,10.372,7021.720703125
637,10.388,7178.85986328125
638,10.405,6852.919921875
639,10.421,6410.64013671875
640,10.437,5984.4208984375
641,10.453,5727.880859375
642,10.470,5949.9404296875
643,10.486,6055.54052734375
644,10.502,5935.56005859375
645,10.519,5429.46044921875
646,10.535,5190.60009765625
647,10.551,5368.98046875
648,10.568,5396.52001953125
649,10.584,5673.0615234375
650,10.600,5612.8408203125
651,10.617,5290.84033203125
652,10.633,4776.74072265625
653,10.649,4638.92041015625
654,10.665,4357.53955078125
655,10.682,4197.18017578125
656,10.698,4145.48046875
657,10.714,4865.3408203125
658,10.731,4966.7607421875
659,10.747,4637.48046875
660,10.763,4247.16015625
661,10.780,4524.2001953125
662,10.796,4633.599609375
663,10.812,4470.89990234375
664,10.829,3845.30053710938
665,10.845,3507.12036132813
666,10.861,3396.7001953125
667,10.877,4095.70043945313
668,10.894,4740.39990234375
669,10.910,5091.84033203125
670,10.926,5199.48046875
671,10.943,5458.64013671875
672,10.959,5579.98095703125
673,10.975,5404.740234375
674,10.992,5234.30029296875
675,11.008,6632.1591796875
676,11.024,8257.7197265625
677,11.041,9398.6591796875
678,11.057,8910.2822265625
679,11.073,8280.3193359375
680,11.089,7965.15966796875
681,11.106,8049.15966796875
682,11.122,8309.8203125
683,11.138,8147.00146484375
684,11.155,7619.7197265625
685,11.171,7410.3603515625
686,11.187,7531.1806640625
687,11.204,7788.96044921875
688,11.220,7754.98046875
689,11.236,7707.94189453125
690,11.253,7734.42041015625
691,11.269,8016.9814453125
692,11.285,7857.80126953125
693,11.301,7928.900390625
694,11.318,7737.76025390625
695,11.334,7897.541015625
696,11.350,7773.4609375
697,11.367,7639.14111328125
698,11.383,7740.3203125
699,11.399,7715.1005859375
700,11.416,7666.26123046875
701,11.432,7945.4599609375
702,11.448,8479.9013671875
703,11.465,8769.2802734375
704,11.481,8313.9609375
705,11.497,8010.31982421875
706,11.513,8037.30029296875
707,11.530,8495.4404296875
708,11.546,8782.779296875
709,11.562,8806.83984375
710,11.579,8437.6396484375
711,11.595,8218.1201171875
712,11.611,8675.341796875
713,11.628,8878.439453125
714,11.644,8877.6015625
715,11.660,8864.3408203125
716,11.677,8715.9609375
717,11.693,8420.880859375
718,11.709,7788.080078125
719,11.725,8192.1806640625
720,11.742,8827.4013671875
721,11.758,9133.33984375
722,11.774,8824.2607421875
723,11.791,8824.380859375
724,11.807,8975.3603515625
725,11.823,9004.7587890625
726,11.840,8810.5009765625
727,11.856,8800.98046875
728,11.872,9017.841796875
