Lipid,Parent_Ion,Product_Ion,Class,Transition
C12:0,199.2,199.2,FFA,199.2 -> 199.2
C12:1,197.2,197.2,FFA,197.2 -> 197.2
C14:0,227.3,227.3,FFA,227.3 -> 227.3
C14:1,225.2,225.2,FFA,225.2 -> 225.2
C15:0,241.3,241.3,FFA,241.3 -> 241.3
C15:1,239.3,239.3,FFA,239.3 -> 239.3
C16:0,255.3,255.3,FFA,255.3 -> 255.3
C16:1,253.3,253.3,FFA,253.3 -> 253.3
C17:0,269.3,269.3,FFA,269.3 -> 269.3
C17:1,267.3,267.3,FFA,267.3 -> 267.3
C18:0,283.3,283.3,FFA,283.3 -> 283.3
C18:1,281.3,281.3,FFA,281.3 -> 281.3
C18:2,279.3,279.3,FFA,279.3 -> 279.3
C18:3,277.3,277.3,FFA,277.3 -> 277.3
C18:4,275.3,275.3,FFA,275.3 -> 275.3
C19:0,297.3,297.3,FFA,297.3 -> 297.3
C20:0,311.3,311.3,FFA,311.3 -> 311.3
C20:1,309.3,309.3,FFA,309.3 -> 309.3
C20:3,305.3,305.3,FFA,305.3 -> 305.3
C20:4,303.3,303.3,FFA,303.3 -> 303.3
C20:5,301.3,301.3,FFA,301.3 -> 301.3
C22:0,339.3,339.3,FFA,339.3 -> 339.3
C22:1,337.3,337.3,FFA,337.3 -> 337.3
C22:4,331.3,331.3,FFA,331.3 -> 331.3
C22:5,329.3,329.3,FFA,329.3 -> 329.3
C22:6,327.3,327.3,FFA,327.3 -> 327.3
C24:0,367.3,367.3,FFA,367.3 -> 367.3
C24:1,365.3,365.3,FFA,365.3 -> 365.3
C24:5,353.3,353.3,FFA,353.3 -> 353.3
C24:6,355.3,355.3,FFA,355.3 -> 355.3
C26:0,395.3,395.3,FFA,395.3 -> 395.3
C26:1,393.3,393.3,FFA,393.3 -> 393.3
C28:0,423.4,423.4,FFA,423.4 -> 423.4
C30:0,451.4,451.4,FFA,451.4 -> 451.4
C32:0,479.4,479.4,FFA,479.4 -> 479.4
C34:0,507.5,507.5,FFA,507.5 -> 507.5
(11Z)-eicoseneoylcarnitine,454.4,85.1,AC,454.4 -> 85.1
"(11Z,14Z)-eicosadienoylcarnitine",452.4,85.1,AC,452.4 -> 85.1
"(13Z,16Z)-docosadienoylcarnitine",480.4,85.1,AC,480.4 -> 85.1
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3,85.1,AC,384.3 -> 85.1
"(5Z,8Z)-tetradecadienoylcarnitine",368.3,85.1,AC,368.3 -> 85.1
"(7Z,10Z)-hexadecadienoylcarnitine",396.3,85.1,AC,396.3 -> 85.1
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",476.4,85.1,AC,476.4 -> 85.1
(9Z)-3-hydroxyoctadecenoylcarnitine,442.3,85.1,AC,442.3 -> 85.1
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3,85.1,AC,412.3 -> 85.1
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3,85.1,AC,438.3 -> 85.1
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",444.4,85.1,AC,444.4 -> 85.1
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3,85.1,AC,388.3 -> 85.1
3-hydroxyarachidonoylcarnitine,464.3,85.1,AC,464.3 -> 85.1
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",472.4,85.1,AC,472.4 -> 85.1
"3-hydroxylinoleoylcarnitine,",440.3,85.1,AC,440.3 -> 85.1
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3,85.1,AC,414.3 -> 85.1
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",456.4,85.1,AC,456.4 -> 85.1
cis-5-Tetradecenoylcarnitine,370.3,85.1,AC,370.3 -> 85.1
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",474.4,85.1,AC,474.4 -> 85.1
Hexacosanoyl carnitine,540.5,85.1,AC,540.5 -> 85.1
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3,85.1,AC,424.3 -> 85.1
O-(11-carboxyundecanoyl)carnitine,374.2,85.1,AC,374.2 -> 85.1
O-(13-carboxytridecanoyl)carnitine,402.3,85.1,AC,402.3 -> 85.1
O-(17-carboxyheptadecanoyl)carnitine,458.3,85.1,AC,458.3 -> 85.1
O-arachidonoylcarnitine,448.3,85.1,AC,448.3 -> 85.1
O-behenoylcarnitine,484.4,85.1,AC,484.4 -> 85.1
"O-oleoylcarnitine, Elaidic carnitine",426.4,85.1,AC,426.4 -> 85.1
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3,85.1,AC,398.3 -> 85.1
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3,85.1,AC,400.3 -> 85.1
Stearidonyl carnitine,420.3,85.1,AC,420.3 -> 85.1
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4,85.1,AC,428.4 -> 85.1
TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3,85.1,AC,372.3 -> 85.1
12:0 Cholesteryl ester,586.5219,369.1,CE,586.5219 -> 369.1
14:0 Cholesteryl ester,614.5532,369.1,CE,614.5532 -> 369.1
14:1 Cholesteryl ester,612.5376,369.1,CE,612.5376 -> 369.1
15:0 Campesteryl ester_simulated,642.6002,369.1,CE,642.6002 -> 369.1
15:0 Cholesteryl ester,628.5689,369.1,CE,628.5689 -> 369.1
15:1 Campesteryl ester_simulated,640.6002,369.1,CE,640.6002 -> 369.1
15:1 Cholesteryl ester,626.5532,369.1,CE,626.5532 -> 369.1
16:0 Campesteryl ester,656.6002,369.1,CE,656.6002 -> 369.1
16:0 Cholesteryl ester,642.5845,369.1,CE,642.5845 -> 369.1
16:1 Cholesteryl ester,640.5689,369.1,CE,640.5689 -> 369.1
16:2 Campesteryl ester,652.5689,369.1,CE,652.5689 -> 369.1
"16:2 Cholesteryl ester, zymosteryl palmitoleate",638.5532,369.1,CE,638.5532 -> 369.1
16:3 Campesteryl ester,650.5532,369.1,CE,650.5532 -> 369.1
16:3 Cholesteryl ester,636.5376,369.1,CE,636.5376 -> 369.1
16:3 Stigmasteryl ester,662.5532,369.1,CE,662.5532 -> 369.1
17:0 Campesteryl ester_simulated,670.6002,369.1,CE,670.6002 -> 369.1
17:0 Cholesteryl ester,656.5845,369.1,CE,656.5845 -> 369.1
17:1 Campesteryl ester_simulated,668.5845,369.1,CE,668.5845 -> 369.1
17:1 Cholesteryl ester; 16:1 Campesteryl ester,654.5845,369.1,CE,654.5845 -> 369.1
18:0 Campesteryl ester,684.6315,369.1,CE,684.6315 -> 369.1
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",670.6158,369.1,CE,670.6158 -> 369.1
18:1 Campesteryl ester,682.6158,369.1,CE,682.6158 -> 369.1
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",668.6002,369.1,CE,668.6002 -> 369.1
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",666.5845,369.1,CE,666.5845 -> 369.1
18:3 Campesteryl ester,678.5845,369.1,CE,678.5845 -> 369.1
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",664.5689,369.1,CE,664.5689 -> 369.1
