lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cerebellum,FAD185_M4_Male_WT_cerebellum,FAD189_M3_Male_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
PG(16:0)|LPG(17:0)|LPG(O-18:0),-6.0451014562770995,4.19371922743665,152.63763197033725,4.5969364626929967e-35,1.48343139651103e-31,PG,4172.8003005981445,2144.260154724121,2183.820152282715,8641.86054611206,191740.2319259644,219423.2977027893,39920.40306472778
DG(35:6)_C16:0,-4.85074516475519,2.609271501603753,107.06336398097427,4.311612508776975e-25,6.95678678291165e-22,DAG,4190.100296020508,3850.700283050537,3597.6202278137207,2971.6602058410645,2633.520179748535,143234.7310447693,2623.120189666748
[TG(51:5)]_FA16:0,-4.557590377698519,7.552007965464065,96.40423246649925,9.366670313159692e-23,8.431576195566406e-20,TAG,97145.26721191406,229528.5000610352,143135.4105834961,89896.92712402344,1927948.7284545896,2644644.3455200195,39190.08248901367
LPE(20:2),6.434641914275385,4.842662416180638,96.18730565273995,1.0451287506125077e-22,8.431576195566406e-20,PE,358203.14964675903,683538.8669128418,64319.18466949463,3182.880199432373,2094.660148620605,2314.5001640319824,2000.340129852295
[TG(51:6)]_FA16:1,-4.508930680045274,7.680561767462544,94.65114723028455,2.2707461531597376e-22,1.4655395672492945e-19,TAG,119831.58795166016,234403.5959777832,173561.09185791016,102036.62683105467,2325363.301635742,2673347.673339844,41019.22302246094
[TG(51:4)]_FA14:0,-4.225364735545586,7.001014190237369,84.58942561958975,3.672239977631137e-20,1.9750530679692802e-17,TAG,94592.6475830078,151165.7688293457,125277.56646728516,83876.72576904297,1377098.6431884766,1602283.202178955,82697.70608520508
[TG(38:1)]_FA14:0,-3.9905454040852457,8.29489756419783,76.48289336114249,2.2212884013801434e-18,1.024013953036246e-15,TAG,292272.2409667969,574324.9427490234,251626.8599853516,219897.2945556641,3375497.0100097656,4034529.987915039,49943.38360595703
[TG(53:8)|TG(52:1)]_FA18:3,-3.919805524112699,7.361789061390815,74.08436948133021,7.484864750806446e-18,3.01920731885655e-15,TAG,133910.23040771484,241532.37701416016,214859.35546875,136335.42834472656,1581536.075744629,2254872.9161987305,35997.24267578125
[TG(46:6)]_FA22:5,-3.8804574831891334,10.90143338208953,72.7608135530125,1.4635412707500018e-17,5.247608534122506e-15,TAG,1933738.5963134768,4372720.575134277,1298506.6174926758,1227004.006286621,13515048.733093262,31256664.91613769,55422.98370361328
[TG(53:7)|TG(52:0)]_FA18:2,-3.765292680496364,6.989732840408504,68.92366000092079,1.0234953928610983e-16,3.002563302511604e-14,TAG,109509.1489868164,189764.99356079104,185764.63415527344,128746.18951416016,1314439.460205078,1609185.6467895508,32808.362396240234
FA(30:1),-3.7662576352108434,6.9740166036497,68.95554556747811,1.0070808038089408e-16,3.002563302511604e-14,FA,116861.18516540527,226113.1979370117,168734.55430603027,100551.66612243652,2475351.2074279785,482871.0517425537,25251.52146911621
DG(O-38:9)|DG(36:2)_C18:2,4.712329668290314,6.1739363972194345,62.13704234934576,3.2036811770564505e-15,8.615232631967639e-13,DAG,180821.7716369629,302988.599609375,3306.900230407715,3261.140235900879,3231.66024017334,3229.4402389526367,940433.7267990112
PE(44:1),-3.5236916073226845,6.636756588760255,61.08539658238624,5.4652027068457e-15,1.3566314719223904e-12,PE,121363.66858673096,167350.01146697998,152411.47048568726,99610.30679321288,1040173.5802650452,1143060.3612174988,64799.24423217773
LPE(20:1),4.55638110812864,3.163228274965971,59.12745908237178,1.477825526739451e-14,3.4063878391344345e-12,PE,139514.009349823,129494.72986602785,60100.4641456604,3254.260234832764,2482.680164337158,2457.9801712036133,2031.0601501464844
DG(O-40:9)|DG(38:2)_C18:0,-3.368125772950718,3.0366674598290335,56.186896561481255,6.589926149802763e-14,1.4177127790275677e-11,DAG,5568.120338439941,2600.000175476074,4661.080265045166,24338.081771850582,119329.34828186037,23772.50164413452,30989.722229003903
DG(37:3)_C18:1,-3.3323152575737978,2.692631299525849,55.06393958170156,1.1667192457957836e-13,2.353126878864371e-11,DAG,6432.740455627441,2889.380210876465,2895.6802139282227,5187.640392303467,61645.90451049805,2907.0802040100098,57847.16430664063
LPC(24:0),-3.172085495894854,8.638889463834994,50.249613412735926,1.3538137566386244e-12,2.427087218151578e-10,PC,678821.7663574219,908258.9899902344,619003.6652832031,516704.6123046875,4298347.300048828,4336371.341796875,98562.5264892578
LPC(24:1),-3.1736591741307585,8.630677941048752,50.29646210043575,1.321876410551808e-12,2.427087218151578e-10,PC,660636.18701171875,906258.7806396484,628152.1983642578,511041.0988769531,4236278.307373047,4349009.6767578125,98224.22705078124
LPE(20:3),4.068093731019874,2.693400024100564,49.880401159362805,1.6340876858247166e-12,2.775368927450716e-10,PE,103445.78802108765,83106.7262916565,46858.88328170776,2524.6801681518555,3031.6201972961426,1927.8401260375977,2059.740146636963
PC(22:0),-3.1126308078743894,8.260092692542244,48.4910959365734,3.3179192951934127e-12,5.353462782794571e-10,PC,531887.6955566406,695501.8420410156,516390.697265625,411023.3898925781,3266668.7204589844,3293150.992675781,98047.44714355467
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-3.0615353166661734,5.573226125506565,46.99663275710736,7.110876875710736e-12,1.0927047465675498e-9,TAG,393456.5476074219,541176.0421142578,379333.2457275391,266354.4802246094,1335421.1342773438,698424.3718261719,58990.14392089844
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-3.0615353166661734,5.573226125506565,46.99663275710736,7.110876875710736e-12,1.0927047465675498e-9,DAG,80471.06564712524,74099.36513137817,77407.82526779175,80330.60559082031,862384.1656913757,83031.26516723633,77638.42515563965
[TG(52:5)]_FA18:0,-2.970585941984355,6.461757868315079,44.38329933424575,2.6998044996724794e-11,3.960122327474132e-9,TAG,95637.46746826172,171496.9309387207,243353.57489013672,160978.3299560547,830917.7530212402,1016898.295501709,26629.72183227539
