type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,1,5
FA,1,0
PC,0,0
PE,0,15
PG,0,2
PI,0,1
PS,0,4
SM,0,0
TAG,1,4
TAG | DAG,0,0
