lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.06160002745023,5.253255473218461,102.37926216169433,4.584760495730085e-24,1.4795022119720983e-20,PE,3022.000156402588,1920.2201385498047,226003.17764282227,729138.6013793945,430594.1723632813,12940.740852355955,2104.0001525878906,2855.6202278137207,2177.340148925781,2000.340129852295
DG(40:10)|DG(39:3)_C18:0,4.047368585263849,5.070889515288156,57.14547155400487,4.0473871101285304e-14,6.530459102192384e-11,DAG,9019.840648651125,9125.020694732666,21008.58154296875,19755.66139984131,15612.34119796753,1184083.7992134094,2589.300205230713,11740.800819396973,10730.2007522583,3224.120246887207
LPE(20:1),3.9589092969373167,3.2496012758956856,55.224692702271135,1.0750963003184049e-13,1.1564452537091643e-10,PE,2831.940193176269,2187.400154113769,150227.73001861572,110983.9871673584,72857.06577301025,9977.500694274902,2632.7401847839355,2424.5601692199707,2335.320152282715,2031.0601501464844
LPE(20:3),3.637053185416582,3.2297948920916664,48.42683809074242,3.4284384715653573e-12,2.765892736935352e-9,PE,11133.740592956545,3423.660217285156,152708.03170776367,103787.7872505188,54969.74362564087,9953.24084854126,2204.24015045166,4398.340377807617,2424.300148010254,2059.740146636963
LPE(20:0),3.4410342654081862,2.4820606682038444,44.362057421614736,2.7292584340618206e-11,1.7614633933434988e-8,PE,2368.540168762207,2087.16015625,89018.14569473267,62791.22442626953,34505.16239929199,8640.460594177246,2104.6001472473145,1964.2201461791992,2012.6401329040527,2168.840148925781
[TG(60:13)|TG(59:6)]_FA22:5,-2.7424647036795675,8.514440507677591,43.94480748983915,3.37767222771632e-11,1.8166247131400944e-8,TAG,211671.91387939453,202986.8544921875,422718.06829833984,559139.4631347656,338120.3256835937,1255694.3657836914,1476578.274169922,5006692.261291504,468631.6297607422,53200.70385742188
DG(37:4)_C16:1,3.3264740477071424,9.043132153655083,42.06419620556699,8.832564308174802e-11,4.071812146068584e-8,DAG,38325.96268081665,39209.00267410278,3474479.632537842,35378.94260406494,2508539.922626496,13712745.507247925,542675.7545471191,36888.88260650635,34804.762592315674,43886.56324768066
[TG(60:14)|TG(59:7)|TG(58:0)]_FA22:6,-2.5645281225229337,8.565905093819929,38.58473259714083,5.242743069626414e-10,1.8798146539649375e-7,TAG,237331.31768798828,228726.09677124023,513223.133972168,618028.5391845703,430149.59240722656,1377008.9971923828,1567117.0953979492,4912454.311706543,499520.81744384766,69407.06466674805
DG(dO-38:9)|DG(35:2)_C16:1,-2.569178603190328,2.6688523295339848,38.70056136667312,4.940669411406898e-10,1.8798146539649375e-7,DAG,9632.70068359375,2929.5602264404297,2994.720195770264,8898.94063949585,2926.8002128601074,2927.920234680176,66430.00452804565,2925.5202293396,2919.4202003479004,43695.28314971924
DG(36:8)|DG(35:1)_C16:1,-2.4052731593193437,11.617327979165676,34.03568643772451,5.411049355901065e-9,1.7461456271492736e-6,DAG,1905404.0719184875,1481716.6491775513,2927.500198364258,9304.880458831787,3550.7402381896973,3436.740257263184,8866230.443603516,2948.5002098083496,2920.1802101135254,47492099.30102539
LPE(20:4),2.834538589125001,3.642934813301368,32.39559454900155,1.2577128187268296e-8,3.6896720600286173e-6,PE,57183.864097595215,4831.74027633667,170542.79220581055,113329.72869873048,56389.12446975708,6191.500431060791,3832.840297698975,13525.22087097168,2845.580192565918,2961.640182495117
