lipid,logFC,logCPM,LR,PValue,FDR,type,DOD94_F3_Female_WT_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M4_Male_WT_cortex,FAD189_M3_Male_WT_cortex,DOD93_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,Blank_Blank_Blank_Blank_Blank
LPE(20:2),-5.09039802328254,3.463919226377962,94.7125719110729,2.201366448724729e-22,7.1038095300347e-19,PE,2104.0001525878906,2855.6202278137207,2177.340148925781,2187.74015045166,2173.5601692199707,2140.8401527404785,2055.260139465332,552806.6551513672,111081.00933074953,86580.92544937134,5080.360347747803,2000.340129852295
DG(40:10)|DG(39:3)_C18:0,-3.665158176509663,4.167885352531951,56.762741920824965,4.9169456621129876e-14,7.933491825819305e-11,DAG,2589.300205230713,11740.800819396973,10730.2007522583,14801.721046447754,11472.880821228027,4340.680313110352,12429.50089263916,162299.21299362183,14495.061027526855,16362.201206207275,1000045.3145713806,3224.120246887207
LPE(20:1),-3.142994918116806,1.739622501256762,43.95038192116889,3.368066189927784e-11,3.0084673371668746e-8,PE,2632.7401847839355,2424.5601692199707,2335.320152282715,2575.700180053711,2460.460163116455,2401.66015625,2268.1601524353027,132247.60803985596,37634.5627822876,30525.00203704834,4573.460258483887,2031.0601501464844
LPE(20:3),-3.1344546962804616,1.920500471027312,43.7510732134682,3.7291197237891225e-11,3.0084673371668746e-8,PE,2204.24015045166,4398.340377807617,2424.300148010254,2821.360221862793,2089.3801498413086,3510.120292663574,2667.400157928467,154099.91077041626,44359.44305801392,28154.30215072632,4231.86022567749,2059.740146636963
DG(36:3)_C18:0,-2.9236396966931264,6.14960787551939,38.86901980861922,4.5321646704019697e-10,2.925059078277431e-7,DAG,58645.66415786743,59841.54425430298,56077.08395767212,62208.74425125122,64007.36476135254,56192.32408905029,57656.14430618286,931371.2541313173,63198.22480773926,60623.46455001831,3222199.0540618896,65619.12463378906
DG(37:4)_C16:1,-2.836229890075363,8.304919256640694,36.887598417990375,1.2513940786643138e-9,6.730414486416235e-7,DAG,542675.7545471191,36888.88260650635,34804.762592315674,760026.1086730957,162884.57500076294,766270.7359771729,255512.80290222168,8200150.804519653,5743482.041870117,103009.04527282716,4309899.743774414,43886.56324768066
LPE(20:0),-2.71740702140018,1.104467649026594,34.21873018529879,4.925261905175143e-9,2.270545738285741e-6,PE,2104.6001472473145,1964.2201461791992,2012.6401329040527,2056.340148925781,2132.100143432617,2069.4001502990723,2071.8001403808594,71327.20523071289,28689.922233581543,20198.2014503479,3630.240203857422,2168.840148925781
LPE(20:4),-2.68441037534139,2.4930726674629304,33.51161940028214,7.0839527757816e-9,2.857489450930903e-6,PE,3832.840297698975,13525.22087097168,2845.580192565918,3242.400260925293,2589.7201538085938,6735.740474700928,3850.160335540772,264536.8984298706,42672.74304962158,18893.04136657715,2492.0801582336426,2961.640182495117
DG(O-38:9)|DG(36:2)_C18:2,2.2555982303071715,5.746794789676299,26.749781503818667,2.3157791414515131e-7,8.303354766071147e-5,DAG,187964.4136619568,11845.860782623293,3242.3402366638184,230581.25721740723,3236.6802368164062,4575.620296478272,3260.920238494873,6379.320491790772,13213.320667266846,151216.47158813477,3237.9602279663086,940433.7267990112
DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1,-2.2698160469169246,1.2789940609619794,24.871706937647048,6.127516102558776e-7,1.977349446295717e-4,DAG,2930.920207977295,2925.6802253723145,2994.740207672119,3185.740234375,3054.280235290528,2965.4802169799805,13078.760986328123,18257.84135055542,4564.260383605957,4662.000331878662,87828.32587814331,2929.0802116394043
