type,Down,Up
CAR,5,0
CE,0,0
Cer,0,0
DAG,13,36
FA,133,1
PC,14,31
PE,8,35
PG,6,27
PI,4,29
PS,0,26
SM,0,0
TAG,50,374
TAG | DAG,1,0
